Chương 9: Đánh đi, đánh càng lợi hại càng tốt! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Thần đế, giới này thiên đạo hóa thân.

	Lúc cần thiết, thậm chí sẽ cưỡng ép thu hồi còn lại thần ma cảnh nắm trong tay quyền bính, đem quyền sở hữu chuôi tập trung ở thần đế trên mình, để cho nó bùng nổ thực lực kinh khủng.

	Nhưng ở lúc bình thường, thần đế cũng cùng còn lại thần ma cảnh không có khác biệt, giống vậy chẳng qua là nắm trong tay một cái Thiên đạo.

	Chẳng qua là bởi vì là thần đế chính là Thiên đạo hóa thân, là lấy trên danh nghĩa còn lại thần ma cảnh đáp lời tôn xưng.

	Trừ thần đế bên ngoài, còn có một loại người, địa vị không kém gì thần đế, đó chính là thần tôn!

	Thần tôn, thần trong chí tôn!

	Chính là không dựa vào hương khói thành tựu thần linh, tự đi tìm hiểu ra một cái thiên đạo khủng bố tồn tại!

	Như vậy tồn tại, liền giới này Thiên đạo cũng phải liếc mắt!

	Một khi có thần tôn xuất hiện, như vậy thì đại biểu giới này Thiên đạo đem nhiều hơn một cái!

	Hơn nữa, ở thần tôn chết sau đó, hắn nắm trong tay Thiên đạo, cũng sẽ bị giới này chiếm đoạt!

	Đây đối với trời đất chính là công đức vô lượng việc lớn!

	Bất kỳ một tôn thần tôn, đều là thiên địa sủng nhi, giống như thiên mệnh chủ Sừng, khí vận ngút trời!

	Đây cũng là Thiên thần cung bên trong, cái này mấy tôn thần minh tại sao ngay cả động tay cũng không dám nguyên nhân!

	Không chỉ là bởi vì là thực lực sai biệt, lại là bởi vì là thần tôn vị cách!

	Cùng thần tôn đối nghịch, chính là cùng giới này Thiên đạo đối nghịch!

	Từ một loại ý nghĩa nào đó mà nói, thần tôn vị cách so với thần đế hơn nữa bị trời đất xem trọng!

	Nếu Thiên thần cung cũng không có phản kháng, Bắc Phong cũng không có ra tay, mà là giải quyết nơi này phiền toái sau đó, lần nữa chạy tới hạ một nơi.

	Nửa tháng sau đó, vượt qua hai mươi tôn thần minh, bốn phe thế lực đều là đưa vào Bắc Phong dưới quyền, thuận lợi phải nhường Bắc Phong đều là có chút bất ngờ.

	"Hôm nay hương khói lực đối với ta tạm thời vô dụng, đại đạo đã bão hòa, mà thiên đạo quyền bính có hạn, một cái củ cà rốt một cái hố, dù là ta có ngút trời hương khói, vậy không thay đổi được, không thể đem còn dư lại thần ma cảnh Thiên đạo quyền bính tước đoạt."

	Bắc Phong ở lại Thiên thần cung, lấy Thiên thần cung làm trung tâm, lực lượng hướng bốn phía phóng xạ.

	"Thần linh, thành!"

