Chương 50: Cơ giáp 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Thiếu chủ, ngươi đi mau, nơi này do chúng ta ngăn trở!"

	"Trốn, chạy đi, chỉ cần đi vào tiền triều tàn dư khu vực, liền có thể sống sót!"

	Hai vị tử sĩ rống to, chuẩn bị liều chết đánh một trận, là Cổ gia sau cùng dòng chánh huyết mạch tranh thủ thời gian.

	Nơi đây khoảng cách tiền triều tàn dư địa bàn không xa, chỉ cần có thể trốn vào vậy mảnh không gian, liền có thể sống sót.

	Sau khi nói xong, hai vị tử sĩ quay đầu, trực tiếp hướng truy binh sau lưng nghênh đón!

	Cổ gia, đế quốc Tinh Hà lớn nhất quý tộc một trong, nội tình thâm hậu, chẳng qua là bị tiền triều tàn dư đánh một cái trở tay không kịp, cái này mới đưa đến tiêu diệt!

	Mà Cổ gia tử sĩ sử dụng cơ giáp tính năng xuất sắc, mỗi một máy cơ giáp cũng có thể chống lại phong hoàng cảnh cực hạn!

	Truy binh sau lưng trong, trong đó một máy cơ giáp đủ để chống lại phong đế cảnh!

	Chênh lệch quá xa!

	Cổ gia thân phận quý tộc còn không có bị đế quốc Tinh Hà vương thất hủy bỏ, có thể chỉ còn lại một vị dòng chánh Cổ gia lại có ai quan tâm đâu ?

	Lần này truy binh sau lưng nói không chừng còn có còn lại mấy nhà quý tộc bóng dáng tồn tại.

	Dẫu sao nếu là Cổ gia thời kỳ toàn thịnh, tự nhiên có tư cách thà hơn tám đại quý tộc đứng hàng.

	Nhưng bây giờ Cổ gia sa sút.

	Cổ gia bị diệt, có thể Cổ gia nắm trong tay tài nguyên nhưng là đủ để cho còn lại quý tộc ra tay!

	Dựa theo pháp luật đế quốc, quý tộc là cha truyền con nối chế.

	Cổ gia hôm nay thân phận quý tộc chỉ có thể do Cổ Tam Thiên thừa kế!

	Vì để tránh cho gây thêm rắc rối, tự nhiên là có người muốn phải trừ hết Cổ gia sau cùng dòng chánh huyết mạch!

	Nhìn hai vị tử sĩ quay đầu cùng truy binh đánh giết, Bắc Phong nhưng là không có động tĩnh.

	Không biết bắt đầu từ lúc nào, Bắc Phong thay đổi!

	Phát ra từ trong xương máu lạnh làm cho lòng người kinh!

	"Hệ thống, tăng lên ta tinh thần lực!"

	Bắc Phong bắt đầu kêu gọi hệ thống, rồi sau đó thả câu kinh nghiệm bắt đầu biến mất.

	Mấy trăm ngàn thả câu kinh nghiệm để cho Bắc Phong tinh thần lực so với người thường mạnh mẽ vô số!

	Tinh thần lực thậm chí có thể làm được can thiệp thực tế!

	Ở nơi này dạng một viên lấy khoa học kỹ thuật làm chủ trên ngôi sao, tăng lên tinh thần lực là sự chọn lựa tốt nhất.

	Dẫu sao mấy trăm ngàn thả câu kinh nghiệm nghe rất nhiều, nhưng cũng chỉ có thể đem Bắc Phong thực lực tăng lên tới phong hoàng cảnh.

	Mà phong hoàng cảnh quá yếu, lấy phong hoàng cảnh làm khởi điểm, ở nơi này dạng một viên chỉ có rất đặc biệt một mảnh trong khu vực mới có linh khí trên ngôi sao, muốn tăng lên tu vi quá gian nan!

	Mà cơ giáp lại bất đồng!

	Đế quốc Tinh Hà công dân trong, trung bình mỗi 10 nghìn người trong thì có một người tinh thần lực xuất chúng, đủ để điều khiển cơ giáp!

	Mà tinh thần lực càng mạnh, cưỡi cơ giáp cũng có thể phát huy ra càng thực lực cường đại!

	Chỉ có tinh thần lực mạnh mẽ người, mới có thể điều khiển đế cấp cơ giáp, thậm chí điều khiển một chiếc tàu chiến đấu!

	"Cổ thân thể này vốn là tinh thần lực cũng không yếu, cưỡi cũng là đế quốc Tinh Hà đời thứ năm cơ giáp, đủ để sánh bằng phong đế cảnh."

	Bắc Phong chân linh đem Cổ Tam Thiên tinh thần lực chiếm đoạt, rồi sau đó thả câu kinh nghiệm cũng là đem tinh thần lực khôi phục tới phong đế cảnh!

	Đủ điều khiển cái này cái cơ giáp!

	"Cũng là Cổ Tam Thiên nguyên bản tinh thần lực không kém, lúc này mới để cho ta tinh thần lực khôi phục tới đế cấp, dựa theo giới này giải thích, hẳn là tinh thần cảnh giới của đại sư."

	"Bây giờ sẽ để cho ta tới xem xem, cái này đời thứ năm làm đặc biệt cơ giáp có thể phát huy ra như thế nào thực lực tới!"

	Hết thảy các thứ này chẳng qua là ở ngắn ngủi chốc lát trong hoàn thành, Bắc Phong cũng giống là đạt được đồ chơi đứa nhỏ, tràn đầy tò mò!

	Dẫu sao cho tới bây giờ không có điều khiển qua cơ giáp loại vật này, đối với Bắc Phong mà nói tràn đầy mới lạ.

	"Giết!"

	Hấp thu Cổ Tam Thiên trí nhớ, Bắc Phong đối với làm thế nào cơ giáp nhược chỉ chưởng, thúc giục cơ giáp, nháy mắt xuất hiện ở mấy chục ngàn mét ra, kiếm quang bắn tán loạn, một kích đem một cái cơ giáp từ đầu tới đuôi chém thành hai khúc!

	"Thiếu chủ đi mau!"

	Hai cái tàn phá trong cơ giáp truyền tới tiếng âm, hai vị tử sĩ vô cùng nóng nảy.

	Mà Bắc Phong cơ giáp đã bị truy binh bao vây lại, bốn bề tất cả địch!

	"Nguyên lai vậy chính là như vậy."

	Thao tác một chút cơ giáp, Bắc Phong không có quá nhiều hứng thú.

	"Tử gia, vẫn là Mộc gia người?"

	Bắc Phong thanh âm từ trong cơ giáp truyền tới.

	"Hừ, Cổ Tam Thiên ngươi không nghĩ tới đi, ngươi sẽ chết ở tay ta trong!" Vưu luân thanh âm vang lên, tràn đầy hận ý.

	Bắc Phong nghe được cái này thanh âm cũng là sững sờ, sắc mặt cổ quái.

	Từ đạo thanh âm này trong đã hiểu bên trong cơ giáp là ai, chín đại quý tộc một trong đặc biệt là nhà dòng chánh nhất mạch vưu luân.

	Đón nhận Cổ Tam Thiên trí nhớ, Bắc Phong hơi tra một cái xem chính là không nhịn được nhức đầu.

	Cổ Tam Thiên thân là Cổ gia dòng chánh, cha chính là gia chủ, lại là thiên tư bất phàm, bị làm đời kế tiếp gia chủ đào tạo.

	Vì vậy làm việc không chút kiêng kỵ, ở một lần tụ họp lên gặp qua vưu luân sau đó, kinh vi thiên nhân, bắt đầu theo đuổi.

	Chẳng qua là vưu luân cũng là đặc biệt là nhà con cưng, cha chính là gia chủ, hắn chị càng bị dự là đế quốc Tinh Hà ngày thứ nhất kiêu, hơn nữa vưu luân cũng không vừa ý Cổ Tam Thiên.

	Chẳng qua là ngại vì cùng là chín lớn thân phận quý tộc, không có cự tuyệt Cổ Tam Thiên một ít mời.

	Chẳng qua là Cổ Tam Thiên theo đuổi sao, vô cùng gan dạ, trực tiếp dùng thủ đoạn, đem gạo sống nấu thành cơm chín.

	Cái gọi là việc xấu trong nhà không thể truyền ra ngoài.

	Ra như vậy chuyện, Cổ gia đầu tiên là hung hăng trừng phạt Cổ Tam Thiên, thứ yếu cũng là nói xin lỗi, cho đặc biệt là nhà nhiều tài nguyên bồi thường.

	Sự việc đã xảy ra, xem ở Cổ gia tửu lượng cao bồi thường lên, cũng coi là bỏ qua.

	Dẫu sao không thể nào bởi vì chuyện này cùng cùng là chín đại quý tộc một trong Cổ gia khai chiến.

	Trước kia có Cổ gia che chở, bây giờ Cổ gia cũng xong đời, vưu luân tự nhiên muốn đem Cổ Tam Thiên trừ chi rồi sau đó mau!

	"Khốn kiếp, không phải là người, ngươi ngược lại là sảng khoái, chảo này nhưng ụp lên ta trên ót?"

	Bắc Phong khóe miệng co quắp, không nhịn được thầm mắng một tiếng.

	"Giết!"

	Vưu luân cơ giáp đồng dạng là đặc chế năm đời cơ giáp, uy lực kinh người, xuất hiện ở Bắc Phong trước người, một chuôi loan đao đánh xuống!

	"Keng!" Bắc Phong điều khiển cơ giáp ngăn trở, đem đánh văng ra, giống vậy trở tay một kích, đem sau lưng đến gần mấy cái cơ giáp kích hủy.

	Bắc Phong tinh thần lực tương đương với giới này tinh thần cấp đại sư đừng, dù là giống vậy làm việc năm đời cơ giáp, cũng không phải vưu luân có thể so với, trực tiếp đem đánh không có sức đánh lại!

	Tinh thần đại sư vô cùng thưa thớt, toàn bộ đế quốc Tinh Hà trên mặt nổi tinh thần đại sư không vượt qua hơn 1 triệu người!

	Nhìn như rất nhiều, có thể Huyền Thiên giới dân số lại có nhiều ít? Lấy một ngàn tỉ tính toán!

	"Không thú vị!"

	"Bí kỹ, chữ thập tinh quang trảm!"

	Bắc Phong lắc đầu một cái, trực tiếp phát động khắc ở trong cơ giáp chiêu thức.

	Ở Bắc Phong xem ra cái này cái gì chữ thập tinh quang trảm xù xì vô cùng, chỉ có thể khó khăn lắm coi như là võ.

	Có thể phối hợp với cơ giáp lực lượng, một chiêu rơi xuống, nhưng là vô cùng kinh khủng!

	2 món đan chéo năng lượng xuất hiện, hư không đều là bể tan tành!

	Thập tự giá hóa là ngàn trượng lớn nhỏ, phong tỏa không gian, đem vưu luân đoàn người toàn bộ phong tỏa ở bên trong!

	"Không!"

