Chương 46: Nếu không cạn nữa 1 phiếu?  
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Dực Tổ vỗ cánh, khuấy động chín tầng trời gió mạnh, đáng sợ gió mạnh như đao, xé không gian!

	Đưa hai tay ra, bắt lại Nguyệt Thiền thân thể, cao nhất sức mạnh to lớn bùng nổ, hai cánh chấn động, đánh nát không gian, mở ra một cái lối đi!

	Dực Tổ chuẩn bị bỏ chạy, hảo hán không ăn thua thiệt trước mắt.

	Lưu được núi xanh có ở đây không sợ không củi đốt!

	Nguyệt Thiền thân thể cao lớn tràn đầy không mục nát chói lọi, không có một tia một hào tổn thương, một thân huyết khí cùng năng lượng cũng không có tiêu tán, mà là ở trong cơ thể không ngừng tuần hoàn!

	Giống như là lâm vào ngủ say, tùy thời đều có thể lần nữa hồi phục vậy!

	Bắc Phong trong lòng cuống cuồng, nhưng cũng không có cách nào, bất lực không có sức, chỉ có thể trơ mắt nhìn Dực tộc rung chuyển Nguyệt Thiền thân thể, chuẩn bị bước vào hư không bên trong lối đi!

	"Cái này cũng không trách ta, là các người quá chậm." Bắc Phong lẩm bẩm, lần này Đông Hoàng Thái nhất đẳng người có thể nói là tiền mất tật mang.

	Hao phí tinh lực mở ra hư không lối đi không nói, tự thân hóa thân đều bị chém chết, không mục nát căn nguyên bị Dực Tổ đoạt.

	Cái này ba cái hóa thân bên trong không mục nát căn nguyên, đủ để chiếm cứ Đông Hoàng Thái nhất đẳng người có không mục nát bổn nguyên 20%!

	Tổn thất nhiều như vậy không mục nát căn nguyên, nếu là không có cơ duyên, sợ rằng cần đếm lấy một trăm ngàn năm kế, mới có thể khôi phục như cũ.

	Nhìn một cái sau lưng bể tan tành mặt kiếng, Bắc Phong thở dài một cái, không còn kịp rồi.

	Dực Tổ lập tức phải bước vào hư không lối đi, lấy bất hủ cảnh người thủ đoạn, đủ để bước ngang qua đi ra ngoài vô tận cương vực, xóa đi tự thân tung tích.

	Nếu không phải trước mặt bị chặn lại đến, giống nhau cảnh giới hạ, một tôn bất hủ cảnh muốn giấu giếm tự thân tung tích, cái khác bất hủ cảnh vậy rất khó tìm.

	Giống như trước khi Đông Hoàng Thái một, ở Bắc Phong cho biết Dực tộc tồn tại, Đông Hoàng Thái một lập tức liền cảm ứng được Dực Tổ.

	Nhưng cho dù là cảm ứng được, có thể ở Dực Tổ dưới quấy nhiễu, Đông Hoàng Thái một vậy là không thể làm gì.

	"Dám can đảm đánh chết bọn ta hóa thân, liền muốn đi như vậy sao?"

	Một giọng nói vang lên, vạn đạo đồng tình, truyền khắp toàn bộ ngân hà.

	Một tôn cao nhất tồn tại, từ bể tan tành mặt kiếng bên trong bước ra một bước, trên mặt không có quá nhiều diễn cảm, nhìn chằm chằm Dực Tổ vừa nói.

	Bất ngờ là Mông Điềm!

	Màu đen sát khí trùng tiêu, khuấy động ngân hà!

	Tạo thành một tôn vô cùng to lớn thần thánh pháp tướng, pháp tướng khổng lồ, ước chừng có thể so với còn chưa bể tan tành trước Bất Diệt tinh!

	Dực Tổ con ngươi co rúc một cái, không chút do dự ra tay!

	Là huyết đại đạo thay trời đổi đất, trực tiếp bài xích còn lại tất cả đại đạo, Thiên đạo, đem giới này trực tiếp hóa là đặc biệt tràng vực!

	Một cái khổng lồ như tinh thần dấu tay, hướng Mông Điềm một cái cầm hạ!

	Mà Dực Tổ chính là mang Nguyệt Thiền thân thể, cũng không quay đầu lại ghim vào hư không bên trong lối đi!

	Mông Điềm trơ mắt nhìn Huyết thủ ấn rơi xuống, không có đi chú ý rời đi Dực Tổ.

	Có thể so với Bất Diệt tinh pháp tướng động, lộ ra ngón tay, trên cao nhìn xuống, từ trên ngân hà, hướng Huyết thủ ấn nhấn xuống!

	Hư không ở nơi này một ngón tay hạ sụp đổ, không ngừng văng tung tóe!

	Ngón tay dưới, tựa hồ hình thành một cái hắc động, chiếm đoạt hết thảy!

	Huyết thủ ấn cùng ngón tay va chạm, không có kinh thiên động địa vang lớn, hai người một gặp phải, liền như nước với lửa vậy, mỗi người tan rã.

	Màu máu dấu tay cùng ngón tay khổng lồ mỗi người chiếm cứ trên dưới hai phương hướng, một lăn tăn rung động lan tràn, để cho vùng lân cận vô số hành tinh nhỏ nổ tung!

	Bước ra một bước, Mông Điềm biến mất ở Bắc Phong trước mắt.

	Mà bể tan tành mặt kiếng trong, vô cùng u ám, thỉnh thoảng có một đạo lưu quang chớp mắt rồi biến mất.

	Chẳng qua là bên trong, trừ Mông Điềm ra, không có người khác mới đi ra.

	"Không đúng à, chỉ có Mông Điềm tới sao? Đông Hoàng Thái một tại sao không có thấy?"

	Bắc Phong có chút suy nghĩ không ra, nhưng những thứ này cũng không phải là mình cần phải cân nhắc.

	Dù sao mình coi như là tận lực, vậy sáng tạo ra cơ hội này

	Nếu như vậy cũng để cho Dực Tổ chạy mất, Bắc Phong vậy không thể làm gì.

	. . .

	Dực Tổ bước vào hư không bên trong lối đi, mới thở phào nhẹ nhõm.

	"Thật là mạnh, tối thiểu là hoàn thành tứ chi, thậm chí là trừ đầu lâu bên ngoài, hoàn thành toàn thân không mục nát!

	Khó trách lũ lũ xuất rằng bổn tôn dự liệu, tới nhanh như vậy!

	Đây rốt cuộc là tới từ nơi nào thế lực, lại có thể không có nghe qua!"

	Dực Tổ có chút phát hoảng.

	Cái này tùy tiện đi ra một tôn bất hủ cảnh, chính là như vậy đáng sợ, so với mình còn mạnh hơn, vậy ngoài ra hai tôn hóa thân bản thể đâu ?

	"Cũng may lão tổ có trước thấy rõ ràng."

	Dực Tổ lòng vẫn còn sợ hãi, nguyên bản đối với mình buông tha luyện hóa Nguyệt Thiền thân thể còn có chút không cam lòng.

