Chương 139: Khai thiên tích địa thứ nhất pháp 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Một màn này quá mức đáng sợ, đủ để cho vô số bất hủ cảnh kinh hoàng!

	Không gian từng tầng một hướng xuống, mỗi tầng 1 bên trong không gian cũng tồn tại một cái độc lập vũ trụ, càng mặt ngoài trong không gian tồn tại vũ trụ lại càng yếu, nhưng vậy vẻn vẹn chỉ là trong đó lực lượng hệ thống yếu, diện tích nhưng là không thay đổi chút nào!

	Vô số tầng không gian vòng quanh vòng quanh tương khấu, lẫn nhau bây giờ nhìn như không có liên lạc, nhưng thực thì nhưng lại là tức tức tương quan.

	Làm tầng thứ nhất trong không gian, có sinh linh một mình thực lực hay hoặc giả là đúng viên thế giới lột xác, như vậy sẽ tiến vào tầng thứ hai không gian!

	Mỗi tầng 1 không gian đối với lực lượng dễ dàng tha thứ là có thượng hạn, làm xuất hiện kinh khủng tồn tại, thế giới lực liền sẽ bắt đầu đem đối phương bài xích ra ngoài, để cho nó tiến vào hơn nữa sâu tầng thứ bên trong không gian.

	Nhưng là đây cũng chỉ là nhằm vào vốn trong không gian mới vừa sinh ra chủng tộc hoặc giả là sinh linh, như Bắc Phong bực này tồn tại, muốn hạ xuống tầng thấp không gian cứ việc cần phải bỏ ra nhất định giá phải trả, có thể cũng không phải quá mức phiền toái.

	Nhưng thế giới dễ dàng tha thứ nhưng cũng có hạn, nếu là Bắc Phong từ sâu tầng thứ bên trong không gian tiến vào bề ngoài cạn tầng bên trong không gian trắng trợn phá xấu xa, đúng tầng bên trong không gian vũ trụ lực thì sẽ cưỡng ép đem Bắc Phong đuổi.

	Mà hôm nay, Bắc Phong cùng cái này tôn quỷ dị tồn tại không gian nhưng là ở tầng thứ 16, đã coi như là chỗ sâu, dẫu sao càng về phía sau, thật ra thì không gian diện tích không thay đổi, nhưng là trong đó tinh thần lại càng thiếu, như Kim tự tháp vậy!

	Hôm nay Hắc Trạch tinh liền đứng ở nơi này một phương chư thiên vạn giới nơi có không gian nhất đỉnh cấp, ở vào thứ ba mươi tầng sau bên trong không gian!

	Tầng thứ 16 trong không gian, mặc dù không gian khổng lồ, nhưng là có thể tồn tại ở tầng thứ 16 không gian bên trong tinh thần, không một không phải cực kỳ kinh khủng!

