Chương 316: Trở về! 
 Converter Dzung Kiều cầu khen thưởng 

	Trong phòng rộng lớn, một lớn một nhỏ hai cái thân ảnh ngồi chung một chỗ.

	"Ừ ? Ngươi phải đi?"

	Hạ Cơ ngược lại là không nghĩ tới Bắc Phong xảy ra lời như vậy, khẽ cau mày chung một chỗ.

	Một cổ áp lực hơi thở bồng bềnh ở trong phòng, một khi bộc phát ra long trời lở đất.

	" Ừ, là thời điểm rời đi."

	Bắc Phong sắc mặt trầm ổn, không có động tĩnh.

	"Hề hề, ngươi cảm thấy ngươi có thể đi sao?"

	Hạ Cơ phát ra một tiếng cười khẽ, "Trước không ta có nhường hay không ngươi đi, chỉ một chẳng qua là Bằng thân vương nơi đó ngươi liền không qua ải!"

	"Vô dụng, ngươi không hiểu."

	Bắc Phong không có đi xuống ý niệm, xoay người rời đi.

	"Có ý tứ, ta đây muốn xem xem ngươi làm sao rời đi?"

	Hạ Cơ không cho là đúng cười một tiếng, muốn ném xuống mình lưu, truyền đi người khác nghĩ như thế nào?

	Bỏ mặc như thế nào, Bắc Phong đã là Hạ Quốc phò mã, thật nếu để cho Bắc Phong chạy mất, người khác sẽ định thế nào mình cái này công chúa?

	Hạ Cơ triệu tập Bình Nhi, nhẹ giọng liền đôi câu.

	"Cái gì? Hắn có thể lấy công chúa ngài đó là hắn thiên đại phúc phận, hắn lại còn muốn chạy! Nô tỳ cái này liền đi qua đem chân hắn cắt đứt, xem hắn chạy thế nào!"

	Bình Nhi nổi giận đùng đùng trước, là chủ tử nhà mình ôm bất bình.

	"Trở lại, coi trọng hắn là được, mặc dù hắn chẳng qua là Bằng thân vương con cờ, nhưng là cũng không thể rơi xuống Bằng thân vương mặt mũi, gần đây Bằng thân vương động tác càng ngày càng lớn."

	Hạ Cơ có chút buồn cười, gọi lại Bình Nhi, thật muốn đánh đứt Bắc Phong chân, mình sẽ hành động.

	"À."

	Bình Nhi lưu luyến không thôi đi trở về, trong lòng âm thầm tiếc rẻ.

	Nếu như mới vừa rồi Hạ Cơ không gọi ở Bình Nhi,

	Bình Nhi thật sẽ đi cắt đứt Bắc Phong chân, bao gồm chân thứ 3(con giun).

	Mà Bắc Phong đột nhiên đánh rùng mình một cái, cảm thấy chuyện gì không tốt tình muốn phát sinh.

	"Hệ thống, ta bây giờ tùy thời cũng có thể hồi tới Trái Đất sao?"

	Bắc Phong mở miệng hỏi đến.

	" Uhm, một ngày sau không trở lại đem coi là tự nguyện buông tha trở về."

	Hệ thống thanh âm vang lên.

	Bắc Phong đạt được chắc chắn câu trả lời sau đó thở phào nhẹ nhõm, nếu đã có thể trở về, vậy liền không có gì phải sợ.

	"Bất quá ở chỗ này trước, cũng không thể lãng phí tới cái thế giới này cơ duyên à!"

	Bắc Phong mang trên mặt nụ cười, sau đó xoay người đi phòng bếp.

	Bắc Phong bắt đầu còn lấy làm cho này bên trong sẽ có nhẫn không gian các loại bảo vật tồn tại, kết quả lại là thất vọng, là lấy Bắc Phong cũng không dám ở trước mặt người hiện ra mình ủng có nhẫn không gian.

	Muốn đi ra ngoài là không thể nào, nhưng là ở trong phủ vẫn là thông suốt không trở ngại.

	Phòng bếp rất lớn, lúc này không có người nào ở.

	Bắc Phong đi sau khi đi vào bắt đầu trắng trợn vơ vét trong đó nguyên liệu nấu ăn cùng dược liệu, nhìn tự cầm một điểm này đồ, Bắc Phong đều là lòng thương yêu không dứt, nhẫn không gian quá, rất nhiều thứ căn bản không chứa nổi à.

	Ra phòng bếp đi ngang qua lương đình lúc này nhìn sinh trưởng xanh um tươi tốt dược tiên hoa, Bắc Phong suy nghĩ một chút, cũng rút ra chừng mười bụi cây thả nhập trong không gian giới chỉ.

	"Hệ thống ta muốn trở lại Trái Đất!"

	Bắc Phong trong lòng mặc niệm.

	Sau đó một đạo màu đen vòng xoáy ở Bắc Phong lòng bàn chân xuất hiện, Bắc Phong bắt đầu một chút xíu chìm xuống.

	"Đáng tiếc, chung quy ta vẫn là phải trở lại thuộc về ta địa phương đi."

	Bắc Phong trong lòng có chút không thôi, dẫu sao chỗ này thế giới thật quá thích hợp võ giả.

	Tiến vào không gian ngay tức thì, Bắc Phong liền hôn mê đi.

	"Ve sầu, ve sầu!"

	Trời nắng chan chan, một nơi trong rừng núi vô số con ve ở kêu to.

	Bắc Phong chậm rãi tỉnh lại, sau đó thời gian đầu tiên chính là ý niệm nặng nhập trong không gian giới chỉ.

	"Tại sao có thể như vậy? !"

	Bắc Phong phát ra một tiếng rống giận, ở trong rừng núi truyền đi rất xa.

	"Hệ thống, ta trong không gian giới chỉ linh dược đâu ? !"

	Bắc Phong ở trong đầu yên lặng hỏi đến.

	"Đinh! Hệ thống chỗ sơ hở đã điền vào, là phòng ngừa lần sau kí chủ cố ý rơi vào trong giếng trắng trợn vơ vét linh dược, là lấy làm ra hạn chế! Tất cả dùng loại này phương pháp dẫn tới linh dược hết thảy hóa thành hạt giống, trong đó không thích hợp bản thế giới hạt giống trực tiếp mất đi!"

	Hệ thống thanh âm vang lên.

	Bắc Phong đè nén lửa giận trong lòng, "Ta lần sau tiến vào dị thế giới sau còn có thể hay không trở lại?"

	"Đinh! Có thể trở về tới, cần một triệu trị giá kinh nghiệm."

	Hệ thống giống như là mọi phương diện cũng cân nhắc đến, để cho Bắc Phong chặn trong lòng ý niệm.

	Bắc Phong bỗng nhiên lại chút lòng rung động, dường như theo thả câu người đẳng cấp tăng lên, hệ thống càng ngày càng thông minh!

