Chương 920: Tới mà không đi cũng không lễ phép 
 Converter Dzung Kiều cầu khen thưởng 

	Nhìn Bắc Phong bóng người rời đi, ba người cũng không che giấu nữa.

	"Thời gian xong hết rồi chứ ?"

	Quản Lâm đột nhiên mở miệng vừa nói, trước cho người phóng khoáng không kềm chế được hình tượng không còn gì vô tồn, cả người tỏ ra vô cùng âm lãnh.

	"Đúng vậy, như thế tuấn mỹ thiếu niên, đáng tiếc liền phải bỏ mạng."

	Yên Thanh mím môi một cái, cười duyên nói đến.

	"Lại có thể như vậy, vậy cứ dựa theo kế hoạch làm việc đi, trước hết để cho cái này đứa nhỏ đánh trận đầu, tiêu ma một ít hổ yêu thực lực, hy vọng đứa nhỏ có thể cho chúng ta một cái ngạc nhiên mừng rỡ, tốt nhất là cùng hổ yêu lưỡng bại câu thương."

	Bão Phác Tử cũng là lộ ra một hớp răng trắng, ánh mắt như rắn độc, để cho người rợn cả tóc gáy.

	"Đi!"

	Yên Thanh từ trong không gian giới chỉ lấy ra một khối ngọc thạch, ngọc thạch phẩm chất phi phàm, mơ hồ có chất lỏng ở ngọc thịt trung lưu động, đúng khối ngọc phơi bày màu lửa đỏ, trên đó tràn đầy rậm rạp chằng chịt đường vân.

	Yên Thanh tiện tay ném đi, một khối này ngọc nhất thời hóa là một đạo màu lửa đỏ lưu quang, hướng bên trong cốc bay đi.

	"Oanh!"

	Một đạo chói mắt ánh lửa bay lên, tiếng nổ ở trong thung lũng vang vọng.

	Rồi sau đó ba người hai mắt nhìn nhau một cái, mỗi người lấy ra một khối trận bàn, nhất thời ba người giống như đưa thân vào khác một mảnh thế giới, hơi thở biến mất không gặp.

	Mà đang ở đạo này nổ bay lên lúc đó, thung lũng chỗ sâu, một trong sơn động, hai đầu còn chưa mở mắt ra tiểu Hổ yêu nhất thời bị sợ run run, mà một đạo hơi thở cuồng bạo đột nhiên phóng lên cao, trong sơn động mờ tối sáng lên 2 món yêu dị hồng mang.

	"Ngao!"

	Một đạo tiếng gầm gừ vang khắp trời đất, một đầu khổng lồ hổ yêu cất bước, từ trong sơn động đi ra.

	Rồi sau đó đột nhiên vỗ cánh, thân thể biến mất không gặp.

	Bắc Phong nhìn phía sau ngọc thạch bay tới, trên mặt không có bất cứ ba động gì, lẳng lặng nhìn khối ngọc thạch này nổ tung.

	Nghe tới đạo này tiếng gầm gừ, trên mặt lộ ra nụ cười, lẩm bẩm nói nhỏ, "Tới mà không đi cũng không lễ phép, đi!"

	Bắc Phong hư không một trảo, một món tựa như khói như ảo hơi thở xuất hiện ở trong tay, rồi sau đó đi ra ngoài tới một khối linh thạch, trực tiếp đem cái này một món hơi thở dung nhập vào trong đó, rồi sau đó cong ngón tay bắn ra, linh thạch ngay tức thì phá không rời đi.

	Rồi sau đó Bắc Phong khí tức cả người hạ xuống đến mức tận cùng, cả người dung nhập vào một bên trong bóng ma.

	"Ừ ?"

	Trong trận pháp, Yên Thanh có chút kinh nghi bất định.

	"Thế nào?"

	Hai người khác nhìn Yên Thanh nhíu mày, không khỏi mở miệng hỏi.

	"Ta trước ở đó đứa nhỏ trên mình lưu lại vậy một món hơi thở mất đi cảm ứng."

	Yên Thanh nhẹ giọng mở miệng vừa nói.

	"Biến mất liền biến mất đi, dù sao đã thành định cục."

	Quản Lâm lơ đễnh vừa nói.

	Ở hắn xem ra, vậy một món hơi thở tiêu không cần thiết mất cũng không có vấn đề, dù sao vậy đứa nhỏ chết chắc.

	"Ta cảm giác có cái gì không đúng."

	Yên Thanh tâm thần có chút không yên, cau mày.

	"Ngươi cũng có như vậy cảm giác?"

	Yên lặng không nói Bão Phác Tử lúc này trên mặt lộ ra kinh ngạc, lúc này đột nhiên mở miệng, vẻ mặt ngưng trọng.

	"Chuyện gì xảy ra?"

	Quản Lâm cũng là thu liễm nụ cười, vẻ mặt ngưng trọng, một người cảm giác không đúng khá tốt, nhưng bây giờ Yên Thanh cùng Bão Phác Tử hai người đều cảm thấy không đúng, vậy khẳng định liền có vấn đề!

	Tu hành đến chỗ cao thâm, võ giả thần giác bén nhạy vô cùng, thỉnh thoảng sẽ xuất hiện có linh cảm giống.

	"Không đúng! Đi mau!"

	Yên Thanh đột nhiên sắc mặt đại biến, trên mặt ung dung biến mất không gặp, thay vào đó chính là vẻ mặt vặn vẹo.

	"Oanh!"

	Ở Yên Thanh lời nói rơi xuống lúc đó, một cổ hủy diệt chập chờn đã hạ xuống, trận pháp nháy mắt bị kích phá, ba người bóng người bại lộ ra.

	"Ngao!"

	Một đầu khổng lồ hổ yêu đôi mắt tràn đầy tia máu, ngửa mặt lên trời gầm thét, có thể thấy được vậy hàm răng vô cùng sắc bén, cùng với đầu lưỡi phủ đầy vô số đảo câu!

	"Đáng chết, là thằng nhóc kia giở trò quỷ!"

	"Giết, nhất định phải giết hắn!"

	Ba người bóng người trực tiếp bại lộ ở hổ yêu thân trước, chật vật tránh thoát nổ năng lượng dư âm, hổn hển.

	Từ Yên Thanh vừa xuất hiện sau đó, lập tức cảm ứng được bốn phía vậy một món hơi thở, bất ngờ là mình ở lại Bắc Phong trên người vậy một món hơi thở!

	Lúc này cừu nhân gặp mặt, hết sức đỏ con mắt, con hổ này yêu cặp mắt lạnh như băng nhìn ba người, bên người có một cái thật dài vết thương, cơ hồ đem con hổ này yêu chém eo!

	Con hổ này yêu không có quên cái này ba người, chính là cái này ba người đánh lén mình, để cho mình trọng thương, đánh chết mấy đầu đời sau của mình, thậm chí bạn lữ của mình đuổi theo đến bây giờ cũng vẫn chưa về.

