Chương 142: Cái đó ~ bảo vật bị câu đi. . . 
 Converter Dzung Kiều cầu khen thưởng 

	"Một ngàn linh thạch!"

	"Một ngàn hai linh thạch!"

	"Một ngàn năm trăm linh thạch! Ta Mạc gia muốn!"

	Trong hội trường xuất hiện chốc lát yên tĩnh, sau đó chính là từng cái ra giá vang lên, tựa như đó không phải là mấy ngàn linh thạch, mà là một đống đá vậy.

	Riêng lớn trong hội trường, chỉ có lầu hai, lầu ba trong phòng riêng nhân vật lớn ở ra giá.

	Hai lầu ba phòng riêng áp đảo trong hội trường, chưa từng có người thực lực và bối cảnh không thể nào tiến vào trong đó!

	Trong hội trường ngồi mọi người ngược lại thì thành xem náo nhiệt, nhưng mọi người nhưng nhìn nói chuyện say sưa, trong ngày thường có thể xem không thấy nhiều như vậy gia tộc lớn xé ~ ép!

	Cuối cùng kiếm này phù bị một gia tộc lớn lấy ba ngàn linh thạch vỗ xuống, kiếm này phù hoàn toàn có thể làm vì gia tộc nội tình, ở sinh tử tồn vong đang lúc nói không thể liền dựa vào kiếm này phù ngăn cơn sóng dữ!

	Sau nửa trận bảo vật đều là ngoại giới khó gặp, may là lấy Thiên Bảo các lần bố trí long đồ hoàng triều thế lực to lớn cũng ước chừng làm cho này buổi đấu giá chuẩn bị mười năm!

	"Phía dưới mời ra chính là lần này hội đấu giá mười kiện áp trục bảo vật một trong! Trúc cơ đan!" Cụ già áo gấm thanh âm có chút rất nhiều chập chờn, nói tiếp, "Viên thuốc viên này chủ nhân uỷ thác Thiên Bảo các đấu giá, chỉ đổi lấy tăng lên luyện khí kỳ thực lực đan dược."

	Mà phía dưới mọi người toàn bộ đều đờ đẫn ở, mình nghe được cái gì? Trúc cơ đan à! Luyện khí đỉnh cấp ăn vào một viên trúc cơ đan đánh vào trúc cơ kỳ lúc có thể tăng lên 30% tỷ lệ thành công!

	Có thể đừng xem nhẹ cái này tầng ba tỷ lệ thành công, đây đã là rất cao!

	"Đây là đâu cái phá của đồ chơi, loại đan dược này cũng có thể lấy ra bán đấu giá?"

	Trong hội trường, một người tối tăm thầm mắng một câu, người khác có trúc cơ đan còn không giấu giếm, giữ lại cùng mình luyện khí tột cùng thời điểm lại uống, tên nầy đến tốt, trực tiếp lấy ra bán đấu giá.

	"Không nghĩ tới trúc cơ đan như vậy bảo vật cũng có, không hổ là Thiên Bảo các, không tiếc bất cứ giá nào bắt lại viên này trúc cơ đan! Có viên trúc cơ đan này, nói không thể lão tổ liền có thể đột phá đến trúc cơ kỳ!"

	Lầu ba trong một cái buồng, một người đàn ông trung niên mừng rỡ như điên, cái này Thiên Bảo các sau cùng mười kiện áp trục bảo vật từ trước đến giờ là không công bố, không có bắt đầu quay bán lúc đó, người ngoài cũng không biết có chút gì.

	Lúc này nghe lại có trúc cơ đan như vậy bảo vật xuất hiện, các thế lực lớn không thể bình tĩnh!

	Một viên trúc cơ đan rất có thể tạo ra được tới một vị trúc cơ kỳ cao thủ!

	Mà trúc cơ kỳ tuổi thọ có thể đạt tới hai trăm năm! Coi như chừng mười cái luyện khí đỉnh cấp ở trúc cơ kỳ tu sĩ trước mặt cũng là không chịu nổi một kích, ý nghĩa có một vị trúc cơ kỳ cao thủ trấn giữ, gia tộc sẽ đem vững như Thái Sơn, sẽ đem nghênh đón nhanh chóng phát triển!

	"Bây giờ có thể bắt đầu ra giá, nếu như cuối cùng giá sau cùng quá thấp, người bán có thể lựa chọn buông tha đổi chác." Lão nhân nói xong sau đó cũng không lên tiếng nữa, lặng lẽ đứng ở một bên.

	"Mười bình tinh khí hoàn!" Trong lầu hai, một gia tộc bắt đầu ra giá.

	"Mười bình tiên thiên đan!"

	"Mười lăm bình luyện khí đan!"

	"Vậy ta? 1. . ."

	Vô số gia tộc rối rít ra giá, thấy phía dưới trong hội trường mọi người âm thầm chắt lưỡi.

	Một người thở dài nói, "Tinh khí hoàn cũng được đi, chỉ đối với luyện khí kỳ sáu tầng trở xuống hữu dụng, thế nhưng tiên thiên đan cùng luyện khí đan nhưng có thể một mực dùng đến luyện khí đỉnh cấp! Những thứ này gia tộc lớn thật là ra tay thật lớn à!"

	"Không sai, mười lăm bình luyện khí đan giá trị vượt qua mười ngàn linh thạch!"

	Tranh đoạt đến phía sau, tất cả gia tộc lớn đều bắt đầu lấy thế lực gia tộc đè người, cái này nói ta là cái đó cái đó gia tộc, một người khác nói con trai mình là cái gì môn phái nào đệ tử.

