Chương 98: 4 cái Thiên đạo! 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	Bắc Phong thanh tĩnh lại, bây giờ hệ thống đối với mình tầm quan trọng không cần nói cũng biết.

	Không có hệ thống trợ giúp còn muốn muốn ở thần ma cảnh trong đột nhiên tăng mạnh không thực tế.

	Thần ma cảnh, một cái đáng sợ cảnh giới, cùng trong cảnh giới chênh lệch cường đại đến đáng sợ!

	"Tăng lên vô tận đại đạo tới Thiên đạo!"

	Bắc Phong nhìn còn dư lại thả câu kinh nghiệm, chẳng qua là hơi hơi trầm ngâm，, mở miệng vừa nói.

	Tửu lượng cao thả câu kinh nghiệm biến mất, ước chừng tiêu hao 200 tỉ thả câu kinh nghiệm, mới đưa vô tận đại đạo tăng lên tới Thiên đạo tầng thứ!

	"Cái này tiêu hao, so ta nắm trong tay hai cái Thiên đạo nơi tốn hao thả câu kinh nghiệm còn nhiều một chút. ."

	Bắc Phong chắt lưỡi, lòng thương yêu không dứt.

	Cái này tiêu hao quá lớn, nguyên bản lấy là mình là chủ lão tài, kết quả tu vi càng cao, cần tiêu hao thả câu kinh nghiệm cũng là thành bội tăng lên!

	"Bất quá cứ như vậy, ta liền ước chừng nắm trong tay ba cái Thiên đạo lực, ngoài ra còn có vận may đại đạo, còn dư lại bốn ngàn trăm triệu thả câu kinh nghiệm, mới có thể đem vận may đại đạo tăng lên tới Thiên đạo tầng thứ chứ ?"

	Bắc Phong có chút không xác định.

	Vận may Thiên đạo có chút đặc thù, hơn nữa không có còn lại đại đạo cùng vận may đại đạo dung hợp, như muốn tăng lên tới Thiên đạo tầng thứ tiêu phí, phỏng đoán so với vô tận đại đạo cần thả câu kinh nghiệm còn nhiều hơn!

	"Bây giờ công pháp đối với ta tới nói không có dùng, võ cũng đủ rồi, bất kể là Hình ý quyền, còn chưa chết ấn, đều đủ để điều động Thiên đạo lực."

	"Ngoài ra, ta bây giờ thực lực ở thần ma cảnh trong đều không yếu, trừ một ít cao nhất tinh thần ra, còn lại siêu cấp tinh thần đã không cần thả câu kinh nghiệm tới bỏ phong tỏa thực lực."

	Thần ma cảnh, đủ để chống lại siêu cấp ngôi sao Thiên đạo!

	Một khi hạ xuống ở siêu cấp tinh thần bên trong, chỉ cần vượt qua giai đoạn trước một đoạn bị áp chế thời gian sau đó, thực lực liền sẽ tự nhiên bắt đầu khôi phục.

	Làm đạt tới cường thịnh, cho dù là Thiên đạo cũng không thể áp chế, đủ để cùng Thiên đạo chống lại!

	Cũng chính là cao nhất thế giới năng cấp quá mạnh mẽ, nơi sinh ra Thiên đạo thường thường mạnh đáng sợ, ngoài ra lại là không chỉ một cái, mới có thể trấn áp thần ma.

	Nhưng dù vậy, cũng không khả năng hoàn toàn trấn áp thần ma!

	Ở một ít tầm thường cao nhất trong tinh thần, đi qua một đoạn sinh tồn, thần ma thực lực vậy sẽ bắt đầu cựa ra phong ấn, khôi phục bản thể bảy tầng tả hữu lực lượng!

	Cũng chính là như Tần triều Hắc Trạch tinh bực này cao nhất đỉnh cấp tinh thần, mới có thể đem thần ma trấn áp, cả người thực lực không phát huy ra được bản thể 30%!

	"Vận may đại đạo không thể hoặc thiếu, phải nắm trong tay! Tăng lên!"

	Bắc Phong cắn răng một cái, trực tiếp bắt đầu tăng lên vận may đại đạo!

	Thả câu kinh nghiệm như nước chảy, tiêu phí ròng rã 3,800 trăm triệu, mới đưa vận may đại đạo tăng lên tới Thiên đạo tầng thứ!

	Cái này còn là bởi vì là vận may đại đạo chính là Bắc Phong tước đoạt tới, bản thân chính là côn bằng vận may Thiên đạo, cứ việc bị suy yếu tới đại đạo tầng thứ, nhưng nhưng lưu lại một hạt giống.

	Nếu không bằng vào Bắc Phong một điểm này thả câu kinh nghiệm, thật vẫn không đủ đem vận may đại đạo tăng lên tới Thiên đạo tầng thứ!

	"Hô, hôm nay ta nắm trong tay bốn nhánh Thiên đạo, so với tầm thường nắm trong tay một cái thiên đạo thần ma cảnh mạnh ra chí ít mười lần!"

	"Giơ tay nhấc chân là có thể đánh tan nắm trong tay một cái đại đạo thần ma cảnh, chỉ là muốn hoàn toàn đem chém chết còn có chút khó khăn, muốn dễ như trở bàn tay hoàn toàn chém chết nắm trong tay một cái thiên đạo thần ma cảnh, ta ít nhất phải nắm trong tay 10 con Thiên đạo!"

	Bắc Phong định cho mình mục tiêu.

