Chương 43: Hủy thiên diệt địa! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Dực Tổ than thở, nhìn về phía ba người bóng người tràn đầy ý định giết người!

	Thất bại trong gang tấc!

	Chỉ kém mấy ngày thời gian, là có thể đem Nguyệt Thiền thân thể luyện hóa, rèn luyện ra không mục nát căn nguyên.

	Nhưng hiện dưới tình huống này, do không thể Dực Tổ lại sinh lòng may mắn.

	Một khi đối phương khóa giới tới, mình không chết được, nhưng có rất lớn có thể bị phong ấn.

	Bất hủ cảnh không phải tốt như vậy giết, đại đa số dưới tình huống chỉ có thể bị phong ấn, lấy vô tận thời gian, tiêu ma bất hủ cảnh căn nguyên.

	Dực Tổ vì Nguyệt Thiền thân thể, ước chừng hao phí vượt qua một trăm ngàn năm thời gian, mới chịu tương kỳ luyện hóa.

	Nhưng bây giờ thất bại trong gang tấc!

	"Hồi phục!"

	Dực Tổ chân linh chìm vào trong đất, rồi sau đó vô tận uy áp ngay tức thì bao phủ đúng ngôi sao!

	Bắc Phong vào mắt nơi gặp, vô tận đất đai đỉnh núi bắt đầu băng diệt!

	Từng cây một màu máu đỏ lông chim đâm rách đất đai, từ mặt đất đưa ra!

	Trước Bắc Phong thấy vô cùng dãy núi, bất ngờ là Dực Tổ bản thể!

	Vô số dãy núi đều là ở Dực Tổ cánh trên, mỗi một ngọn núi, đều là một cái lông chim!

	Tinh thần chấn động, bắt đầu văng tung tóe, vô số Dực tộc và yêu thú rối rít chết!

	Cánh từ dưới đất nhô lên, mở rộng ra tới, che khuất bầu trời, không biết mấy phần lớn nhỏ!

	Từng cây một lông chim như thần kim, ở dưới ánh mặt trời phản xạ sáng bóng!

	Cánh bên bờ sắc bén vô cùng, hoa phá hư không!

	Rồi sau đó là khác một cái cánh!

	Đầu lâu, thân thể, bắt đầu một chút xíu từ mặt đất hiện lên!

	Một cổ kinh thiên động địa uy áp đang nổi lên, như dòng nước ngầm tuôn ra núi lửa!

	Một đầu dáng người có thể so với một ngôi sao Dực tộc xuất hiện, chu vi hàng tỷ bên trong đất, không gian ở nơi này một cổ uy áp hạ đọng lại đúng sự thật thế chấp, tầm thường thần ma cảnh liều mạng cũng khó mà đánh vỡ!

	Mãnh liệt huyết dịch bắt đầu từ trong hư không thấm ra, hóa là một mảnh biển máu!

	Là huyết đại đạo!

	Nơi đây hóa là cánh tổ sân nhà, đối với Đông Hoàng Thái một ba người hóa thân áp chế đến trình độ cao nhất!

	Có thể nói, cả người thực lực, liền một nửa cũng không phát huy ra được!

	"Con kiến hôi vậy, nếu là các ngươi bản thể đến, bổn tôn không nói hai lời, trực tiếp rời đi, chính là hóa thân, cũng dám xấu xa ta chuyện tốt, chết chết chết!"

	Thời khắc này Dực Tổ mới là thời kỳ toàn thịnh, uy năng vô lượng!

	Trước Dực Tổ chân linh, nhiều nhất chỉ phát xảy ra Dực Tổ toàn bộ thực lực một nửa!

	Cao thủ so chiêu, tranh một đường!

	Chẳng qua là chênh lệch chút nào ly, đều có thể chết!

	Chớ đừng nhắc tới bây giờ thời kỳ toàn thịnh Dực Tổ, thực lực, tuyệt đối không chỉ là nhiều hơn một nửa đơn giản như vậy!

	Không phải nói Đông Hoàng Thái một ba người hóa thân lại hơn một nửa, là có thể đền bù cái này một cái chênh lệch!

	Coi như là hóa thân số người nhiều gấp bội đi nữa, cũng sẽ bị Dực Tổ kéo khô tồi mục nát chém chết!

	Bắc Phong bị đồng xanh cảnh tán dật năng lượng che phủ ở trong đó, nếu không Dực Tổ cùng Đông Hoàng Thái một đám người hóa thân uy áp là có thể để cho Bắc Phong bị thương nặng!

	"Là huyết đại đạo!"

	Dực Tổ nổi điên, bản thể bay lên không, một cái không nhìn xong toàn thân, người ở Dực Tổ trong mắt, so con kiến hôi còn nhỏ bé!

	Một cái mạnh mẽ màu máu đại đạo xuất hiện, mới vừa xuất hiện, vô biên biển máu bạo động!

	Thị huyết hơi thở bao phủ đúng ngôi sao, để cho trên đó vô tận sinh linh bắt đầu điên cuồng, giết lẫn nhau!

	"Ngăn trở, chỉ cần chốc lát, ta cùng bổn tôn là có thể hạ xuống!"

	Mông Điềm các người hai mắt nhìn nhau một cái, không sợ hãi chút nào, cao nhất sát phạt thủ đoạn bùng nổ!

	Mông Điềm sau lưng, vô tận khí sát phạt, khuấy động hư không, một tôn tôn người mặc hắc giáp sĩ binh xuất hiện ở Mông Điềm sau lưng!

	Khí sát phạt hóa hình!

	Giờ khắc này Mông Điềm khí huyết trùng tiêu, đáng sợ khí sát phạt kinh thiên!

	Như là cùng vô số đại quân cùng tồn tại!

	Lấy vô tận khí sát phạt đúc ra tuyệt thế thần binh!

	Một cán đồng thể màu đen, có chân long quanh quẩn đại kích xuất hiện ở Mông Điềm đỉnh đầu!

	"Đạo có thể đạo đặc biệt nói , tên có thể tên đặc biệt tên, đạo có ở đây không có thể minh!"

	Trong đạo gia năm, thanh âm tang thương, tựa như từ vạn cổ trước truyền tới!

	Vô cùng đại đạo hiện lên, hóa là từng hạt tròn đại tinh, đại tinh run run, hóa là một quyển tuyệt thế đồ phổ!

	"Âm dương nghịch chuyển, thiên nhân hóa thân!"

	Đông Hoàng Thái một kết ấn, huyền ảo vô cùng, tựa hồ là chung quanh thời gian cũng trở nên chậm, có thể thấy được Đông Hoàng Thái một kết ấn hai tay lưu lại từng đạo tàn ảnh!

	Ba tôn hóa thân cũng không thể điều khiển bản thể sáng tạo đại đạo, vì vậy bây giờ đều là vận dụng cao nhất sát phạt thần thông!

	Ba tôn hóa thân chiến lực, có thể so với nắm trong tay hơn ngàn thiên đạo thần ma cảnh!

	Đối với còn lại thần ma cảnh, cho dù là giống vậy nắm trong tay hơn ngàn thiên đạo cường giả, đều là treo đánh tình cảnh, bởi vì là ba người bản thể đều là bất hủ cảnh, đối với thiên địa nhận biết, cùng với lực lượng nắm trong tay, xa xa vượt ra khỏi thần ma cảnh!

	Nhưng bây giờ nhưng không giống nhau, ba tôn hóa thân đối mặt chính là một tôn chân chính bất hủ cảnh, còn không phải là mới vừa đột phá, ở bất hủ cảnh trong yếu nhất cái loại đó.

	Năm đó Thủy Hoàng thiên tư hơn người, chiến lực kinh trời , ở các loại dưới thủ đoạn, cũng mới khó khăn lắm cùng một tôn không mục nát tay trái bất hủ cảnh chiến bình.

	Mà Dực Tổ nhưng là hai tay đều đã không xong mục nát, đừng xem chỉ có một cái tay chênh lệch, nhưng chiến lực nhưng không chỉ có chẳng qua là tăng lên một điểm nửa điểm!

	Vậy hoàn thành một cánh tay, đối với bất hủ cảnh tăng lên bởi vì người mà dị, từ gấp đôi đến mười lần cũng có thể!

	Mà Dực Tổ chiến lực, vượt qua xa ba tôn hóa thân có thể đối kháng cực hạn!

	Bắc Phong sau lưng đồng xanh cảnh càng phát ra thần dị, hỗn độn khí như thác bố trí, che phủ toàn bộ mặt kiếng, từng cái hỗn độn thần lôi tan biến hư không vô tận!

	Ở Bắc Phong kinh hãi run sợ trong, ba đạo sáng chói chói mắt công kích từ Đông Hoàng Thái nhất đẳng hóa thân trong bùng nổ!

	Trong sân như xuất hiện ba viên mặt trời chói chan, tách thả ra vô cùng ánh sáng!

	Ba đạo công kích, đủ để xóa đi Bất Diệt tinh, đem đánh bể!

	Nhưng đụng vào gào thét đến là huyết đại đạo lên, nhưng là một chút xíu tan biến, không có thể ngăn cản là huyết đại đạo tiến về trước!

	Không gian hóa là hỗn độn, vô số địa hỏa nước gió bùng nổ!

	 là một viên dù sao cũng cân tức nhưỡng!

	Lửa là nam minh ly hỏa!

	Nước là một vũ không thể phiêu nhược thủy!

	Gió là thực cốt âm phong!

	Là huyết đại đạo cùng chư thiên vạn đạo cộng hưởng, cường đại không tưởng tượng nổi!

	Cứ việc cùng Đông Hoàng Thái nhất đẳng ba người công kích giằng co, tốc độ có chút suy giảm, nhưng vẫn là kiên định không dời đi tới trước, tan biến hết thảy!

	"Oanh!"

	Ba đạo tuyệt thế thần thông trực tiếp bị đánh bạo!

	Vô tận năng lượng như núi lửa bùng nổ, ngay tức thì lan truyền, hướng bốn phương tám hướng phóng tới!

	Từ trên ngân hà, hướng phía dưới Bất Diệt tinh nhìn, có thể thấy được một đạo ánh sáng yếu ớt càng ngày càng mãnh liệt, càng ngày càng khổng lồ!

	"Rắc rắc!"

	Đáng sợ nổ mang theo vô số tấn đất bùn phóng lên cao!

