Chương 818: Sừng trâu không tệ à 
 Converter Dzung Kiều cầu khen thưởng và cảm ơn bạn Lê Tuấn Kiệt đã tặng phiếu đề cử

	Yêu "Nhanh một chút, đừng để cho vậy con cóc ghẻ mấy người thường tiên."

	Một đám ba người lượng yêu vội vả hướng Bắc Phong động phủ chạy tới, một người cầm đầu thầm mắng con cóc ghẻ ra tay thật mau.

	"Không biết đi còn có thể hay không chia được một cái chân?"

	Một yêu ừng ực nuốt nước miếng.

	"Nói nhảm, chúng ta muốn, hắn con cóc ghẻ còn dám không cho?"

	Mấy người tốc độ rất nhanh, một bên đi đường, một bên trò chuyện.

	Bắc Phong chỗ động phủ hẻo lánh bốn phía chỉ có Bắc Phong một gian động phủ, giờ phút này trong động phủ truyền tới từng cơn tiếng kêu rên.

	"Khá tốt tới kịp thời, con cóc ghẻ ngươi còn dám ăn một mình!"

	Nhìn động phủ bể tan tành cửa đá, một người cầm đầu dương dương đắc ý đi vào trong đó.

	"À, các người cũng là chuẩn bị tới nếm mùi một chút sao?"

	Một đạo nghe không ra mừng giận thanh âm ở ba người lượng yêu nhân sau lưng vang lên.

	Để cho ba người lượng yêu cảm giác tim bị một cái móng nhọn nắm, sau lưng mồ hôi lạnh chảy ròng.

	"Oa oa, ngươi chết chắc! Ngươi lại dám chém xuống ta đầu lưỡi!"

	"Ta muốn ăn ngươi!"

	Từng đạo tiếng kêu thảm thiết còn ở không ngừng vang lên, để cho có chút u ám hoàn cảnh tỏ ra càng lạnh người.

	Ra ba người lượng yêu ngoài ý liệu, nguyên bản cho rằng lúc này đang kêu rên là người mới này, nhưng lại không có nghĩ đến là con cóc yêu đoàn người.

	Lúc này trong động phủ từng giọt ngân bạch huyết dịch chiếu ở mặt đất, một cổ tử mùi máu tanh không ngừng truyền ra.

	Con cóc yêu một cái đầu lưỡi trực tiếp bị Bắc Phong chặt đứt, đánh mất ở một bên, còn đang không ngừng ngọa nguậy.

	Hai con mắt mù một cái, đại cổ đại cổ huyết dịch từ trong hốc mắt chảy ra, kiếm vô hình khí lượn lờ ở vết thương vùng lân cận, ngăn cản khép lại.

	Mà hai nhân loại lại là trên hai cánh tay máu thịt hóa vì một mảnh mảnh mỏng như cánh ve thịt mảnh tứ tán ở bên trong động phủ.

	Chỉ còn lại oánh bạch xương cốt, bất ngờ là bị cạo sạch liền lượng trên cánh tay tất cả máu thịt!

	"Ực!"

	Đứng ở cửa động phủ ba người lượng yêu nuốt nước miếng một cái,

	Cảm giác có chút lòng rung động.

	"Không không không, đây là hiểu lầm, chúng ta chỗ này tốt thời gian dài không có cái mới người tới, lần này là vì chúc mừng hữu dời đến chỗ nhà mới!"

	"Là rất đúng vô cùng, mấy Đại đương gia đều nói chúng ta hẳn trợ giúp lẫn nhau, đoàn kết!"

	Một đầu lên còn chớp đối với dài lỗ tai dài yêu thú vẻ kiêu ngạo chân thành vừa nói.

	Lời vừa nói ra, mấy người còn lại hai mắt nhìn nhau một cái, cũng là vội vàng phụ họa.

	Trong đó chuyến đi này ba người lượng yêu dẫn đầu người lại là dùng ánh mắt tán thưởng nhìn đầu kia ngựa yêu, khá lắm, không hổ là quỷ nịnh bợ, phản ứng chính là mau!

	Nhìn con cóc yêu đoàn người thê thảm kết quả, về sau nhóm người này cùng yêu đều là thấy được Bắc Phong lợi hại, không dám lỗ mãng.

	"Bố liền nói, có thể bị nhốt đặt tiến vào có mấy cái là bị oan uổng, toàn con mẹ nó đại ma đầu à, tiểu quỷ này nhìn như bất quá mười lăm mười sáu tuổi, không nghĩ tới so bản ông còn lòng đen tối, chẳng lẽ là ta bị giam đặt quá lâu, ngoại giới biến hóa lớn như vậy sao?"

	Ngưu yêu cẩn thận cười theo, quan sát Bắc Phong sắc mặt, trong lòng thầm thì.

	"À, đã như vậy, vậy các ngươi tổng sẽ không tay không tới chứ ?"

	Bắc Phong biểu hiện trên mặt làm biến đổi, cười tủm tỉm mở miệng hỏi.

	"Cái này, cái này. . ."

	Ngưu yêu một đám người trợn tròn mắt, ấp úng không nói ra lời, quà tặng không mang, dao nĩa ngược lại là mang theo một bộ, chẳng qua là tình huống bây giờ nhưng là trái ngược, mình các người mới là bị dao nĩa thêm thân à.

	"Ừ ? Đó chính là lừa gạt ta hả? Ta hận nhất người khác lừa gạt ta!"

	Bắc Phong sắc mặt thiên biến vạn hóa, lập tức trầm xuống, con ngươi khép mở ở giữa hiện ra sát khí, không có hảo ý đánh giá ngưu yêu các người.

	Về phần đang một bên kêu rên con cóc yêu đoàn người, không có ai đi quản sống chết.

	Thân là nhất tu thấp vì đều ở đây động hư cảnh đại yêu cùng võ giả, chút thương thế này còn chưa chết, nhất nhiều chịu khổ một chút thôi.

	"Có có có! Ngài chờ một chút!"

	Ngưu yêu nhìn một cái vô cùng thê thảm con cóc yêu đoàn người, vội vàng cười theo.

	Đùa gì thế, cái này con cóc yêu đoàn người mặc dù chỉ có ba người, nhưng thực lực không kém, thường xuyên cùng mình giao thủ, có thắng bại.

	Nhưng hôm nay nhưng chở ở tiểu quỷ này trong tay, nhìn dáng dấp vẫn là thảm bại, xem lần động phủ, cũng chỉ cửa cửa đá bị đánh nát.

	Điều này nói rõ cái gì? Nói rõ đối phương dễ như trở bàn tay, lấy áp đảo tính ưu thế đánh bại con cóc yêu các người.

	Đổi lại là cùng chi chênh lệch không bao nhiêu mình, sợ rằng kết quả cũng không phải là nhiều hơn tới mấy cái tổn thương tàu.

	Lúc này ba người lượng yêu đi qua một bên, đích nói thầm.

	Bắc Phong ánh mắt nhìn chăm chú đoàn người, để cho đoàn người như mũi nhọn ở gánh, không có suy nghĩ qua chạy trốn ý đồ.

	"Ngựa yêu, nói là tới chúc mừng cái này tiểu ma đầu là ngươi chủ ý, quà tặng ngươi để giải quyết!"

	Ngưu yêu đối với con ngươi trợn to, như chuông đồng, sắc mặt dữ tợn, có thể hù xấu xa đứa nhỏ.

	"Anh Ngưu, ta không có à, cũng chỉ có một chút huyết nguyên thạch."

	Ngựa yêu nhốn nha nhốn nháo, một kề tai dùng sức chớp.

	"Vậy các ngươi đâu! Sẽ không cũng không có đi! Ta nói cho các người, nếu là không lấy ra được quà tặng, vậy ba thiếu ngu chính là con chờ một chút trận."

	Ngưu yêu lỗ mũi phun ra 2 món mang sao hoả chết khói dầy đặc, hiện ra sát khí.

	"Anh Ngưu, bọn ta bị giam đặt lúc đi vào thiếu chút nữa liền quần cụt cũng không có để lại, nơi nào có cái gì quà tặng, nếu không chúng ta góp góp, dùng huyết nguyên thạch làm quà tặng coi là."

	Ngựa yêu vẻ kiêu ngạo đắng chát, sớm biết mình chạy nhanh như vậy làm gì, lần này tốt lắm, bỗng dưng chọc cả người rối reng.

	"Các người có nhiều ít huyết nguyên thạch? Mau lấy ra."

	Ngưu yêu không biết làm sao, cũng chỉ có thể như vậy, huyết nguyên thạch đối với mọi người mà nói rất trân quý, nhưng cùng chi bị Bắc Phong hành hạ một lần so với, vẫn là phá tài miễn tai đi.

	Nếu không điểm này huyết nguyên thạch có thể còn chưa đủ đền bù mình bị cái này tiểu ma đầu hành hạ một lần sau khí huyết thiếu hụt đây.

	Một đám người lại gần một chút, lại có thể chỉ có hơn ngàn viên, bất quá mỗi một viên đều có lớn chừng quả trứng gà, về phẩm chất ngồi.

	"Đạo hữu, thực không dám giấu giếm, bọn ta trong túi ngượng ngùng, cũng chỉ có cái này hơn ngàn viên huyết nguyên thạch coi như không tệ, mong rằng đạo hữu không nên chê."

	Ngưu yêu vẻ kiêu ngạo cùng cười nói.

	" Được rồi, xem các người cũng không dễ dàng, huyết nguyên thạch cũng không cần, bất quá nghe nói ngưu yêu sừng trâu không tệ à, vừa vặn có thể làm mấy chuỗi hạt châu mang mang."

	Bắc Phong vẻ kiêu ngạo chê, ở ngưu yêu thở phào nhẹ nhõm, cho rằng tránh được một kiếp lúc nhưng lời nói một chuyển, giống như là lầm bầm lầu bầu vừa nói.

	"Tới, cắt đứt ta một cái sừng!"

	Ngưu yêu cặp mắt phun lửa, hô hấp thô trọng, nhìn Bắc Phong vậy một bộ người vô hại hình dáng muốn trở mặt, nhưng bên tai truyền tới tiếng kêu thảm thiết lại để cho ngưu yêu nhịn được.

	Ngưu yêu ồm ồm mở miệng, hướng về phía còn lại hai người lượng yêu mở miệng.

	"Đại ca. . . Thật đánh à? Ta nhìn đều đau."

	Ngựa yêu lẩm bẩm.

	"Đánh! Cắt đứt tính ta!"

	Ngưu yêu trợn mắt nhìn ngựa yêu một cái, lúc này rất không biết làm sao, tại sao ngựa này không sừng dài, nếu không liền có thể đổi một cái đánh.

	Nghe vậy hai người lượng yêu đều là hai mắt nhìn nhau một cái, rồi sau đó rối rít ra tay.

	"À! Ai mẹ hắn để cho các người đánh chân của lão tử!"

	Ngưu yêu hiện ra bản thể, hóa vì một đầu chừng 3m dài ngắn màu xanh bò Tây Tạng, hai cái chân lóe lên màu đồng xanh sáng bóng, phủ đầy thần dị hoa văn.

	Nhưng lúc này đầu này ngưu yêu nhưng là tức miệng mắng to, đầu lưỡi đưa rất dài, nước miếng chấm nhỏ bay đầy trời.Chương 818: Sừng trâu không tệ à 
 Converter Dzung Kiều cầu khen thưởng và cảm ơn bạn Lê Tuấn Kiệt đã tặng phiếu đề cử

	Yêu "Nhanh một chút, đừng để cho vậy con cóc ghẻ mấy người thường tiên."

	Một đám ba người lượng yêu vội vả hướng Bắc Phong động phủ chạy tới, một người cầm đầu thầm mắng con cóc ghẻ ra tay thật mau.

	"Không biết đi còn có thể hay không chia được một cái chân?"

	Một yêu ừng ực nuốt nước miếng.

	"Nói nhảm, chúng ta muốn, hắn con cóc ghẻ còn dám không cho?"

	Mấy người tốc độ rất nhanh, một bên đi đường, một bên trò chuyện.

	Bắc Phong chỗ động phủ hẻo lánh bốn phía chỉ có Bắc Phong một gian động phủ, giờ phút này trong động phủ truyền tới từng cơn tiếng kêu rên.

	"Khá tốt tới kịp thời, con cóc ghẻ ngươi còn dám ăn một mình!"

	Nhìn động phủ bể tan tành cửa đá, một người cầm đầu dương dương đắc ý đi vào trong đó.

	"À, các người cũng là chuẩn bị tới nếm mùi một chút sao?"

	Một đạo nghe không ra mừng giận thanh âm ở ba người lượng yêu nhân sau lưng vang lên.

	Để cho ba người lượng yêu cảm giác tim bị một cái móng nhọn nắm, sau lưng mồ hôi lạnh chảy ròng.

	"Oa oa, ngươi chết chắc! Ngươi lại dám chém xuống ta đầu lưỡi!"

	"Ta muốn ăn ngươi!"

	Từng đạo tiếng kêu thảm thiết còn ở không ngừng vang lên, để cho có chút u ám hoàn cảnh tỏ ra càng lạnh người.

	Ra ba người lượng yêu ngoài ý liệu, nguyên bản cho rằng lúc này đang kêu rên là người mới này, nhưng lại không có nghĩ đến là con cóc yêu đoàn người.

	Lúc này trong động phủ từng giọt ngân bạch huyết dịch chiếu ở mặt đất, một cổ tử mùi máu tanh không ngừng truyền ra.

	Con cóc yêu một cái đầu lưỡi trực tiếp bị Bắc Phong chặt đứt, đánh mất ở một bên, còn đang không ngừng ngọa nguậy.

	Hai con mắt mù một cái, đại cổ đại cổ huyết dịch từ trong hốc mắt chảy ra, kiếm vô hình khí lượn lờ ở vết thương vùng lân cận, ngăn cản khép lại.

	Mà hai nhân loại lại là trên hai cánh tay máu thịt hóa vì một mảnh mảnh mỏng như cánh ve thịt mảnh tứ tán ở bên trong động phủ.

	Chỉ còn lại oánh bạch xương cốt, bất ngờ là bị cạo sạch liền lượng trên cánh tay tất cả máu thịt!

	"Ực!"

	Đứng ở cửa động phủ ba người lượng yêu nuốt nước miếng một cái,

	Cảm giác có chút lòng rung động.

	"Không không không, đây là hiểu lầm, chúng ta chỗ này tốt thời gian dài không có cái mới người tới, lần này là vì chúc mừng hữu dời đến chỗ nhà mới!"

	"Là rất đúng vô cùng, mấy Đại đương gia đều nói chúng ta hẳn trợ giúp lẫn nhau, đoàn kết!"

	Một đầu lên còn chớp đối với dài lỗ tai dài yêu thú vẻ kiêu ngạo chân thành vừa nói.

	Lời vừa nói ra, mấy người còn lại hai mắt nhìn nhau một cái, cũng là vội vàng phụ họa.

	Trong đó chuyến đi này ba người lượng yêu dẫn đầu người lại là dùng ánh mắt tán thưởng nhìn đầu kia ngựa yêu, khá lắm, không hổ là quỷ nịnh bợ, phản ứng chính là mau!

	Nhìn con cóc yêu đoàn người thê thảm kết quả, về sau nhóm người này cùng yêu đều là thấy được Bắc Phong lợi hại, không dám lỗ mãng.

	"Bố liền nói, có thể bị nhốt đặt tiến vào có mấy cái là bị oan uổng, toàn con mẹ nó đại ma đầu à, tiểu quỷ này nhìn như bất quá mười lăm mười sáu tuổi, không nghĩ tới so bản ông còn lòng đen tối, chẳng lẽ là ta bị giam đặt quá lâu, ngoại giới biến hóa lớn như vậy sao?"

	Ngưu yêu cẩn thận cười theo, quan sát Bắc Phong sắc mặt, trong lòng thầm thì.

	"À, đã như vậy, vậy các ngươi tổng sẽ không tay không tới chứ ?"

	Bắc Phong biểu hiện trên mặt làm biến đổi, cười tủm tỉm mở miệng hỏi.

	"Cái này, cái này. . ."

	Ngưu yêu một đám người trợn tròn mắt, ấp úng không nói ra lời, quà tặng không mang, dao nĩa ngược lại là mang theo một bộ, chẳng qua là tình huống bây giờ nhưng là trái ngược, mình các người mới là bị dao nĩa thêm thân à.

	"Ừ ? Đó chính là lừa gạt ta hả? Ta hận nhất người khác lừa gạt ta!"

	Bắc Phong sắc mặt thiên biến vạn hóa, lập tức trầm xuống, con ngươi khép mở ở giữa hiện ra sát khí, không có hảo ý đánh giá ngưu yêu các người.

	Về phần đang một bên kêu rên con cóc yêu đoàn người, không có ai đi quản sống chết.

	Thân là nhất tu thấp vì đều ở đây động hư cảnh đại yêu cùng võ giả, chút thương thế này còn chưa chết, nhất nhiều chịu khổ một chút thôi.

	"Có có có! Ngài chờ một chút!"

	Ngưu yêu nhìn một cái vô cùng thê thảm con cóc yêu đoàn người, vội vàng cười theo.

	Đùa gì thế, cái này con cóc yêu đoàn người mặc dù chỉ có ba người, nhưng thực lực không kém, thường xuyên cùng mình giao thủ, có thắng bại.

	Nhưng hôm nay nhưng chở ở tiểu quỷ này trong tay, nhìn dáng dấp vẫn là thảm bại, xem lần động phủ, cũng chỉ cửa cửa đá bị đánh nát.

	Điều này nói rõ cái gì? Nói rõ đối phương dễ như trở bàn tay, lấy áp đảo tính ưu thế đánh bại con cóc yêu các người.

	Đổi lại là cùng chi chênh lệch không bao nhiêu mình, sợ rằng kết quả cũng không phải là nhiều hơn tới mấy cái tổn thương tàu.

	Lúc này ba người lượng yêu đi qua một bên, đích nói thầm.

	Bắc Phong ánh mắt nhìn chăm chú đoàn người, để cho đoàn người như mũi nhọn ở gánh, không có suy nghĩ qua chạy trốn ý đồ.

	"Ngựa yêu, nói là tới chúc mừng cái này tiểu ma đầu là ngươi chủ ý, quà tặng ngươi để giải quyết!"

	Ngưu yêu đối với con ngươi trợn to, như chuông đồng, sắc mặt dữ tợn, có thể hù xấu xa đứa nhỏ.

	"Anh Ngưu, ta không có à, cũng chỉ có một chút huyết nguyên thạch."

	Ngựa yêu nhốn nha nhốn nháo, một kề tai dùng sức chớp.

	"Vậy các ngươi đâu! Sẽ không cũng không có đi! Ta nói cho các người, nếu là không lấy ra được quà tặng, vậy ba thiếu ngu chính là con chờ một chút trận."

	Ngưu yêu lỗ mũi phun ra 2 món mang sao hoả chết khói dầy đặc, hiện ra sát khí.

	"Anh Ngưu, bọn ta bị giam đặt lúc đi vào thiếu chút nữa liền quần cụt cũng không có để lại, nơi nào có cái gì quà tặng, nếu không chúng ta góp góp, dùng huyết nguyên thạch làm quà tặng coi là."

	Ngựa yêu vẻ kiêu ngạo đắng chát, sớm biết mình chạy nhanh như vậy làm gì, lần này tốt lắm, bỗng dưng chọc cả người rối reng.

	"Các người có nhiều ít huyết nguyên thạch? Mau lấy ra."

	Ngưu yêu không biết làm sao, cũng chỉ có thể như vậy, huyết nguyên thạch đối với mọi người mà nói rất trân quý, nhưng cùng chi bị Bắc Phong hành hạ một lần so với, vẫn là phá tài miễn tai đi.

	Nếu không điểm này huyết nguyên thạch có thể còn chưa đủ đền bù mình bị cái này tiểu ma đầu hành hạ một lần sau khí huyết thiếu hụt đây.

	Một đám người lại gần một chút, lại có thể chỉ có hơn ngàn viên, bất quá mỗi một viên đều có lớn chừng quả trứng gà, về phẩm chất ngồi.

	"Đạo hữu, thực không dám giấu giếm, bọn ta trong túi ngượng ngùng, cũng chỉ có cái này hơn ngàn viên huyết nguyên thạch coi như không tệ, mong rằng đạo hữu không nên chê."

	Ngưu yêu vẻ kiêu ngạo cùng cười nói.

	" Được rồi, xem các người cũng không dễ dàng, huyết nguyên thạch cũng không cần, bất quá nghe nói ngưu yêu sừng trâu không tệ à, vừa vặn có thể làm mấy chuỗi hạt châu mang mang."

	Bắc Phong vẻ kiêu ngạo chê, ở ngưu yêu thở phào nhẹ nhõm, cho rằng tránh được một kiếp lúc nhưng lời nói một chuyển, giống như là lầm bầm lầu bầu vừa nói.

	"Tới, cắt đứt ta một cái sừng!"

	Ngưu yêu cặp mắt phun lửa, hô hấp thô trọng, nhìn Bắc Phong vậy một bộ người vô hại hình dáng muốn trở mặt, nhưng bên tai truyền tới tiếng kêu thảm thiết lại để cho ngưu yêu nhịn được.

	Ngưu yêu ồm ồm mở miệng, hướng về phía còn lại hai người lượng yêu mở miệng.

	"Đại ca. . . Thật đánh à? Ta nhìn đều đau."

	Ngựa yêu lẩm bẩm.

	"Đánh! Cắt đứt tính ta!"

	Ngưu yêu trợn mắt nhìn ngựa yêu một cái, lúc này rất không biết làm sao, tại sao ngựa này không sừng dài, nếu không liền có thể đổi một cái đánh.

	Nghe vậy hai người lượng yêu đều là hai mắt nhìn nhau một cái, rồi sau đó rối rít ra tay.

	"À! Ai mẹ hắn để cho các người đánh chân của lão tử!"

	Ngưu yêu hiện ra bản thể, hóa vì một đầu chừng 3m dài ngắn màu xanh bò Tây Tạng, hai cái chân lóe lên màu đồng xanh sáng bóng, phủ đầy thần dị hoa văn.

	Nhưng lúc này đầu này ngưu yêu nhưng là tức miệng mắng to, đầu lưỡi đưa rất dài, nước miếng chấm nhỏ bay đầy trời.
