Chương 1032: Đêm trước! 
 Converter Dzung Kiều cầu khen thưởng 

	Hừng hực ngọn lửa dấy lên vài mét cao, Đế Cơ cả người cũng hóa là cây đuốc!

	Chẳng qua là ở đây sao dưới lửa lớn kinh khủng, Đế Cơ nhưng không có chút nào khó chịu, ngược lại theo ngọn lửa cháy, Đế Cơ nhíu chặt chân mày cũng dần dần buông, từng luồng sương mù màu đen từ Đế Cơ trán tản mát ra!

	Thấy vậy Ma Sư thở phào nhẹ nhõm, rồi sau đó đóng kỹ các cửa, lui ra ngoài.

	"Ma Sư, thế nào?"

	Đã sớm cùng ở ngoài cửa đông đảo chuẩn đế mở miệng hỏi thăm, gian phòng có trận pháp cách trở, cho dù là chuẩn đế tinh thần lực cũng không thể xuyên thấu, cảm giác không được bất kỳ chuyện.

	Mà Đế Cơ thân phận quá mức đặc thù, là lấy đông đảo chuẩn đế đều ở đây bên ngoài chờ.

	"Không sao, Đế Cơ mặc dù ngút trời chi tư, nhưng lại bị bảo vệ quá tốt, cho tới tâm niệm không kiên, bị kinh sợ, muốn không được bao lâu Đế Cơ sẽ tỉnh lại, chưa chắc không là một chuyện tốt."

	Ma Sư suy nghĩ một chút, nhẹ giọng mở miệng vừa nói.

	Lời này nghe để cho đông đảo chuẩn đế thở phào nhẹ nhõm, Đế Cơ không có sao liền tốt, nghe được nửa câu sau đồng thời gương mặt dòm ngó, làm trò đùa, thứ tám tổ cứ như vậy một vị đích thân huyết mạch, duy nhất cháu gái, không bảo hộ tốt xảy ra chuyện không may coi là ai?

	Mọi người chỉ khi không có nghe gặp Ma Sư nói nửa câu sau, không chỉ có như vậy, đi qua lần này chuyện sau đó, đối với Đế Cơ bảo vệ đem cao hơn một tầng lầu!

	Giống như là như vậy bắt phong đế cảnh yêu thú nhiệm vụ đoán chừng là cùng Đế Cơ vô duyên, để mặc cho Đế Cơ tính tình, đông đảo chuẩn đế thật sự là không chịu nổi, cái này một lên một xuống quá kích thích, không thiếu chuẩn đế bày tỏ mình không chịu nổi như vậy kinh sợ.

	Thấy vậy, Ma Sư cũng là cười khổ một tiếng, biết mình nói vô ích, nhưng cũng không có nói nhiều, xoay người rời đi.

	Thời gian từng giờ trôi qua, Đế Cơ bên ngoài viện tùy thời đều có hai vị phái nữ chuẩn đế canh phòng.

	Mà bên trong căn phòng Đế Cơ trên trán ngọn lửa cũng là bắt đầu dần dần tắt, đã không có hắc khí lại nhô ra.

	Lúc này Đế Cơ tựa như tỉnh phi tỉnh, mí mắt run run, trong phảng phất một cái khổng lồ đến không cách nào tưởng tượng bạch xà người đứng thẳng một số thân thể, đối với con ngươi lạnh như băng nhìn chăm chú Đế Cơ!

	Uy áp đáng sợ chấn vỡ vô tận núi sông, để cho Đế Cơ không thể nhúc nhích!

	"À!"

	Không chút suy nghĩ, Đế Cơ đột nhiên há mồm kêu lên, thân thể lập tức bắn lên, ngồi ở trên giường!

	Mà nơi trán nguyên bản muốn tắt ngọn lửa nhưng là co rúc một cái, rồi sau đó đột nhiên cuốn ra, ngay tức thì bao phủ toàn bộ gian phòng, rồi sau đó một cổ phá lệ lớn hắc khí cũng từ Đế Cơ trán phiêu tán đi ra, bị ngọn lửa thiêu hủy.

	"Đế Cơ!"

	"Đã xảy ra chuyện gì? !"

	Đế Cơ kêu lên bị hai vị phái nữ chuẩn đế nghe gặp, ngay tức thì ở ngoài cửa thủ vệ chuẩn đế phá cửa mà vào, khẩn trương hỏi, một người ánh mắt như điện, quét nhìn gian phòng bốn phía.

	"Không, không có sao."

	Đế Cơ chưa tỉnh hồn, ngực kịch liệt phập phồng, đã rõ ràng liền mình tình cảnh, ngược lại là an tĩnh lại, lúc nói chuyện hai bên trên gương mặt thoáng qua lau một cái đỏ ửng, tựa như ngại quá.

	Hai vị phái nữ chuẩn đế gương mặt dòm ngó, rồi sau đó đều cảm giác hẳn là mình hoa mắt, lúc nào Đế Cơ cũng sẽ làm ra nhỏ như vậy con gái tư thái.

	"Khô Mộc cầu gặp Đế Cơ!"

	Ở nơi này chốc lát ở giữa, ngoài cửa truyền tới một hồi tiếng động, một đạo thanh âm hùng hồn vang lên.

	Cứ việc Ma Sư đã nói Đế Cơ không có gì đáng ngại, nhưng ở Đế Cơ không có tỉnh trước khi tới, thì như thế nào dám yên tâm, không chỉ có phái nữ chuẩn đế tùy thời canh phòng ở ngoài cửa, lại là hiểu rõ 10 món chuẩn đế đem tinh thần đầu đặt ở nhà này gác lửng bốn phía!

	Là lấy những thứ này chuẩn đế cũng là thời gian đầu tiên chạy tới, hội tụ ở sân trong, gác lửng dưới.

	"Kẽo kẹt."

	Gác lửng cửa phòng mở ra, hai vị chuẩn đế phụng bồi Đế Cơ đi ra, lúc này Đế Cơ đã khôi phục như thường, không có phân nửa vẻ kinh dị.

	"Đế Cơ, thân thể có mạnh khỏe? Không biết ngươi gặp phải cái gì?"

	Khô Mộc đứng ở phía trước nhất, mở miệng hỏi thăm.

	"Một con rắn, một cái đủ để cùng ông nội ta tranh phong, thậm chí mạnh hơn rắn lớn! Không thể kéo dài nữa, truyền lệnh xuống, lập tức bắt đầu chuẩn bị, bên trong ba ngày, phải tiếp đón tông môn hạ xuống!"

	Đế Cơ thần sắc có chút mất tự nhiên, cho dù là đã thanh tỉnh, có thể nói tới nơi này nhưng vẫn là có chút bóng mờ, mà nửa câu sau chính là như đinh chém sắt!

	"Ừ!"

	Hơn mười vị chuẩn đế đều là phát rét,

	Có thể cùng thứ tám tổ coi như nhau đại hung vật, há lại là bây giờ tạm thời sơn môn có thể chống cự.

	Hơn mười vị chuẩn đế không chút do dự gật đầu đáp ứng, hóa là lưu quang, hướng dãy núi chỗ sâu chạy tới.

	Không kiềm được mọi người không gấp, ở tông môn thực lực chân chính còn chưa hạ xuống, một đầu đủ để cùng thứ tám tổ tranh phong đại hung vật đối với mọi người uy hiếp quá lớn!

	Đừng xem lúc này chỗ ở bên trong chuẩn đế hơn ngàn, phong hoàng cảnh có chừng một trăm ngàn số, có thể cuối cùng chẳng qua là tông môn nội tình, cơ thạch, mà không phải chân chánh chiến lực!

	Một đầu đủ để cùng thứ tám tổ tranh phong đại hung vật, đủ để dễ như trở bàn tay công phá lúc này sơn môn, tất cả mọi người cùng tiến lên cũng sẽ bị đối phương kéo khô tồi mục nát phá hủy!

	Chuyện liên quan đến mình sống chết, làm sao không để cho mọi người toàn lực ứng phó?

	Quỷ biết đầu kia đại hung vật có phải hay không đi theo Đế Cơ đoàn người đã tới!

	Mà tiền kỳ chuẩn bị đã xong hết rồi, ba ngày thời gian mặc dù hấp tấp một ít, nhưng lại cũng không có vấn đề!

