Chương 867: Hồi nội tông 
 Converter Dzung Kiều cầu phiếu 

	Bắc Phong sờ cằm, nghiêm túc suy nghĩ.

	Thiên đế trúc sau khi chín, mỗi ngày từ trong hư không hấp thu năng lượng đủ để cung cấp một cái tông môn lớn sử dụng, lại là có thể kết ra thiên đế quả.

	Thiên đế quả vô cùng trân quý, thế gian ít có.

	Giá trị lớn, không thể lường được.

	Có thể Bắc Phong trong tay một buội này thiên đế trúc chống đỡ chết cũng chỉ sáu ngàn năm tuổi tác, xa xa không tới kết quả thời điểm.

	Muốn để cho sáu ngàn năm thiên đế trúc trưởng thành đến kết quả, yêu cầu thời gian quá khá dài.

	Mà nộp lên cho tông môn, mình đem có số lượng cao điểm cống hiến.

	Mà tông môn bỏ ra giá thật lớn, đủ để cho thiên đế trúc tăng nhanh sinh trưởng.

	Mà lúc này thiên đế trúc đặt ở trong tay mình cũng không có chỗ hữu dụng.

	Bắc Phong trầm ngâm chốc lát, trong lòng đã làm ra quyết định.

	"Vì lại nữa vì điểm cống hiến mà phiền não, nộp lên thiên đế trúc!"

	Bắc Phong tàn nhẫn lòng, thiên đế trúc lúc này chỉ có thể xem không thể dùng, đặt ở trong tay mình không phát huy ra được lớn nhất giá trị, có các loại thiên đế trúc thành thục vậy một cái thời gian, mình đã sớm lợi hại thiên đế trúc đổi lấy đến tài nguyên tăng lên tới cảnh giới cao hơn.

	Bắc Phong quyết định, không do dự nữa, xoay người đẩy cửa phòng ra.

	Bắc Phong lững thững đi ra chiến thuyền, bốn phía yên tĩnh, không có bóng người.

	Vòng thứ nhất khảo hạch kết thúc, trừ Bắc Phong ra, những đệ tử còn lại trên căn bản đều bị hạn chế phạm vi hoạt động.

	Bắt chặt thời gian khổ tu, dẫu sao vòng thứ nhất khảo hạch máu tanh bị dọa sợ không ít người.

	Bắc Phong một đường đi ra trại lính, cũng không có người ngăn trở.

	Thỉnh thoảng gặp phải một vị Thanh thiên vệ, đối phương cũng là ném tới kính sợ cùng ánh mắt tò mò.

	Dẫu sao không ít người đều là thấy qua Bắc Phong cùng Tử Ma đánh giết, những thứ này Thanh thiên vệ đều là cùng cấp trong siêu quần xuất chúng hạng người, có thể ở Bắc Phong cùng Tử Ma đánh giết trong, mọi người phát hiện liền hai người giao thủ dư âm đều đủ để dễ như trở bàn tay xóa bỏ mình, tự nhiên bị Bắc Phong nơi khuất phục.

	"Đây chính là ngươi nói lấy vạn năm tôn cảnh giới phát huy ra phong hoàng cường giả chiến lực người?"

	Một Thanh thiên vệ ở Bắc Phong thân thể rời đi sau đó, hướng về phía bên cạnh đồng bạn hỏi thăm.

	"Không sai, thật sự là quá đả kích người, ngươi đi xem xem cháu cảnh, chính là bởi vì nhìn hai người này đánh giết sau đó, đạo tâm bể tan tành, tu vi cũng sụp đổ."

	Bên cạnh người nọ nhìn về phía Bắc Phong rời đi phương hướng, trong con ngươi thoáng qua kính sợ.

	Thật quá đả kích người, có thể tiến vào Thanh thiên vệ, bản thân liền là cùng đời ở giữa người xuất sắc, ăn không biết nhiều ít đau khổ.

	Kết quả đụng tới Bắc Phong một cái quái thai như vậy, tuổi còn trẻ liền có vạn năm tôn cảnh giới, chiến lực lại là kinh người.

	Vậy cháu cảnh đạo tâm tan vỡ, chính là nhìn Bắc Phong hai người đánh giết sau đó, đối với mình tu hành võ đạo sinh ra hoài nghi, từ đó tâm ma quấy phá, con đường võ đạo đoạn tuyệt.

	Đối với hết thảy các thứ này Bắc Phong dĩ nhiên là không biết, cho dù biết, cũng không có bất kỳ cảm giác áy náy, mình võ đạo không đủ kiên định, trách ta hả?

	Bắc Phong một lộ ra trại lính, rồi sau đó bước ra chỗ hòn này thế giới nhỏ.

	Ngựa không ngừng vó đến ngoại tông trung tâm.

