Chương 573: 8 phương tù long trận! 
 Converter Dzung Kiều cầu phiếu 

	"Ừng ực!"

	Một hồi nuốt tiếng nuốt nước miếng vang lên, rất nhiều lúc trước còn đang hâm mộ những thứ này chạy rất nhanh võ giả, bây giờ chỉ còn lại có vui mừng, khá tốt mình không có xông ra, nếu không trong đó có thể sẽ có mình một cái!

	"Không biết sống chết, còn có ai!"

	Lữ Bố tiến lên một bước, lăn lộn thân tản ra kinh khủng chiến ý, thanh âm Như Long, rống to.

	Lúc trước lao ra hơn mười vị võ giả kinh nghi bất định, tạm thời không dám tiến lên, bị Lữ Bố cái này một cổ hơi thở một hướng, không nhịn được thụt lùi hai bước.

	"Vô liêm sỉ! Các vị trưởng lão mời ra tay đánh chết người này!"

	Tằng Tam Khánh nhìn hơn mười vị võ giả biểu hiện, chỉ cảm thấy trên mặt không ánh sáng, nhìn phía xa vậy một ít người vây xem, chỉ cảm thấy chỗ đều là quỷ dị tầm mắt đầu ở trên người mình.

	"Gia chủ yên tâm, xem tại hạ lấy hắn đầu lâu!"

	Một người già người đứng dậy, lăn lộn thân tản ra khí tức tang thương, cả người có dũng khí anh hùng trì mộ cảm giác, bất ngờ là một tôn nửa bước ngàn năm vương!

	"Giết!"

	Ông già sống lưng gắng gượng nhổ lên, nhão da cũng dần dần đỏ thắm, râu tóc cũng từ màu trắng hóa vì đen nhánh, cả người từ rũ xuống mộ cụ già hóa thành một người trung niên người.

	"Ai, trưởng lão ngươi yên tâm, người nhà ngươi chúng ta sẽ chiếu cố thật tốt."

	Tằng Tam Khánh trong mắt lóe lên vẻ bi thương, nhẹ nhàng hướng lão nhân nói.

	"Ha ha, lão phu đã sớm ngày giờ không nhiều, có gia chủ những lời này, lão phu cũng có thể yên tâm đi."

	Cụ già cười lớn nói đến, không đột phá ngàn năm vương tuổi thọ cuối cùng có hạn, mặc dù trên lý thuyết trăm năm cảnh tầng thứ tư có thể sống đến tám trăm tuổi, nhưng chân chính có thể sống đến bảy trăm tuổi võ giả cũng không nhiều, lão nhân đã sáu trăm tám mươi nhiều tuổi, đèn đã cạn dầu, động thủ sau đó, bỏ mặc thắng bại, cũng biết bởi vì vì khí huyết suy bại mà chết.

	"Lão gia, ta nếu là ngươi liền đàng hoàng ngây ngô, còn có thể sống lâu 2 năm."

	Lữ Bố liếc mắt một cái liền nhìn ra ông già trạng thái, trên mình một màn kia tử khí đậm đà vô cùng, khí huyết đã suy bại, mặc dù cưỡng ép kích thích khí huyết vừa đứng, nhưng cuối cùng bất quá là hồi quang phản chiếu mà thôi.

	Cụ già mình cũng biết, chẳng qua là đối thủ quá mạnh, một chiêu đánh chết mấy vị trăm năm cảnh tầng thứ tư võ giả, thực lực chân thật tuyệt đối ở nửa bước ngàn năm vương!

	Mà trong tộc nửa bước ngàn năm vương không phải là không có, nhưng vì giảm thiếu tổn thất, cũng chỉ có thể do mình cái này chỉ nửa bước bước vào quan tài lão gia ra tay.

	"Không cần nói nhiều, chiến đi!"

	Cụ già lăn lộn thân tinh khí thần hợp nhất, con ngươi sáng dọa người, lăn lộn trên mình hạ tràn đầy chiến ý, đây là mình trận chiến cuối cùng!

	"Đáng tiếc, nếu là ngươi lại trẻ tuổi một ít, không phải là không thể đột phá, bây giờ khí huyết suy bại, cho dù là lĩnh ngộ được ngàn năm vương cảnh, nhưng chung quy không có thể đột phá."

	Lữ Bố lắc đầu một cái, rồi sau đó thần sắc trịnh trọng, chậm rãi giơ lên phương thiên họa kích nói , "Thành tựu đối với ngươi tôn trọng, ta biết nhúc nhích dùng toàn lực!"

	"Thiên hạ vô song!"

	Lữ Bố thanh âm lạnh lùng, như thần cao cao tại thượng linh, một đạo sáng chói Minh Nguyệt từ Lữ Bố sau lưng dâng lên, cùng mặt trời tranh huy!

	Một cổ kinh khủng chập chờn từ Lữ Bố bên trong thân thể tỉnh lại, để cho không thiếu võ giả tim giống như bị nắm vậy, có dũng khí đại họa ập lên đầu cảm giác!

	"Đây là ngàn năm vương!"

	"Cái phương hướng này là Tằng gia! Chẳng lẽ Tằng gia lại có ngàn năm vương ra đời sao?"

	"Ai, cái này chính là gia tộc lớn nội tình à."

	Không ít người ngẩng đầu nhìn về cái phương hướng này, một ít không biết tình huống võ giả bàn luận sôi nổi.

	Mà Tằng gia phủ đệ bên ngoài, Tằng gia mọi người chính là sợ hãi vô cùng, một tôn ngàn năm vương lại có thể đánh tới cửa, ai có thể ngăn cản!

	"Đây chính là ngàn năm vương lực lượng sao?"

	Cụ già đôi mắt hưng phấn, nháy mắt tức thì thiêu đốt tất cả khí huyết, một kiếm hướng kích mang chém tới, đây là bướm bay dập lửa một kiếm, cái này là ký thác cụ già tất cả tín niệm một kiếm!

	Nhưng ở tiếp xúc tới kích mang lúc này nhưng bể tan tành thành điểm điểm tinh quang, kích mang xuyên thấu qua thân thể của lão nhân, ở Tằng gia bên trong phủ đệ chém ra tới một đạo sâu mười trượng, chiều rộng ba trượng, không biết có dài hơn kích vết!

	Một kích oai, để cho tất cả mọi người đều là ngây người như phỗng.

	Một hồi hàn gió mạnh thổi phất tới, để cho thân vì võ giả mọi người rùng mình một cái, sau lưng chẳng biết lúc nào đã bị mồ hôi lạnh thấm ướt.

	"Đại nhân, chúng ta có phải hay không có cái gì hiểu lầm, Tằng gia cũng không có đắc tội qua ngài à, lần này là chúng ta không đúng, chúng ta nguyện ý bồi thường."

	Tằng Tam Khánh trong lòng phát rét, mặc dù đạo này kích mang không phải hướng mình tới, nhưng là làm đạo này kích mang xuất hiện lúc này nhưng là cảm giác mũi nhọn ở gánh.

	Tằng Tam Khánh trực tiếp rất không có tiết tháo nhượng bộ, lập tức đổi một bức sắc mặt, cung kính hỏi thăm.

	Mà Tằng gia mọi người cũng không có lộ ra cái gì ánh mắt oán hận, người mạnh là vua, ngược lại là đồng ý gia chủ như vậy cách làm.

	Tất cả đại gia tộc gia chủ không nhất định là người mạnh nhất, càng nhiều hơn chính là đang xử lý gia tộc phương diện năng lực xuất chúng, mà Tằng Tam Khánh chính là người như vậy, khôn khéo.

	"Quả thật có hiểu lầm, tại hạ không cẩn thận đem con trai ngươi giết, nếu ngươi không ngại, vậy chúng ta hiểu lầm liền thanh toán xong."

	Lữ Bố cười mỉa nhìn Tằng Tam Khánh, chậm rãi nói đến.

	"Phốc!"

	"Thằng nhóc ngươi dám!"

	Tằng Tam Khánh thần sắc đại biến, ngẩng đầu lên đôi mắt đỏ thẫm nhìn Lữ Bố, móng tay đã đâm vào lòng bàn tay, từng giọt máu tươi không ngừng nhỏ xuống, Tằng Tam Khánh nhưng giống như không nghe thấy, há mồm phun ra một ngụm máu tươi.

	"Truyền lệnh ta! Đánh chết người này!"

	Tằng Tam Khánh mặt đầy điên cuồng, giống như một đầu bị thương độc lang, để cho không ít người nhìn cái này tóc tai bù xù, đôi mắt đỏ bừng bóng người cũng có chút sợ.

	"Ừ!"

	"Kết trận! Bát phương tù long trận!"

	Tằng Tam Khánh lời nói rơi xuống, tất cả Tằng gia người không có bất kỳ người do dự, rối rít ra tay, mấy trăm vị trăm năm cảnh tầng thứ tư võ giả cùng mười mấy vị nửa bước ngàn năm vương đạp bước chân, chiếm cứ một phương, thúc giục khí huyết!

	Một gia tộc coi như như thế nào đi nữa nội đấu, nhưng là khi có ngoại địch xâm lấn lúc này cũng sẽ buông xuống nơi có ân oán nhất trí đối bên ngoài, mặc dù ở trong sân không thiếu Tằng gia người cũng theo dõi Tằng Tam Khánh vị trí gia chủ, nhưng là bây giờ đại biểu gia tộc mặt mũi Tằng Tam Khánh con trai cũng bị giết, mọi người cũng không sẽ vào lúc này kéo chân sau.

	"Thằng nhóc, ta muốn cho ngươi cầu sinh không thể, muốn chết cũng không thể!"

	Tóc tai bù xù Tằng Tam Khánh một chữ một cái nói, mấy trăm vị võ giả khí huyết tương liền, không trung trực tiếp nổi lên một tôn rùa đen khổng lồ!

	Đầu này con rùa đen miệng giống như cá sấu, bối giáp lên hiện đầy thật dài gai nhọn, dáng người mấy trăm trượng khổng lồ, đem Tằng gia mọi người che phủ ở trong đó, mới vừa xuất hiện chính là ngửa mặt lên trời gào thét, kinh khủng hơi thở phóng lên cao, kinh động không thiếu thành Tam Xuyên bên trong cường giả.

	"Cái hướng kia là Tằng gia! Đây là bát phương tù long trận, xem ra Tằng gia gặp phải cường địch!"

	Một tôn nửa bước ngàn năm vương có cảm ứng, nhìn về phía phương xa, trầm ngâm một chút, thân thể hướng chân trời bay lên đi.

	"Thành Tam Xuyên trong lại có người có thể ép đến Tằng gia vận dụng bát phương tù long trận, có ý tứ."

	Học viện Tam Xuyên trong, không thiếu giáo viên ngẩng đầu nhìn về phía phương xa, viện trưởng tự lẩm bẩm, thân hình thoắt một cái, biến mất không gặp.

	"Ngươi cho rằng ngàn năm vương là có thể ở ta Tằng gia càn rỡ sao? Ngày hôm nay ta thì phải đem ngươi ngàn đao lăng trì, lấy tế con ta trên trời có linh thiêng! Giết!"

	Tằng Tam Khánh ở vào đầu này bàng rùa đen lớn đầu lâu vị trí, toàn bộ trên người điên cuồng hoàn toàn thở bình thường lại, nhưng là ai cũng có thể cảm giác được Tằng Tam Khánh vậy một bộ bình tĩnh bề ngoài dưới lửa giận, giống như một tòa đè nén núi lửa, một khi bùng nổ, kinh thiên hám!

	Cái này một tôn con rùa đen toàn thân đỏ như màu máu, tựa như chân thật yêu thú vậy, lạnh như băng con ngươi nhìn chằm chằm Lữ Bố đoàn người, lộ ra một hớp dữ tợn răng, cả người hơi thở mạnh, bất ngờ là ngàn năm vương cảnh tầng thứ ba!

	"Hào nhoáng bên ngoài, các người đối với lực lượng không biết gì cả, cho rằng dựa vào trận pháp là có thể ngăn trở ta sao?"

	Lữ Bố sắc mặt không thay đổi, mặc dù đầu này con rùa đen hiện ra hơi thở là ngàn năm vương cảnh tầng thứ ba khí thế, nhưng điều khiển đầu này con rùa đen võ giả bất quá là một đám trăm năm cảnh thôi, hơn nữa ngàn năm vương thần thông cũng sẽ không có, đối với Lữ Bố tới không nói lại là một cái da thô thịt dầy cái bia thôi!

	"Anh hồn bất diệt!"

	Lữ Bố ngửa mặt lên trời thét dài, sau lưng một mảng lớn khu vực hóa vì U Minh quỷ vực, nhiều đội đội ngũ ăn mặc khôi giáp từ trong đó cưỡi ngựa đi ra, lập tức một người thân cao trượng tám, trong tay cầm cầm một cán dài đến cỡ 10m màu đen thui đại kích.

