Chương 21: Khóa yêu tháp rách! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Ngắn ngủi chốc lát, Tông Trường Dạ cùng Đệ Nhất Tổ trực tiếp bị trấn giết tại chỗ!

	Lấy hôm nay Bắc Phong thực lực, hai người căn bản lật không dậy nổi bao lớn đợt sóng.

	Nếu không phải vì thí nghiệm một chút tự thân huyết mạch, cùng với xác nhận lúc này mình cả người lực lượng, trực tiếp một đầu ngón tay là có thể điểm chết hai người!

	Thu thập hết hai người sau đó, Bắc Phong trong lòng không có bất kỳ gánh vác.

	Ai bảo Vạn Cổ thiên tông quy củ chính là như vậy, giao ra đệ tử phần lớn cũng là một ít vừa chính vừa tà hạng người.

	Sẽ không giống là chánh đạo người trong như vậy bảo thủ.

	Bắc Phong vốn là không nợ Vạn Cổ thiên tông, hai người bây giờ càng giống như là một loại đổi chác.

	Bắc Phong ngay cả là ở Vạn Cổ thiên tông bên trong ẩn núp, đánh hạ vững chắc cơ sở, có thể đó cũng là Bắc Phong dùng một kiện kiện kỳ trân dị bảo hướng Vạn Cổ thiên tông đổi mà đến!

	Huống chi những năm này mình không có ở đây, Lữ Bố các người nhưng mà không có thiếu bị Lý Hà hai người lấn áp.

	Tông môn nhưng là chẳng ngó ngàng gì tới, Bắc Phong tự nhiên động tới tay cũng không có gánh vác.

	Xa xa, hai toà tháp đang không ngừng va chạm, Trích Tinh lâu không ngừng bộc phát ra từng cổ một kinh Thiên Sát phạt lực, công phạt trước khóa yêu tháp!

	Bắc Phong ngay tức thì ra tay, Hình ý quyền bá đạo vô cùng, trực tiếp một quyền rơi vào trên khóa yêu tháp, đem đánh lui!

	Đang!

	Quả đấm ở khóa yêu tháp màu đồng xanh thân tháp trên để lại một đạo dấu, hoa văn rõ ràng có thể gặp!

	"Hai mươi bốn cầu Minh Nguyệt Dạ!"

	Bắc Phong nắm trong tay Trích Tinh lâu, ngay tức thì đem cả người lực lượng quán chú tiến vào Trích Tinh lâu bên trong, kích hoạt Trích Tinh lâu hiện giai đoạn mạnh nhất sát phạt lực một trong!

	"Ông!"

	Trích Tinh lâu toàn thân bộc phát ra tinh huy, từng vòng lan truyền, rung chuyển trời đất!

	Có người chấp chưởng Trích Tinh lâu cùng không có ai chấp chưởng Trích Tinh lâu có thể nói là khác xa lắc xa lơ!

	Trích Tinh lâu đột nhiên bành trướng, đỉnh thiên lập địa, quanh thân tản mát ra từng luồng vô thượng hơi thở, tràn ngập chư thiên!

	Vô hình trận pháp thay trời đổi đất, trực tiếp đem bầu trời bao trùm, trời đất một mảnh đen nhánh!

	Đáng sợ giam cầm lực hóa là thực chất, đúng mảnh không gian vào giờ khắc này hóa là vô tận mạng nhện vậy, đem khóa yêu tháp giam ở trong đó!

	Một vòng luân phiên hình thái không đồng nhất Minh Nguyệt bắt đầu rút mây gặp sương mù, bốc lên!

	Màu bạc trắng ánh trăng chiếu khắp đất đai, ánh trăng giá rét như sương!

	Không gian bắt đầu đóng băng, rắc rắc vang dội!

	Một tầng băng màu xanh khí lạnh chỗ đi qua, vạn vật đều là bị đông cứng!

	Trong không gian hơi nước ngưng kết thành từng viên một đầu ngón tay bụng lớn nhỏ băng châu.

	Từng hạt tròn băng châu từ bầu trời thấp, đập nhập đất đai trên!

	"Rắc rắc!"

	Viên thứ nhất băng châu đánh mất ở Vạn Cổ thiên tông một nơi trên ngọn núi, nặng như vạn quân, đem đỉnh núi tan vỡ một góc!

	Rồi sau đó một cổ đáng sợ dòng nước lạnh từ trong hố bùng nổ, ngay tức thì cuốn sạch bát phương!

	Trong nháy mắt chu vi mấy trượng liền bị băng châu tản mát ra khí lạnh đông, hóa là băng thiên tuyết địa!

	Cái này chỉ là vừa mới bắt đầu, nhiều băng châu không ngừng hạ xuống, rơi vào đất đai trên!

	Toàn bộ Vạn Cổ thiên tông địa vực chiếm cứ chu vi vạn dặm, ở nơi này dư âm hạ, vượt qua 1 phần 3 khu vực trực tiếp bị đóng băng!

	Vạn vật câu tịch, bất kể là người, thú, cỏ cây đều là bị đóng băng!

	Trên bầu trời, khóa yêu tháp đối mặt cái này một cổ khí lạnh cũng là bộc phát!

	Khí linh trực tiếp đem khóa yêu tháp trận pháp vận chuyển tới trình độ cao nhất, lực lượng mãnh liệt trút xuống ra, trực tiếp đem trời đất trấn áp!

	Dòng nước lạnh gắng gượng dừng tại chỗ, không thể tiến thêm!

