Chương 63: Giếng cổ thần dị! 
 Converter Dzung Kiều cầu phiếu 

	Nước sông yên lặng chảy xuôi, rót vào một cái to lớn dưới đất hồ.

	Rất khó tưởng tượng như thế hồ to lớn là làm sao tồn tại ở cái này không biết nhiều chỗ sâu lòng đất.

	Hồ phía trên mái vòm có lấm tấm ánh sáng, vì dưới đất hồ cung cấp không đáng kể ánh sáng.

	Một cái dài hơn 2m quái ngư từ trong sông tiến vào bên trong hồ, quái ngư bề ngoài không có lân miếng, giống như là lươn vậy bóng loáng.

	Đầu to bộ, răng nhọn dày đặt! Nhìn như liền không dễ chọc.

	Nhưng lúc này quái ngư phần lưng lại có một cái lớn chừng quả đấm vết thương, ở tản ra tí ti vết máu, theo nước sông khuếch tán ra!

	Quái ngư giống như là đi qua một trận ác chiến, đi tới nơi này cái mới xấu xa cảnh tỏ ra rất cảnh giác.

	Một đạo to lớn bóng trắng từ trong thủy vực vạch qua, quái ngư chợt quay đầu, lại không có bất kỳ phát hiện.

	Quái ngư có chút bất an, du động cái đuôi, muốn tìm một nơi chỗ ẩn thân.

	Ngay tại quái ngư chuẩn bị chui vào một nơi to lớn kẽ hở, trong khe đột nhiên nhô ra một cái đồ vật khổng lồ!

	Lấy thế nhanh như chớp không kịp bịt tai, cắn một cái ở quái ngư!

	"Rào rào rào rào!"

	Quái ngư dài hơn 2m thân thể bị cái này màu trắng cự thú cắn một nửa, nửa người dưới chính là đang liều mạng giãy dụa, kích thích từng cơn nước.

	Nhưng là tốn công vô ích, màu trắng cự thú mặc dù không có hàm răng sắc bén, không thể nhai, nhưng một xếp xếp thật nhỏ sắc bén mọc đầy đảo câu răng lại sâu sâu khảm nhập quái ngư trong cơ thể!

	Không ngừng làm trước cắn hợp lực, máu tươi từ quái ngư đầu tản mát ra, nhiễm đỏ một miếng nhỏ vùng nước.

	Quái ngư dưới nửa đoạn thân thể cũng từ từ càng ngày càng không có sức, cuối cùng từ từ thỏng xuống.

	Chung quanh vùng nước lại xuất hiện hai ba cái màu trắng cự thú, dài chừng 3m, nhưng so với đang ăn uống điều này mà nói liền nhỏ không thiếu.

	Mấy cái màu trắng cự thú, bề ngoài có chút tương tự con thằn lằn, chẳng qua là dưới so sánh càng béo tốt bằng phẳng.

	Nhìn giống như là Trái Đất lớn nghê vậy, chỉ bất quá dáng người khổng lồ tốt lần! Bên ngoài thân bóng loáng không vảy, nhưng có các loại ban văn, phủ đầy chất nhờn. Thân thể bụng mặt màu sắc cạn loãng, tứ chi rắn chắc có lực!

	Mấy cái màu trắng cự thú giống như là có chút sợ hãi đang ăn uống vậy một cái, bồi hồi một hồi cuối cùng là không cam lòng rời đi.

	Không một chút thời gian, màu trắng cự thú liền ăn uống hoàn thành, một cái dài hơn 2m quái ngư liền bị ăn bụng, rồi sau đó màu trắng cự thú chậm rãi rút về trong khe.

	Một cây màu trắng trong suốt sợi tơ từ trên trời hạ xuống, hoàn toàn không thấy thật dầy đất đai, trực tiếp xuất hiện ở dưới đất trong hồ.

	"Ba!"

	Một cái chỉ mỗ lớn nhỏ con nhện rơi vào trong nước, phát ra một tiếng vang nhỏ.

	Ở mặt nước bắn bắn ra một vòng nhỏ bé y liên, hướng bốn phía lan truyền.

	Trong phạm vi trăm thước ba cái màu trắng cự thú lập tức kịp phản ứng, nhanh chóng hướng y liên truyền tới phương hướng nhanh chóng bơi đi.

	Lâu dài sinh sống trong bóng tối màu trắng cự thú mặc dù thị lực nghiêm trọng thoái hóa, nhưng là cảm giác lực nhưng kinh người vô cùng, đủ đền bù thị lực chưa đủ!

	Ba cái màu trắng cự thú tốc độ rất nhanh, chẳng qua là mấy chục giây đã đến con nhện rơi xuống nước địa phương.

	Mấy con màu trắng cự thú nhanh chóng cảm giác liền một phen, phát hiện nhưng là một cái không đáng kể đứa nhỏ, lập tức không thấy hứng thú, lười biếng bơi.

	Ở nơi này một mảnh hạ trong hồ cũng không biết là làm sao tụ tập nhiều như vậy màu trắng cự thú!

	Cái hồ này thật là là được những thứ này màu trắng cự thú ổ, bất kỳ ngoại lai loài ở chúng trong mắt đều là bị nuốt kết quả.

	Cùng ba con cự thú đi liền sau đó, bị câu trên lưỡi câu con nhện đã chết, nơi này vừa vặn cách đây vào nước miệng không xa, bị nước chảy kéo theo hướng hồ chỗ sâu chảy tới.

	Một cái dài tới nửa mét, thân thể bằng phẳng như một cái loan đao vậy cá chậm rãi từ thạch chất trong chui ra.

	Cẩn thận đánh giá bốn phía, ở hồ này bên trong còn sống cẩn thận là yếu tố đầu tiên!

	Không đủ cẩn thận đều đã thành màu trắng cự thú trong bụng bữa ăn, xác nhận luôn mãi, loan đao cá xác nhận không gặp nguy hiểm, mới chậm rãi lộ ra thân thể,

	Hướng con nhện đi.

	Nhìn có một loại cẩn thận một chút thái độ, hết khả năng đem mình đối với nước chảy ảnh hưởng xuống đến thấp nhất, tránh cho đưa tới màu trắng cự thú chú ý.

	Ở bóng tối mạch nước ngầm lưu trong, thức ăn vĩnh viễn là nhất thiếu hụt, là lấy loan đao cá không muốn buông tha trước mắt thức ăn ngon.

	Cắn lên một cái, đem con nhện nuốt vào bụng, loan đao cá liền muốn lui về phía sau, nhưng lại bi ai phát hiện mình không thể nhúc nhích!

	Theo đáy nước dòng nước ngầm, loan đao cá từ từ bồng bềnh đến một cái to lớn khe đá trước mặt, dập đầu dập đầu đụng đụng mấy cái, bay vào trong khe đá.

	Một đầu to lớn màu trắng cự thú ở khe đá chỗ sâu ngủ đông, mới vừa ăn một cái hơn 2m cá, lại có thể ba bốn cái tháng không ăn bất cứ vật gì.

	Lấy màu trắng cự thú não sức chứa chỉ có thể biểu hiện ra chút thỏa mãn ý đồ, một cái loan đao cá từ từ đến gần đang ngủ đông màu trắng cự thú, đụng đụng phải cự thú miệng.

	Một lần!

	Hai lần!

	Mặc dù đều không nặng, nhưng cũng đủ để thức tỉnh loại cảm giác này bén nhạy cự thú!

	Lập tức cự thú phát đạt giác quan cảm giác được trước mắt điều này tìm chỗ chết loan đao cá, sau đó cắn một cái!

	Mặc dù mới vừa ăn một con cá lớn, nhưng đưa tới cửa cá nhỏ cũng không thể lãng phí!

