Chương 48: Y học nhà 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Cho nên nói, đầu óc là đồ tốt, hy vọng ngươi cũng có thể có."

	Mông Điềm thanh âm truyền vào Dực Tổ trong tai, để cho Dực Tổ cảm giác không ổn.

	"Dù là các người ba người, trong vòng thời gian ngắn cũng đừng nghĩ đem ta luyện hóa!"

	Dực Tổ mặc dù không biết là lạ ở chỗ nào, nhưng lại vậy có tự tin.

	Chết đi Nguyệt Thiền, thân thể không mục nát không lớn bao nhiêu thành, trừ đầu lâu ra, địa phương còn lại đều là không mục nát.

	Là lấy chết đi nhiều năm như vậy, Dực Tổ như muốn luyện hóa, cũng là hao phí mấy trăm ngàn năm khổ công.

	Mà Dực Tổ còn sống, hắn luyện hóa trình độ, so với chết đi Nguyệt Thiền càng thêm gian nan!

	Dực Tổ cứ việc bị phong ấn, nhưng thật tâm trong cũng không có quá nhiều lo âu.

	"Ngàn không nên, vạn không nên, không nên để cho ta mang Nguyệt Thiền thân thể!"

	Dực Tổ trong lòng lặng lẽ suy nghĩ.

	"Có Nguyệt Thiền thân thể ở đây, đây chính là bổn tôn sức sống chỗ, chỉ cần ở bổn tôn bị cái này ba người luyện hóa trước, đem Nguyệt Thiền thân thể luyện hóa, như vậy lấy được không mục nát căn nguyên, đủ để cho bổn tôn đem năm chi toàn bộ không mục nát!"

	Dực Tổ tự tin, một khi đến lúc đó, mình tất nhiên có thể phá vỡ phong ấn, có lẽ còn không phải là đối thủ của ba người, nhưng muốn ở ba người thủ hạ rời đi, nên vấn đề không lớn!

	Theo một tiếng thanh âm giễu cợt từ ngoại giới truyền tới, cái này một mảnh ngân hà hoàn toàn bị Mông Điềm các người phong ấn, hóa là một cỡ quả đấm, phát ra vô lượng uy năng hình cầu.

	Mông Điềm mang trên mặt nụ cười, "Cái này hai kẻ ngu phỏng đoán còn nghĩ luyện hóa Nguyệt Thiền thân thể."

	Nếu không phải cố kỵ hình tượng, Mông Điềm giờ phút này thật nước mắt cũng sắp bật cười.

	Đông Hoàng Thái một cứ việc không có mở miệng, nhưng trên mặt lạnh lùng vẻ cũng là tan rã không thiếu.

	"Đi thôi, nơi này chuyện, cần phải trở về."

	Đông Hoàng Thái một ba người rời đi, chỉ để lại một mảnh đường kính vượt qua trăm triệu vạn dặm hắc động, chiếm đoạt hết thảy, không biết nhiều ít hàng tỷ năm mới có thể tiêu tán.

	Không trách Mông Điềm bật cười, cái này Dực Tổ thật đúng là ngây thơ buồn cười.

	Cũng không suy nghĩ một chút, ba tôn bất hủ cảnh ra tay, nếu là cần thời gian lâu như vậy mới có thể tương kỳ luyện hóa, không nói Đông Hoàng Thái một, sợ rằng Mông Điềm cũng không nhịn được.

	Đông Hoàng Thái nhất đẳng người nếu là tự mình ra tay, sợ rằng đúng như Dực Tổ suy nghĩ, cần mấy chục trên một triệu năm thời gian, mới có thể đem Dực Tổ cùng Nguyệt Thiền luyện hóa.

	Nhưng Đông Hoàng Thái nhất đẳng người từ vừa mới bắt đầu mục tiêu liền rất rõ ràng, nếu là tầm thường thời kỳ, hoặc Hứa Đông hoàng các người sẽ chọn tự đi luyện hóa.

	Nhưng bây giờ tất cả mọi người biết mặn dương trong cung một vị kia dự định, không có nhiều như vậy thời gian dành cho ba người từ từ đi luyện hóa Dực Tổ cùng Nguyệt Thiền.

	Mà Hắc Trạch tinh thượng thứ không thiếu nhất chính là cường giả!

	Nước quá sâu, trừ mặn dương cung nội một vị kia trấn áp thiên hạ ra, còn lại Bách Gia Chư Tử cũng chưa có cường giả sao?

	Không nói khác, lần này luyện hóa Dực Tổ cùng Nguyệt Thiền thân thể sự việc liền phải rơi vào y học nhà trên đầu!

	Y học nhà cũng là Bách Gia Chư Tử trong không thể coi nhẹ một phe thế lực, thủ đoạn nhiều vô số kể, luyện hóa Dực Tổ cùng Nguyệt Thiền lại đơn giản bất quá!

	Không ra một năm thời gian, Dực Tổ cùng Nguyệt Thiền trong cơ thể không mục nát căn nguyên cũng sẽ bị luyện hóa đi ra!

	Nghiệp thuật có chuyên về một môn!

	Bàn về sức chiến đấu, dĩ nhiên là bá đạo vô cùng Âm Dương gia cùng binh gia mạnh, có thể bàn về y thuật, dĩ nhiên là y học nhà độc bộ thiên hạ!

	Có thể sống thịt người chết xương trắng!

	Y học nhà cũng không chỉ ước chừng chỉ là có thể cứu chữa mọi người, rơi vào y học nhà trong tay, Dực Tổ sợ rằng liền dây nịt da cốt đều phải bị nuốt xuống.

	Y học nhà nhóm người kia, gặp phải cảm thấy hứng thú sự việc sau đó, vậy thì hoàn toàn là một đám người điên.

	Như Dực Tổ cùng Nguyệt Thiền thân thể, ở y học nhà xem ra, so với không mục nát căn nguyên còn trọng yếu hơn!

	Mà Đông Hoàng Thái nhất đẳng người cần phải bỏ ra vẻn vẹn chỉ là 20% không mục nát căn nguyên.

	Lần này do Âm Dương gia dẫn đầu, tự nhiên Đông Hoàng Thái một độc chiếm 30% không mục nát căn nguyên!

	Mà đạo gia cùng binh gia mỗi người phải 20%, y học nhà luyện hóa Dực Tổ cùng Nguyệt Thiền, tiết kiệm được vô số thời gian, giống vậy đạt được 20% không mục nát căn nguyên.

	Mà Bắc Phong có công, đạt được một thành không mục nát căn nguyên.

	Từ vừa mới bắt đầu, ở Dực Tổ còn không biết dưới tình huống, cũng đã bị làm là hàng hóa vậy, bị qua phân một sạch sẽ.

	"Ta phải nói, các người Âm Dương gia vậy nhãi con vậy chưa dùng tới không mục nát căn nguyên, không bằng đổi chác cho ta binh gia."

	Mông Điềm lắm mồm bể lải nhải, ở Đông Hoàng Thái một mặt trước vừa nói.

	Đây cũng là Mông Điềm lời thật lòng, Mông Điềm cũng không nhận là một thành không mục nát căn nguyên đối với một tôn vẫn là thần ma cảnh Âm Dương gia nhãi con có ích lợi gì.

	Tháng này thiền cùng Dực Tổ hai tôn bất hủ cảnh thân thể bên trong đề luyện ra không mục nát căn nguyên, một thành cũng là một cái không nhỏ số lượng.

	"Ừ ? Các người tốt nhất không muốn có ý gì, nếu không đừng trách ta đánh lên cửa."

	Đông Hoàng Thái một dừng bước lại, trong đôi mắt tràn đầy lạnh lùng cùng cao ngạo, nhìn chăm chú Mông Điềm cả người không được tự nhiên.

	"Ta nói cũng không sai, không mục nát căn nguyên đối với thần ma cảnh võ giả mà nói, cũng không có ích lợi gì, một thành không mục nát căn nguyên, nếu là giao cho một tôn bất hủ cảnh, đủ để cho thực lực tăng cường không thiếu."

	Mông Điềm không sợ chút nào, nhìn thẳng Đông Hoàng Thái một, mở miệng vừa nói.

	"Đi về trước đi, không mục nát căn nguyên đã phân phối, nên làm như thế nào, đó cũng là bọn họ Âm Dương gia chuyện mình."

	Trong đạo gia năm nhìn hai người bây giờ bầu không khí khẩn trương, không khỏi đi ra giảng hòa.

	Bắc Phong cũng không biết Mông Điềm hàng này lại muốn sắp tối hết mình không mục nát căn nguyên.

	Nếu là biết, thiếu không thể cầm nhỏ bản bản nhớ kỹ, Thu sau tính sổ.

	Trước có lẽ Bắc Phong đúng không mục nát căn nguyên còn ôm thái độ thờ ơ, nhưng bây giờ biết được con đường của mình sau đó, không mục nát căn nguyên vậy chính là mình mạng!

	"Cũng không biết bắt không có, đây nếu là chưa bắt được, vậy ta coi như uổng phí thời gian."

	Bắc Phong ánh mắt trông về phía xa, nhìn về phía tinh thần ra, âm thầm nghĩ.

	Mới vừa nghĩ tới đây, liền thấy Đông Hoàng Thái nhất đẳng người xuất hiện ở trước mặt.

	"Bái kiến Đông Hoàng đại nhân, bái kiến hai vị tiền bối."

	Bắc Phong đối với ba người thi lễ một cái, vậy không không biết xấu hổ mở miệng hỏi Dực Tổ bắt không có.

	"Không sai, lần này nhờ có ngươi, ngươi vậy một thành không mục nát căn nguyên qua một đoạn thời gian sẽ đưa đến trong tay ngươi."

	Đông Hoàng Thái vừa thấy được Bắc Phong, mặt lạnh lùng sắc thoáng hòa tan, nhếch miệng lên.

	"Đây là thân là Âm Dương gia đệ tử phải làm."

	Bắc Phong đi theo Đông Hoàng Thái cả người sau đó, cung kính đáp trả.

	Đây cũng là Bắc Phong lời nói xuất phát từ đáy lòng, bình tâm mà nói, Âm Dương gia đối với mình thật không tệ, nếu bản thân có năng lực, như vậy hồi báo Âm Dương gia cũng là phải.

	"Như vậy đệ tử ta binh gia làm sao cũng chưa có, nhãi con, nếu không ngươi tới dưới trướng đi."

	Mông Điềm có chút chua chát vừa nói.

	Nhưng vậy đúng là bởi vì là Bắc Phong năng lực, đối với Bắc Phong nhìn với cặp mắt khác xưa.

	Bắc Phong ở Âm Dương gia địa vị cũng không thấp, chính là tám mạch tinh chủ một trong, từ Bắc Phong tiếp nhận tinh chủ, cũng đã vào còn lại Bách Gia Chư Tử mắt.

	Trong thời gian ngắn ngủi, tu vi đột nhiên tăng mạnh, mặt đối mặt dưới tình huống, tự nhiên không gạt được Mông Điềm.

	Lúc này mới bao lâu, tu vi lại có thể cũng đã là nắm trong tay vượt qua hai trăm cái thiên đạo thần ma cảnh.

	Lại là có gan cùng năng lực, ám toán một tôn bất hủ cảnh.

	Càng xem càng là thích, Mông Điềm không khỏi ném ra cành ô liu.

	Dĩ nhiên, vậy chỉ là để cho Bắc Phong tới hắn dưới trướng, gia nhập quân đội, cũng không phải là gia nhập binh gia.

	Cái này ý nghĩa lại bất đồng, gia nhập trại lính không có vấn đề, Bách Gia Chư Tử không thiếu đệ tử, thậm chí cao tầng, đều có trong quân đội hoặc là triều đình người.

	Nhưng nếu để cho Bắc Phong gia nhập binh gia, đó chính là ngay trước Đông Hoàng Thái một mặt đào chân tường, đào vẫn là tám mạch tinh chủ một trong, phỏng đoán Đông Hoàng Thái một lập tức thì phải trở mặt.

	Như vậy chuyện, cho dù là bể bể lải nhải, thần kinh lớn cái Mông Điềm vậy không làm được.

	"Đa tạ tướng quân ý tốt, chẳng qua là vãn bối thực lực chưa đủ, còn cần nhiều hơn lịch luyện."

	Bắc Phong không có suy nghĩ nhiều, trực tiếp cự tuyệt.

	Mình ngu mới có thể ở bây giờ gia nhập trại lính, mình thực lực đang đứng ở lên cao kỳ, không ngừng hạ xuống còn lại thế giới thu hoạch Thiên đạo mới là đường chánh.Chương 48: Y học nhà 
Converter Dzung Kiều cầu phiếu và bình chọn * cao giúp mình 

	"Cho nên nói, đầu óc là đồ tốt, hy vọng ngươi cũng có thể có."

	Mông Điềm thanh âm truyền vào Dực Tổ trong tai, để cho Dực Tổ cảm giác không ổn.

	"Dù là các người ba người, trong vòng thời gian ngắn cũng đừng nghĩ đem ta luyện hóa!"

	Dực Tổ mặc dù không biết là lạ ở chỗ nào, nhưng lại vậy có tự tin.

	Chết đi Nguyệt Thiền, thân thể không mục nát không lớn bao nhiêu thành, trừ đầu lâu ra, địa phương còn lại đều là không mục nát.

	Là lấy chết đi nhiều năm như vậy, Dực Tổ như muốn luyện hóa, cũng là hao phí mấy trăm ngàn năm khổ công.

	Mà Dực Tổ còn sống, hắn luyện hóa trình độ, so với chết đi Nguyệt Thiền càng thêm gian nan!

	Dực Tổ cứ việc bị phong ấn, nhưng thật tâm trong cũng không có quá nhiều lo âu.

	"Ngàn không nên, vạn không nên, không nên để cho ta mang Nguyệt Thiền thân thể!"

	Dực Tổ trong lòng lặng lẽ suy nghĩ.

	"Có Nguyệt Thiền thân thể ở đây, đây chính là bổn tôn sức sống chỗ, chỉ cần ở bổn tôn bị cái này ba người luyện hóa trước, đem Nguyệt Thiền thân thể luyện hóa, như vậy lấy được không mục nát căn nguyên, đủ để cho bổn tôn đem năm chi toàn bộ không mục nát!"

	Dực Tổ tự tin, một khi đến lúc đó, mình tất nhiên có thể phá vỡ phong ấn, có lẽ còn không phải là đối thủ của ba người, nhưng muốn ở ba người thủ hạ rời đi, nên vấn đề không lớn!

	Theo một tiếng thanh âm giễu cợt từ ngoại giới truyền tới, cái này một mảnh ngân hà hoàn toàn bị Mông Điềm các người phong ấn, hóa là một cỡ quả đấm, phát ra vô lượng uy năng hình cầu.

	Mông Điềm mang trên mặt nụ cười, "Cái này hai kẻ ngu phỏng đoán còn nghĩ luyện hóa Nguyệt Thiền thân thể."

	Nếu không phải cố kỵ hình tượng, Mông Điềm giờ phút này thật nước mắt cũng sắp bật cười.

	Đông Hoàng Thái một cứ việc không có mở miệng, nhưng trên mặt lạnh lùng vẻ cũng là tan rã không thiếu.

	"Đi thôi, nơi này chuyện, cần phải trở về."

	Đông Hoàng Thái một ba người rời đi, chỉ để lại một mảnh đường kính vượt qua trăm triệu vạn dặm hắc động, chiếm đoạt hết thảy, không biết nhiều ít hàng tỷ năm mới có thể tiêu tán.

	Không trách Mông Điềm bật cười, cái này Dực Tổ thật đúng là ngây thơ buồn cười.

	Cũng không suy nghĩ một chút, ba tôn bất hủ cảnh ra tay, nếu là cần thời gian lâu như vậy mới có thể tương kỳ luyện hóa, không nói Đông Hoàng Thái một, sợ rằng Mông Điềm cũng không nhịn được.

	Đông Hoàng Thái nhất đẳng người nếu là tự mình ra tay, sợ rằng đúng như Dực Tổ suy nghĩ, cần mấy chục trên một triệu năm thời gian, mới có thể đem Dực Tổ cùng Nguyệt Thiền luyện hóa.

	Nhưng Đông Hoàng Thái nhất đẳng người từ vừa mới bắt đầu mục tiêu liền rất rõ ràng, nếu là tầm thường thời kỳ, hoặc Hứa Đông hoàng các người sẽ chọn tự đi luyện hóa.

	Nhưng bây giờ tất cả mọi người biết mặn dương trong cung một vị kia dự định, không có nhiều như vậy thời gian dành cho ba người từ từ đi luyện hóa Dực Tổ cùng Nguyệt Thiền.

	Mà Hắc Trạch tinh thượng thứ không thiếu nhất chính là cường giả!

	Nước quá sâu, trừ mặn dương cung nội một vị kia trấn áp thiên hạ ra, còn lại Bách Gia Chư Tử cũng chưa có cường giả sao?

	Không nói khác, lần này luyện hóa Dực Tổ cùng Nguyệt Thiền thân thể sự việc liền phải rơi vào y học nhà trên đầu!

	Y học nhà cũng là Bách Gia Chư Tử trong không thể coi nhẹ một phe thế lực, thủ đoạn nhiều vô số kể, luyện hóa Dực Tổ cùng Nguyệt Thiền lại đơn giản bất quá!

	Không ra một năm thời gian, Dực Tổ cùng Nguyệt Thiền trong cơ thể không mục nát căn nguyên cũng sẽ bị luyện hóa đi ra!

	Nghiệp thuật có chuyên về một môn!

	Bàn về sức chiến đấu, dĩ nhiên là bá đạo vô cùng Âm Dương gia cùng binh gia mạnh, có thể bàn về y thuật, dĩ nhiên là y học nhà độc bộ thiên hạ!

	Có thể sống thịt người chết xương trắng!

	Y học nhà cũng không chỉ ước chừng chỉ là có thể cứu chữa mọi người, rơi vào y học nhà trong tay, Dực Tổ sợ rằng liền dây nịt da cốt đều phải bị nuốt xuống.

	Y học nhà nhóm người kia, gặp phải cảm thấy hứng thú sự việc sau đó, vậy thì hoàn toàn là một đám người điên.

	Như Dực Tổ cùng Nguyệt Thiền thân thể, ở y học nhà xem ra, so với không mục nát căn nguyên còn trọng yếu hơn!

	Mà Đông Hoàng Thái nhất đẳng người cần phải bỏ ra vẻn vẹn chỉ là 20% không mục nát căn nguyên.

	Lần này do Âm Dương gia dẫn đầu, tự nhiên Đông Hoàng Thái một độc chiếm 30% không mục nát căn nguyên!

	Mà đạo gia cùng binh gia mỗi người phải 20%, y học nhà luyện hóa Dực Tổ cùng Nguyệt Thiền, tiết kiệm được vô số thời gian, giống vậy đạt được 20% không mục nát căn nguyên.

	Mà Bắc Phong có công, đạt được một thành không mục nát căn nguyên.

