Chương 641: Cắt sóng! 
 Converter Dzung Kiều cầu phiếu 

	Đại dương, rộng lớn vô biên, ẩn chứa quá nhiều thần bí.

	Hữu cơ gặp, cũng có nguy hiểm.

	Lúc này biển hoàng kim giống như là bạo động lực, vào mắt nơi gặp, tất cả đều là ngập trời sóng lớn.

	Từng đạo đến gần trăm thước cao sóng lớn nguy nga vô cùng, nhưng nguy nga dưới, đủ để bộc phát ra hủy thiên diệt địa năng lượng!

	Nếu là đổi Trái Đất, khủng bố kinh khủng này sóng lớn đăng ký đất liền lúc đó, đủ để dễ như trở bàn tay đánh chết đếm lấy ức kế loài người!

	Bắc Phong ngẩng đầu nhìn về phía đâm đầu vào sóng lớn, thân thuyền lắc lư, nhưng Bắc Phong nhưng không nhúc nhích tí nào, chân trần đứng ở boong thuyền phía trước nhất, sắc mặt bình tĩnh.

	Gào thét mà đến gió biển thổi phất dậy Bắc Phong áo quần góc bên, kêu phần phật, từng cây một đen nhánh sợi tóc bù xù ở sau lưng.

	Bầu trời mây đen phong phú, từng giọt lớn chừng hạt đậu nước mưa rơi xuống, thỉnh thoảng có lớn sấm sét thoáng một cái đã qua, chiếu sáng đúng mảnh trời đất.

	Nhưng là lại không có một giọt mưa nước cùng nước biển bắn rơi vào Bắc Phong trên mình, tất cả nước biển nước mưa khi tiến vào Bắc Phong quanh thân nửa mét lúc cũng sẽ bị Bắc Phong khí huyết đánh tan, bốc hơi.

	Cùng cái này to lớn sóng biển so với, Bắc Phong thật sự là quá nhỏ bé, không đáng nhắc tới.

	Cái này một chiếc thuyền vững chắc vô cùng, vận dụng linh thạch vì năng lượng, trong ngày thường dễ như trở bàn tay liền có thể đột phá gấp mấy lần tốc độ âm thanh.

	Nhưng là bây giờ đang phập phồng không chừng trên mặt biển bị vô cùng ảnh hưởng lớn, chỉ có thể bộc phát ra bốn lần tốc độ âm thanh.

	Mà muốn là dựa theo cái tốc độ này, có thể không theo đuổi tiên linh cá.

	Bắc Phong lúc này hạ lệnh, để cho Lữ Bố toàn lực mở thuyền hết tốc lực, không cần cố kỵ bất kỳ ảnh hưởng.

	Thân thuyền cùng sóng lớn nhanh chóng đến gần, bất quá mấy hơi thở, thân thuyền đã đến sóng lớn phía dưới!

	Cao đến trăm mét sóng lớn ẩn chứa không biết nhiều ít tấn nước biển, dù là chiếc thuyền này vững chắc vô cùng, nhưng là lấy nhanh như vậy tốc độ đụng vào sóng lớn lên, cũng là đối với thân thuyền một cái khảo nghiệm to lớn!

	Quân không gặp, cho dù là Trái Đất máy bay, áp dụng đặc thù hợp kim chế tạo, vững chắc vô cùng, cùng một cái nhỏ chim đối diện đụng thẳng vào nhau, cũng sẽ bị thân máu thịt đụng đi ra một cái to lớn vết lõm.

	Lúc này mấy chục trượng khổng lồ thân thuyền lấy gần như mười lần tốc độ âm thanh tốc độ đụng vào mãnh liệt mà đến sóng lớn, vậy đơn giản là kinh động lòng người!

	To lớn sóng biển đã bao phủ thân thuyền, phía trên nước biển cũng phải đập xuống, bao trùm xuống.

	"Ôm trăng thức, toái không kích!"

	Bắc Phong trong tay không biết lúc nào nổi lên một cái dữ tợn vũ khí, không giống đao, không giống kiếm, nhưng là một cái thấy được sẽ để cho người sợ hãi, Bắc Phong giống như là không có thấy được trước mặt cơn sóng thần, sắc mặt ung dung không phá, tới gần sóng lớn không tới 10m, Bắc Phong động!

	Cái này động một cái, như rồng ẩn ra Uyên!

	Cả người đứng ở trên boong, nhẹ nhàng nâng dậy binh khí trong tay, dữ tợn răng cưa bắn tán loạn ra ánh sáng đen, giống như muốn cắn người khác cá mập!

	Bắc Phong chém xuống một kiếm, vô cùng hùng hậu khí huyết rót vào binh khí trong, đúng thanh kiếm thân bắn tán loạn ra so chung quanh bóng tối càng thâm thúy hơn ánh sáng đen!

	Bắc Phong xương sống như rồng, bắn tán loạn ra kinh khủng lực lượng, để cho Bắc Phong toàn thân lực lượng ngưng vì một cổ!

	Mũi nhọn kinh người thanh kiếm này trên mình truyền tới, lưỡi kiếm chỗ đi qua, không gian đều bị cắt ra!

	"Ầm!"

	Một đạo kiếm khí bính bắn ra, về phía trước gần trăm thước cao sóng lớn chém tới!

	Một màn kinh người xuất hiện, sóng lớn trực tiếp bị chia làm hai, vừa dầy vừa nặng sóng lớn ở giữa lộ ra một đạo rộng chừng ba mươi bốn mươi thước lối đi!

	Một màn này vô cùng rung động, rất khó tưởng tượng như vậy thiên tai trước mặt, người năng lượng có thể quá mạnh mẽ đến loại trình độ này!

	Một kiếm chém ra gần trăm thước cao sóng lớn, để cho vừa dầy vừa nặng sóng lớn chia làm hai, lộ ra một cái đến gần ngàn thước lối đi!

	Thân thuyền trực tiếp chạy đang bị Bắc Phong một kiếm chém đi ra ngoài trong lối đi, lối đi hai bên là thật cao sóng lớn, một màn này nhìn qua duy mỹ vô cùng!

	Bất quá chớp mắt, lấy gần như mười lần tốc độ âm thanh tốc độ, thuyền trực tiếp từ tách ra sóng lớn trong xuyên qua.

	Làm thuyền lần nữa xuất hiện ở sóng lớn sau đó, tách ra sóng lớn mới ầm ầm sụp đổ!

	" Ầm!"

	Một đạo to lớn nổ vang vang vọng, tách ra sóng lớn nhập chung lại, hai bên nước biển không ngừng hướng đối diện chiếu nghiêng xuống, 2 2 va chạm dưới, đạo này sóng lớn trực tiếp tan vỡ, tiêu tán ở vô hình.

	Bắc Phong không có quá nhiều chú ý, võ giả tu hành đến mình mảnh đất này bước, đã rất ít có thiên tai có thể đánh chết.

	Trừ phi thật sự là vận khí không tốt, mới có thể chết yểu.

	Bắc Phong đem sự chú ý thả cách không xa lần nữa vọt tới sóng lớn.

	Lần này vọt tới sóng lớn đã vượt qua trăm mét, nhưng là Bắc Phong vẫn là giống như trước vậy, chẳng qua là nhẹ nhõm nhìn như không dùng sức một kích, trực tiếp đem sóng lớn chia làm hai!

	"Áp chế càng ngày càng nghiêm trọng, chung quanh thiên địa linh khí cũng bắt đầu nóng nảy."

	Bắc Phong cau mày, nguyên bản áp chế tự thân 30% thực lực, bây giờ đã áp chế mình một nửa thực lực.

	Không chỉ có như vậy, chung quanh thiên địa linh khí cũng là nóng nảy, không thích hợp hấp thu.

	Nói cách khác không thể dựa vào trong không khí linh khí bổ sung mình tiêu hao.

	Lần lượt cắt sóng, thuyền tốc độ vẫn không có dừng lại qua, Bắc Phong cũng không biết mình rốt cuộc hươi ra nhiều ít kiếm, cũng không biết bây giờ mình khoảng cách thành phố vàng có xa lắm không.

	Trên bầu trời tầng mây rất thấp, trong không khí giăng đầy nhiều điện hạt, tùy tiện phủ một cái sờ quần áo, cũng có thể thấy được trên y phục lóe lên vậy từng đạo tĩnh điện.

	"Ầm!"

	Thanh âm điếc tai nhức óc ở Bắc Phong cách đó không xa nổ vang, trên mặt biển trực tiếp xuất hiện một cái đến nay trên trăm mét, hình cùng một chén trạng lõm hỏng bét.

	Một mảng lớn trắng xóa trong mang mơ hồ màu vàng kim mây mù bay lên.

	Bất ngờ là mới vừa một đạo lôi điện rơi xuống, trực tiếp một kích khí hóa liền chu vi trăm mét nước biển!

	Sấm sét mới vừa rồi khoảng cách Bắc Phong cũng không xa, Bắc Phong có thể cảm giác được vậy một đạo lôi điện trong ẩn chứa cuồng bạo năng lượng.

