Chương 131: Tiên thiên thần thụ? 
 Converter Dzung Kiều cầu phiếu 

	"Tí tách! Tí tách!"

	Bên trong động yên tĩnh, chỉ có từng giọt giọt nước nhỏ giọt xuống thanh âm. Trên nóc lại nhỏ

	Lô Dương sững sốt một chút, động này bên trong khô ráo vô cùng, nơi đó truyền tới tiếng nước chảy?

	"Đại Tráng, còn đang mè nheo cái gì, đi trở về."

	Gặp Đại Tráng không có phản ứng chút nào, Lô Dương tiến lên vỗ một cái Đại Tráng bả vai.

	Lô Dương cảm giác trên tay nhớp nhúa, không khỏi giơ tay lên, trên tay bất ngờ tất cả đều là máu tươi!

	"À!"

	Lô Dương một tiếng hét thảm, chuyển đến bên cạnh mới phát hiện một rể cây từ lỗ thủng kia trong dò ra, đâm vào Đại Tráng hốc mắt!

	"Dương Tử ngươi quỷ gào gì?" Bên ngoài một người nghe được bên trong động truyền tới tiếng kêu thảm thiết vội vàng vọt vào, nhìn Lô Dương tê liệt ngồi dưới đất, không khỏi hỏi.

	"Khanh khách! Đại Tráng, Đại Tráng. . ."

	Lô Dương răng đánh lạnh run, chỉ Đại Tráng đứt quảng vừa nói, nhưng lại quanh đi quẩn lại chỉ có mấy chữ này.

	Lục Gia Quý không khỏi sững sốt một chút, "Đại Tráng thế nào? Ngươi ngược lại là nói à!" Gặp Lô Dương vẫn là tê liệt ngồi ở, không khỏi trực tiếp đi tới Đại Tráng bên cạnh nhìn một cái.

	"À!"

	"Đạp đạp đạp!"

	Một tiếng hét thảm vang lên lần nữa, Lục Gia Quý trực tiếp trực tiếp bị dọa đến thụt lùi hai bước, rương dụng cụ cũng rơi trên mặt đất, sau đó xoay người chạy!

	"Trời ạ, ngươi ngược lại là...đợi ta một chút à!"

	Lô Dương hướng Lục Gia Quý hô đến, chân mình cũng hù doạ mềm nhũn, căn bản không lên nổi.

	"Đạp đạp đạp!"

	Chẳng qua là ba mươi giây sau, Lục Gia Quý lại chạy trở lại, cùng Lô Dương mắt lớn trừng mắt nhỏ.

	"Người này ngày thường làm việc trộm gian giở thủ đoạn, không nghĩ tới thời khắc mấu chốt thật nói nghĩa khí!" Lô Dương cảm động cũng sắp khóc, trong lòng yên lặng suy nghĩ, ngày thường không đáng tin cậy không sao cả, thời khắc mấu chốt dựa được là được!

	"Ngươi còn không chạy à!"

	Không đợi Lô Dương nghĩ nhiều nữa, Lục Gia Quý nhặt lên trên đất rương dụng cụ như một làn khói liền chạy, vừa chạy một bên hướng Lô Dương mắng.

	"Cmn, cái đầu ngươi!"

	Lô Dương đưa ra tay cứ như vậy giằng co ở giữa không trung, ngẩn ra sau đó, mắng to một câu, hai chân run rẩy, cũng chạy ra ngoài.

