Chương 438: Tai nạn 
 Converter Dzung Kiều cầu khen thưởng 

	Bắc Phong đoàn người thầm mắng người điên, nhưng lại một cái chạy so một cái mau.

	"Ùng ùng!"

	Phía sau bắt đầu nổ, một cổ hủy diệt sóng trùng kích ngay tức thì từ phía sau đuổi theo, may là mọi người đã chạy rất nhanh, nhưng là cũng vẫn là không có dùng, chỉ có thể chống cự!

	Bắc Phong lăn lộn thân khí huyết bộc phát, tạo thành một cái cường đại vòng bảo vệ, đem Huyền Nhất chó ba đầu các người cùng nhau kéo vào trong đó.

	Mà một vị khác thực lực bản thân chỉ có tiên thiên, dựa vào 8 cánh ve sầu mới có bão đan chiến lực bà lão sau lưng trực tiếp xuất hiện một đạo đạo kim sắc sợi tơ, rồi sau đó đem bà lão cả người cũng bao ở trong đó.

	" Ầm!"

	"Phốc!"

	Đạo này sóng trùng kích đã qua, tất cả mọi người giống như là trong bão táp thuyền cá nhỏ vậy, ngay tức thì bị cái này sóng trùng kích xa xa hướng bay ra ngoài.

	Không thiếu thực lực yếu bão đan võ giả đều là lăn lộn thân chân khí tán loạn, rối rít phun một ngụm máu tươi đi ra.

	"Rắc rắc!"

	Toàn bộ dưới đất không gian cũng đang kịch liệt chập chờn, mảng lớn nham thạch rớt xuống, nhìn dáng dấp toàn bộ dưới đất không gian muốn không được bao lâu thì sẽ sụp đổ.

	Bất đồng mọi người nghỉ một hơi, lại một đạo sóng trùng kích ngay tức thì đuổi kịp mọi người, mọi người có một lần bị hung hăng đánh bay ra ngoài.

	Mặc dù chân khí phòng ngự tuyệt đại đa số uy lực, nhưng là cái loại đó đánh vào sinh ra tác dụng ngược lại lực cũng chính là chấn động nhưng là không thể tránh khỏi xâm nhập đông đảo bão đan võ giả trong thân thể.

	Nhìn ở bên cạnh mình khổ khổ chống đỡ Tần Vô Pháp, Bắc Phong nhướng mày một cái, ngay tức thì đem vòng bảo vệ bao phủ phạm vi mở rộng, lập tức đem Tần Vô Pháp bao phủ đi vào.

	Tần Vô Pháp giật giật môi, cuối cùng vẫn là không có nói gì.

	Bắc Phong lúc này khí huyết tiêu hao rất lớn, nếu như là chỉ chỉ lo đạt tới mình chu đầy đủ, vậy cũng được không có gì.

