Chương 868: Ngươi kêu ta sư đệ? 
 Converter Dzung Kiều cầu khen thưởng 

	Bắc Phong cả người đều là truyền tới từng trận ấm áp, giống như ngâm ở nước suối trong vậy.

	Từng luồng long mạch khí tràn vào Bắc Phong trong cơ thể, để cho Bắc Phong cả người tế bào đều ở đây miệng to nuốt.

	Từng tia tinh thuần vô cùng khí huyết từ Bắc Phong cả người trên dưới mỗi một viên tế bào chỗ sâu xông ra, rồi sau đó hội tụ đến Bắc Phong đỉnh đầu.

	Cái này từng luồng khí huyết chất lượng vô cùng kinh khủng, mang một cổ trấn áp vạn cổ Bất Hủ hơi thở.

	Thần uy như ngục!

	Cứ việc số lượng vô cùng thưa thớt, có thể ẩn chứa trong đó lực lượng tầng thứ nhưng là cực cao!

	Toàn thân cao thấp xông ra cái này từng tia huyết dịch chính là bên trong thân thể bổn nguyên nhất huyết mạch!

	Từng tia hội tụ đến Bắc Phong đỉnh đầu trong, tràn vào da đầu bề ngoài lượng viên trống nhỏ túi trong để dành.

	"Long mạch khí lại còn có như vậy tác dụng, đáng tiếc số lượng quá thiếu, thời gian rất dài mới có thể ngưng tụ ra một giọt máu."

	Bắc Phong tính toán một chút, dựa theo như vậy trình độ, sợ rằng mấy năm thời gian mới có thể ngưng tụ ra một giọt phản tổ huyết dịch.

	Còn như nói mượn con rồng này mạch tán tràn ra long mạch khí để cho Bắc Phong hoàn thành phản tổ càng là không thể nào chuyện.

	Bắc Phong cũng không có để ở trong lòng, cái này ngưng tụ tốc độ quá chậm, đối với mình thực lực tăng lên có hạn.

	Nhưng thân ở với trong hoàn cảnh như vậy, để cho Bắc Phong cảm thấy thư thích, điểm này ngược lại không tệ.

	Đoàn người hướng cống hiến điện chạy tới, tốc độ không phải rất nhanh, cũng không có vội vội vàng vàng.

	Ngoại tông đệ tử có thể tại nội tông hàng năm có thể tới 3 lần, mỗi một cái nhiều nhất có thể đợi một tháng, là lấy không cần đuổi thời gian.

	Coi như một mực tại nội tông cũng không phải không được, rất đơn giản, chỉ muốn chọn trở thành một vị đệ tử nòng cốt người hầu là được.

	Nội tông trong hôm nay đệ tử nòng cốt hơn ngàn người, mà thường trú ngoại tông đệ tử đủ có mấy chục ngàn!

	Cái này mấy chục ngàn đệ tử đều là đệ tử nòng cốt người hầu, còn như lui tới nội tông đệ tử lại là đông đảo.

	Vạn Cổ thiên tông bên trong nhưng mà còn có nhiệm vụ điện, đệ tử nòng cốt số người chỉ có nhiều như vậy, tự nhiên không thể nào bao lãm nhiệm vụ điện tất cả nhiệm vụ.

	Mà nội tông nhiệm vụ trong điện nhiệm vụ so với ngoại tông nhiệm vụ điện nhiệm vụ thù lao hơn nữa phong phú, có thể giống nhau tính nguy hiểm cũng càng tăng cường!

	Lại là có rất nhiều ngoại tông chấp sự cùng với đại chấp sự mới có thể tiếp lấy nhiệm vụ!

	Đi cống hiến điện phải đi qua nhiệm vụ điện, lúc này Chu Dịch sững sốt một chút, rồi sau đó bước nhanh về phía trước, hướng về phía đoàn người thi lễ.

	"Gặp qua chư vị sư huynh, gặp qua Vũ Đàm sư huynh."

	Chu Dịch trong lòng có chút suy đoán bất an, đừng xem đang cùng mấy cái sư đệ sư muội trong thổi phồng mình cùng Vũ Đàm sư huynh là bạn tốt, nhưng thực cũng bất quá là gặp mấy lần mà thôi.

	Lúc này Chu Dịch không biết đối phương hay không còn biết mình.

	" Ừ, là Chu Dịch à, lần này tới nội tông có chuyện gì không?"

	Vũ Đàm vóc người có chút thấp bé, tướng mạo nhìn như có chút âm nhu, lúc này gật đầu một cái, suy nghĩ một hồi mới nhớ tới người trước mắt.

	Còn như mấy người còn lại, chẳng qua là nhìn Chu Dịch một cái liền quay đầu đi chỗ khác, tự mình trò chuyện với nhau.

	"Sư huynh, gặp phải một vị bên ngoài tông lúc làm quen đệ tử, chờ một chút."

	Vũ Đàm hướng về phía bên người một người áy náy cười một tiếng.

	"Không sao."

	Người nọ gật đầu một cái, không có lại để ý tới.

	"Vũ Đàm sư huynh, lần này tới nội tông chủ yếu là mang mấy vị sư đệ sư muội khai mở nhãn giới."

	"Các người còn chưa lên gặp qua Vũ Đàm sư huynh, Vũ Đàm sư huynh bên ngoài tông lúc cũng đã là thiên chi kiêu tử, hôm nay lại là một lần hành động thông qua thi đấu, đứng hàng đệ tử nòng cốt."

	Chu Dịch có chút kích động, không nghĩ tới đối phương còn nhớ mình, rồi sau đó hướng về phía mấy cái sư đệ sư muội vừa nói.

	"Gặp qua Vũ Đàm sư huynh."

	Chu Dịch mấy người sau lưng đàng hoàng tiến lên làm lễ, có chút sợ hãi.

	"Ai? Người đó? Còn không qua đây gặp qua Vũ Đàm sư huynh, phải biết Vũ Đàm sư huynh nhưng mà đệ tử nòng cốt, thực lực cường đại, tùy ý chỉ điểm hai ngươi chiêu cũng đủ ngươi hưởng thụ!"

	Chu Dịch tâm tình không tệ, lần này trở về ngoại môn mình lại có khoác lác.

	Mà nhìn cùng mình một đường đồng hành mà đến Bắc Phong tự mình về phía trước đi tới, Chu Dịch chính là sững sốt một chút, rồi sau đó vội vàng gọi lại Bắc Phong.

	"Ngươi kêu ta?"

