Chương 98: Thiên tai nhân họa hồ! 
 Converter Dzung Kiều cầu khen thưởng 

	"Đông đông!"

	Bên trong phòng bếp truyền ra một hồi thanh âm, để cho đi tới cửa Hồ Hán Dân vui mừng thầm nói, "Có triển vọng!"

	Nhẹ nhàng đẩy ra khép hờ cửa phòng bếp, Hồ Hán Dân lời kịch cũng nghĩ xong, nhưng trước mắt một màn này lại để cho Hồ Hán Dân trợn tròn mắt.

	"Cái này đặc biệt nói xong hồ ly tinh, nói xong người đẹp đâu ?"

	Hồ Hán Dân cảm giác mình bị lừa, phòng bếp này bên trong nào có cái gì hồ ly tinh? Hồ ly nhỏ ngược lại là có một cái.

	Hồ ly nhỏ giống như là đột nhiên nhô ra người hù dọa, co rúc ở góc tường, run lẩy bẩy.

	Hồ Hán Dân đem bếp cửa phòng đóng lại, đi tới trước lò bếp, nhìn trên tấm thớt để chừng mười viên lớn chừng quả trứng gà trái cây, trong đó một viên trái cây đã chia làm hai nửa, một ít chừng hạt gạo thịt quả bắn rơi vào trên tấm thớt, nhìn thật giống như là từng viên gạo vậy.

	"Chẳng lẽ cái này liền là mỗi sáng sớm ta uống cháo?"

	Hồ Hán Dân có chút ngạc nhiên, mình tại sao cho tới bây giờ không có gặp qua loại trái này.

	"Bóch!"

	Hồ Hán Dân nhặt lên một viên gạo giống vậy thịt quả, bỏ vào trong miệng cắn bể.

	Một cổ nồng nặc mùi thơm liền truyền ra, mặc dù bây giờ vẫn là lạnh, nhưng mùi vị cùng mình trước kia uống cháo không sai biệt lắm!

	" Được rồi, hồ ly tinh không vui, nhưng loại trái này hẳn có thể bán nhiều tiền! Còn có tiểu hồ ly này da lông cũng không tệ, trong thành người quý phụ khẳng định không luyến tiếc bỏ ra số tiền lớn!

	Vận khí tốt, nói không chừng cái này bán ra tiền đã đủ ta mua một người vợ."

	Hồ Hán Dân lộp bộp tự nói, sau đó món ăn đao đừng ở sau lưng, cười híp mắt nhìn góc hồ ly nhỏ.

	"Hồ ly nhỏ à hồ ly nhỏ, nếu ta cứu ngươi một mạng, vậy bây giờ liền nên là ngươi báo ân lúc, mượn ngươi cả người da dùng một chút!"

	Hồ Hán Dân giơ đao, từng bước một hướng hồ ly nhỏ đến gần.

	Hồ ly nhỏ cũng giống là bị sợ choáng váng, trong tay ôm một viên trái cây không dám nhúc nhích.

	Đang lúc ấy thì, một đạo dây câu từ trên trời hạ xuống, trực tiếp từ phòng bếp cửa sổ trên mái nhà rớt đi vào, một cổ màu xanh nhạt khói mù tràn ngập ở trong phòng bếp, khói mê hồn hoàn toàn cháy hết.

