Chương 53: Người khổng lồ 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Bắc Phong người đã ở Kình Thiên tông bên trong tông môn, hết thảy đều ở đây trong kế hoạch.

	Theo võ giả bị bại, còn sót lại phong đế cảnh từng cái như chó chết chủ, trực tiếp về đến cái này một mảnh đặc thù bên trong không gian.

	Mà Bắc Phong chính là đi theo những người này cùng chung tiến vào, không có lại bị hạn chế.

	Kình Thiên tông chính là đại tông, bên trong tông môn có tinh thần cảnh thể tu trấn giữ.

	Cái này một mảnh không gian bởi vì là côn bằng mà ra đời, tất cả võ giả đều là lấy côn bằng máu là tu hành tài nguyên.

	Chỉ tu thể phách, không tu nguyên lực.

	Cái này làm cho những võ giả này mỗi một người đều là thân thể mạnh mẽ, đáng tiếc võ giả hệ thống tạo thành quá chậm, xa xa không đuổi kịp cơ giáp cập nhật cải tiến tốc độ.

	Đưa đến nhiều năm qua như vậy, võ giả một mực bị đế quốc Tinh Hà áp chế.

	Kình Thiên tông chính là một trong 10 đại tông môn, mà Bắc Phong thân phận bây giờ chính là Kình Thiên tông đệ tử nòng cốt.

	Dưới mắt đại chiến tướng dậy, tất cả tông môn đều là hoàn toàn hạn chế cấm vận tài nguyên.

	Hết khả năng tăng lên đệ tử thực lực, mỗi nhiều hơn một vị phong đế cảnh, phần thắng liền đại học năm thứ nhất phân.

	Dưới mắt trọng yếu nhất chính là ngăn trở ngân hà công kích của đế quốc, nếu không một khi chiến bại, tư nguyên nhiều hơn nữa cũng là không có bất kỳ tác dụng!

	Là lấy tất cả đại tông môn đều là đem tông môn nội tình mở, lấy ra số lượng cao côn bằng huyết dịch.

	Chỉ cần có thể luyện hóa, hoàn toàn không có bất kỳ hạn chế!

	Bắc Phong cũng là đi tới Kình Thiên tông trong lòng núi, nhìn nhất khẩu khẩu côn bằng huyết dịch làm loãng đi ra ngoài ao máu tham lam hô hấp.

	"Dạ Nha thân là thiên địa vạn vật ngọn nguồn, hết thảy sinh vật lúc đầu, vô cùng cường đại, đủ để có thể chứa bất đồng huyết mạch!"

	Bắc Phong đã sớm đánh lên côn bằng chủ ý.

