Chương 499: Rắn! 
 Converter Dzung Kiều cầu phiếu 

	"Dường như chúng ta đây là lập công?"

	Lý Thiết Ngưu tự lẩm bẩm.

	"Ha ha, xem quản sự đại nhân hình dáng, cái này mỏ sắt khẳng định không bình thường, nói không chừng có thể làm cho chúng ta nhảy qua đệ tử tạp dịch, trực tiếp trở thành Phách Thiên tông đệ tử nòng cốt!"

	Thi Vân trên mặt lộ ra mừng như điên.

	Phải biết mọi người coi như là đào đầy mười năm mỏ, còn muốn tham gia nhảy Long môn cạnh tranh số người có hạn đệ tử tạp dịch, đệ tử tạp dịch cùng đệ tử chánh thức giữa chênh lệch nhưng mà rất khổng lồ.

	Mặc dù còn không có định tính, nhưng là cũng không ngại ngại mọi người suy nghĩ chủ quan, vạn nhất thật sự là có thể trực tiếp trở thành đệ tử tạp dịch đâu ?

	Rất nhanh vô số lâm vào ngủ say người bị đánh thức, từng cái cầm công cụ tiến vào hầm mỏ phần đáy, bắt đầu dọc theo màu bạc mỏ sắt bắt đầu dọn dẹp.

	Mười ngày sau, một mảng lớn chói lọi màu bạc mỏ sắt vách đá xuất hiện ở hầm mỏ phần đáy, liên miên trên trăm dặm, không gặp cuối!

	Bây giờ chừng 100k người đang khí thế ngất trời bắt đầu làm việc, phía dưới không chiều rộng hầm mỏ đã sớm bị khai thác rộng lớn vô cùng, cùng bên cạnh vô số hầm mỏ đả thông, tạo thành một đạo rộng lớn vô cùng lối đi.

	Cũng may mắn là tinh huy thạch mỏ sắt đều là ngay ngắn một cái khối ngay ngắn một cái khối to lớn bản khối, nếu không thế nào cũng phải sụp không thể.

	Mà hầm mỏ một bên, mấy trăm vị Phách Thiên tông đệ tử nòng cốt ở tông môn một vị trưởng lão dưới sự hướng dẫn đến, vệ sinh binh chính là thành một gã sai vặt, trên mặt cao ngạo cùng lạnh lùng biến mất không gặp, chất lên liền hiến mị nụ cười.

	"Không sai, lần này ngươi làm rất tốt."

	Tự mình thí nghiệm qua cái này mỏ sắt trình độ cứng cáp sau đó, hàn tinh phất trước râu, trên mặt lộ ra nụ cười, mặc dù mình cũng không nhận biết đây là cái gì mỏ sắt, nhưng chỉ bằng cái này độ cứng rắn, đó cũng là trân bảo!

	"Đệ tử không dám làm, vì tông môn dốc sức, là đệ tử bổn phận chuyện."

	Vệ sinh binh trên mặt vui mừng, cung kính vừa nói.

	Mấy trăm đệ tử nòng cốt cũng biết bằng vào lần này chiến công, vệ sinh binh nội môn đệ tử thân phận tuyệt đối là trên nền đinh đinh! Không chạy khỏi, thậm chí nếu như cái này mỏ sắt thật sự là trân bảo hiếm thế, liền liền đệ tử nòng cốt cũng có như vậy một ít cơ hội!

	Cho nên đông đảo đệ tử nòng cốt cũng không có bưng lên cái giá, từng cái cùng vệ sinh binh lên tiếng chào, nhưng mọi người cũng có mình kiêu ngạo, cũng vẻn vẹn chỉ là lên tiếng chào hỏi mà thôi.

	Thời gian từng giờ trôi qua, càng ngày càng nhiều mỏ sắt bị đào lên, nhưng là lại không thể gõ một khối.

	Bây giờ lộ ra ngoài mỏ sắt đã dài đến năm trăm dặm, mà càng đào, một con mỏ sắt lại càng nhỏ, vốn là một khối mỏ sắt có xe ngựa lớn nhỏ, bây giờ chỉ có cỡ chậu nước rửa mặt.

	Mà một đầu khác thì vẫn là giữ xe ngựa lớn nhỏ, không biết vì sao, theo càng ngày càng nhiều mỏ sắt lộ ra bề ngoài, Hàn tông trong lòng nhưng có một loại dự cảm xấu.

	"Có thể là đoạn này thời gian cùng năm đại tông môn cãi vã, quá hao tổn tinh lực đi."

	Hàn tinh lắc đầu một cái, đoạn này thời gian năm đại tông môn biểu hiện càng ngày càng cường thế, Phách Thiên tông còn không có làm xong cùng năm đại tông môn giao chiến chuẩn bị.

	Không biết vì sao, trong hầm mỏ nhiệt độ càng ngày càng thấp, đoạn này thời gian đã có mấy ngàn người bị đông cứng chết, nhưng là tìm một ngày, nhưng không tìm được thấp ấm từ nơi nào truyền tới.

	"Chặc chặc, thật một cái quặng mỏ giá trị liên thành à, liền tông môn trưởng lão cũng đích thân tới."

	"Đáng tiếc cái quặng mỏ này không phải chúng ta phát hiện."

	"Đúng vậy, Thi Vân đoàn người lần này coi như là một bước lên trời."

	Đoàn người một bên dọn dẹp màu bạc mỏ sắt bề ngoài che lấp tinh huy thạch, một mặt trò chuyện, trong lời nói tràn đầy hâm mộ.

	"Này, ta Trương Lão Tam cũng coi là gặp qua tình cảnh to lớn người, cái này mỏ sắt đào cũng có ta một phần công lao, ta được thật tốt nhìn một chút."

	Người trung niên mặt đầy rỗ nhổ bãi nước miếng ở trên tay chà xát, nghiêm túc sờ cái này một khối lớn màu bạc mỏ sắt.

	"Ha ha, Trương Lão Tam, sờ gì mỏ sắt à, về nhà sờ vợ ngươi mà đi đi."

	Những người bên cạnh nói đùa nói.

	Trương Lão Tam vẫn là một hơi một tí, đầy mặt say mê, mỏ trên đá đường vân thật là quá đẹp, không lúc nào đều ở đây thay đổi.

	"Ừ ? Trương Lão Tam, Trương Lão Tam!"

	Những người bên cạnh cũng không có để ý, nhưng 10 phút sau đó, lúc trước làm trò đùa người nọ cảm thấy không đúng, kêu mấy tiếng, Trương Lão Tam lại có thể không có đáp ứng.

	"Nhiệt độ quỷ này, càng ngày càng thấp."

	Người nọ mắng một câu, nhìn mình phun ra sương mù màu trắng, rụt cổ một cái, tiến lên đi tới Trương Lão Tam sau lưng, chuẩn bị vỗ một cái Trương Lão Tam bả vai.

	"Ừ ? Làm sao lạnh như vậy?"

	Người nọ trong đầu thoáng qua cái ý niệm này, rồi sau đó ý thức lâm vào bóng tối.

	"Rắc rắc!"

	Từng đạo nhỏ xíu đóng băng tiếng vang lên, tầng 1 kinh khủng màu u lam hàn băng nhanh chóng che phủ hai người thân thể.

	"Lại có hai người chết cóng!"

	Những người bên cạnh vội vàng nhường qua một bên, những ngày qua loại chuyện này cũng không có ít phát sinh, không ít người đều là như vậy bị đột nhiên chết cóng.

	"Hô!"

	"Rắc rắc!"

	"Ùng ùng!"

	Một hồi mãnh liệt gió lớn không biết từ đâu tới, ngay tức thì thổi lên mảng lớn tinh huy thạch bột.

	Trong khói mù truyền đến một hồi mỏ sắt sụp đổ thanh âm.

	Hàn tinh vung tay lên, đất bằng phẳng trực tiếp dâng lên một hồi bão, vô số bột toàn bộ hút vào trong đó, tạo thành một viên gian phòng lớn nhỏ do vô số bụi mù hình thành quả cầu to.

	Khoảng cách lộ ra ngoài màu bạc mỏ sắt phía trước mấy cây số địa phương, một mảng lớn tinh huy thạch sụp đổ, lộ ra hai cái chừng trăm mét lớn nhỏ bất quy tắc lỗ thủng hình tròn.

	Từng trận yếu ớt Thanh Phong từ hai cái lỗ trong miệng truyền tới, hàn tinh mang mấy trăm đệ tử nòng cốt tiến lên.

	"Có trọng bảo!"

	Chẳng qua là trong nháy mắt, tất cả mọi người đều là thoáng qua cái ý niệm này, đứng ở ngoài cửa động, một hồi thấm vào lòng người mùi thơm từ trong đó phiêu tán đi ra, để cho người tung bay lâng lâng.

	"Chẳng lẽ là thiên địa linh nhũ? Hay hoặc giả là những thứ khác thiên tài địa bảo?"

	Hàn tinh hứng thú, một ít thiên tài địa bảo chính là tồn tại ở quặng mỏ trong.

	"Đây là cơ duyên của các ngươi, tiến vào tìm đi."

	Hàn tinh hướng sau lưng mấy trăm đệ tử nòng cốt vừa nói, loại này phẩm cấp thiên tài địa bảo đối với mình đã không có tác dụng, đối với những đệ tử này ngược lại là có chút dùng.

	"Đa tạ trưởng lão."

	Một đám đệ tử nòng cốt lăm le, rồi sau đó nhanh chóng tiến vào cửa hang.

	"Xích! Xích xích!"

	Mọi người tiến vào chừng mười phút, một cổ kinh khủng khí lưu từ hai cái trong hầm mỏ phun ra ngoài!

	Một đám đệ tử nòng cốt có ít nhất 2 phần 3 bị phun ra ngoài, bị hàn tinh nhận xuống.

	Còn lại 1 phần 3 đệ tử nòng cốt, thực lực mạnh hơn, hoặc là có bí bảo trong người, ngược lại là không ngại.

	"Rắc rắc!"

	Từng đạo kẽ hở không ngừng lan tràn ra, lộ ra tinh huy thạch phía dưới bao gồm vô số màu bạc mỏ sắt.

	"Động! Cái này mỏ sắt động!"

	Từng đạo tiếng kêu hoảng sợ đột nhiên vang lên, theo tới chính là kinh hoàng, đối mặt không biết sự vật, những thứ này chẳng qua là so với người bình thường mạnh một chút thợ mỏ vậy sợ, như nước thủy triều vậy hướng ngoại giới chạy đi.

	Hàn tinh không có đi quản những thứ này loạn hỏng bét hỏng bét chạy trốn thợ mỏ, chính là hàn tinh chỉ cảm thấy có một kinh khủng sinh mạng chú ý tới mình!

	"Thứ gì, quá kinh khủng! Coi như là thái thượng trưởng lão cùng tông chủ cũng không khả năng có như thế mạnh!"

	Ở một đám đệ tử nòng cốt kinh ngạc, không rõ ràng, trong ánh mắt đờ đẫn, trong ngày thường liền liền tông chủ cũng dám chống đối một đôi lời hàn tinh trưởng lão lúc này lại vô cùng chật vật.

	Mang trên mặt biểu tình hoảng sợ, nước mắt nước mũi chảy ròng, thân thể gầy yếu run rẩy giống như là run cầm cập vậy.

	Cái này coi như là, quần hạ ướt nhẹp một mảnh, vẫn còn ở nhỏ nước đây là cái gì quỷ?

	Một đám đệ tử nòng cốt gương mặt dòm ngó, cmn đây là sợ són đái? Loại này khứu sự bị mình các người nhìn thấy, có thể hay không bị Hàn trưởng lão diệt khẩu à?

	Một đám đệ tử nòng cốt trong lòng phát rét, theo tới chính là vô số nghi vấn, Hàn trưởng lão thế nào, dạng gì sự việc mới có thể đem Hàn trưởng lão hù doạ thành cái bộ dáng này?

	"Ầm!"

	Vô số dày đặt kẽ hở tinh huy thạch kéo ra mảng lớn rụng, bắn tung tóe đứng lên mảng lớn bụi mù.

	Bụi mù tan hết, lộ ở phía dưới mỏ sắt lộ ra bộ mặt thật!

	Rắn!

	Một cái rắn lớn vô cùng kinh khủng!

	Bụi mù tiêu tán sau đó, một đám đệ tử nòng cốt cả người cứng ngắc, rốt cuộc biết tại sao Hàn trưởng lão sẽ bị hù doạ thành bộ dáng này!

	Đừng nói Hàn trưởng lão, đặc biệt ta cũng tốt hơi sợ à! Một cái đầu đường kính mấy chục ngàn mét khổng lồ!

	Dài đến năm sáu trăm dặm, ở nơi này là mỏ sắt, đây là cái này con rắn lớn cả người lân mảnh!

	Lúc này đã không có người đi muốn tiến vào cái này con rắn lớn lỗ mũi đồng bạn, ngược lại là sợ không thôi, mới vừa mọi người tiến vào hầm mỏ chính là cái này con rắn lớn lỗ mũi!

	Cái này con rắn lớn toàn thân màu trắng bạc, màu bạc trắng lân mảnh trong có như ẩn như hiện đường vân, mỗi một khối lân mảnh trong cũng có một cái phù văn thần bí!

	Theo lý thuyết như vậy kinh khủng rắn lớn đã sớm hóa rồng, nhưng là trước mắt cái này con rắn lớn nhưng là không có biến hóa chút nào, giống như một cái phổ thông rắn phóng đại trăm ngàn gấp vạn lần!

	Bắc Phong trong tay cầm cần câu, ngồi vững câu cá chiếc, bốn bề phong cảnh ưu mỹ, thỉnh thoảng từ núi Bách Đoạn chỗ sâu truyền tới từng đạo kinh khủng tiếng thú gào.

	Bắc Phong mượn cần câu đặc thù phạm vi có thể thấy rõ chu vi năm trăm thước cảnh tượng, lúc này Bắc Phong có thể nhìn thấy chính là một mảnh màu trắng bạc vẻ.

	"Ừ ? Nơi này có thể không giống như là có cái gì giá trị địa phương."

	Bắc Phong tự nói một câu, chuẩn bị điều khiển lưỡi câu bay xa một ít xem xem.

	Mà trong dị thế giới, nguyên vốn không có bất kỳ sức sống, giống như là vật chết lớn như vậy rắn bắt đầu dần dần tỉnh lại!

	Đối với đường kính mấy trăm mét khổng lồ con ngươi màu bạc mở ra, một đạo sáng chói ánh sáng màu bạc từ màu bạc trong con ngươi bắn ra!

	"Ừng ực!"

	Mọi người cứng ngắc chuyển qua đại ca ta nhát gan, có thể đừng dọa chúng ta sao?

	Đạo này ánh mắt mà thôi, trực tiếp đánh xuyên mấy chục ngàn thước khoảng cách, bắn ra bề mặt quả đất, một đại cổ ánh mặt trời chiếu xuống tới, nhưng là mọi người nhưng không có cảm giác được ấm áp, ngược lại là lăn lộn thân băng hàn.

	"Phốc! Đây là cái gì? Ánh mắt!"

	Ánh sáng từ lưỡi câu hai bên lao qua, Bắc Phong đặc thù thị giác vừa vặn cùng cái này con rắn lớn mở ra cặp mắt đối mặt với nhau!

	Trong đầu thoáng qua nổ ầm, Bắc Phong há mồm phun ra búng máu tươi lớn, quá kinh khủng!

	Cách hai cái thế giới, mình chẳng qua là nhìn đối phương một cái, lại có thể liền bị thương nặng!

	Bắc Phong mới rồi thiếu chút nữa bị sợ liền cần câu cũng vứt, Bắc Phong trăm phần trăm chắc chắn đó chính là một con mắt!

	Chẳng qua là một con mắt, khổng lồ mấy trăm mét, như vậy con mắt này chủ nhân có nhiều khổng lồ? Bắc Phong không dám tưởng tượng.

	Con mắt màu bạc trắng kia ở Bắc Phong trong cảm giác tựa như cùng trời mắt vậy, cao cao tại thượng, lạnh lùng vô tình, không có chút ba động nào, con mắt này khắc ở Bắc Phong linh hồn chỗ sâu!Chương 499: Rắn! 
