Chương 75: Mỹ Sinh Hoa khiếp sợ! 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Đồ đằng xuất hiện, để cho cổ nguyên giới người trên tộc có lực phản kháng.

	Cứ việc vẫn như cũ là chỉ có thể núp ở u ám trong xó xỉnh, nhưng lại có một đường sinh cơ!

	Chu Hà, Ba Xà nhất mạch người thừa kế, lấy toàn bộ Ba Xà nhất tộc khí vận, đúc ra đồ đằng!

	Để cho Chu Hà ở ngắn ngủi mấy trăm năm trong tu hành tới không xấu xa cảnh đỉnh cấp, lại là bởi vì là có đồ đằng lực, để cho thực lực so với một ít đại năng giả mạnh hơn!

	"Lòng tham không đáy!"

	Chu Hà cảm giác được nguy cơ sinh tử, không chút do dự mưu đồ đằng lực thêm thân, đột nhiên hóa là một đầu Ba Xà, ngửa mặt lên trời một nuốt!

	"Rắc rắc!"

	Không gian ở Ba Xà chi tương hạ phá tổn, đáng sợ hút kéo lực để cho thương đội ở giữa hộ vệ không khỏi mình rơi vào Ba Xà trong miệng, trực tiếp bị mất đi!

	Một đám đi theo Chu Hà mà đến trộm cướp cũng là kinh nghi bất định, nhìn về phía Chu Hà trong ánh mắt tràn đầy ác ý!

	Bỏ mặc Chu Hà đối với những thứ này dưới quyền như thế nào, lúc trước không có bại lộ, những thứ này dưới quyền đều là trung thành có bảo đảm, cho dù là gặp phải đồng tộc, giết cũng là không chút do dự.

	Nhưng bây giờ Chu Hà bộc lộ ra tàn dư thân phận, nhất thời để cho những thứ này dưới quyền xao động lên!

	Đối với Dực tộc mà nói, đối với loài người căm ghét chính là vẫy không ra, hai người bây giờ có sống chết thù!

	Năm đó Dực tộc hạ xuống, cùng cổ nguyên giới lên dĩ nhiên tộc người đại chiến.

	Không chỉ là tộc người cường giả bị chém chết không còn một mống, Dực tộc vậy không tốt hơn chỗ nào!

	Trước dực tộc nhân khẩu có chừng trăm tỉ, nhưng một trận sau đại chiến, cứ việc đánh tan tộc người, nhưng Dực tộc cũng là tổn thương nguyên khí nặng nề, chết hơn một nửa!

	Từ Dực tộc ra đời bắt đầu, trong nhà trưởng bối dạy dỗ, hoặc là hoàn cảnh chung quanh ảnh hưởng, cũng để cho những thứ này Dực tộc đối với tộc người tràn đầy căm thù.

	Bây giờ những thứ này trộm cướp nhưng biết mình một mực ở là một cái hèn hạ tộc người dốc sức, nhất thời cảm giác được giận dữ!

	"Giết hắn!"

	"Đánh chết hắn!"

	Một đám trộm cướp gào khóc, mấy ngàn Dực tộc hướng Chu Hà vọt tới.

	"Không biết tự lượng sức mình, thật là một đám phế vật, đàng hoàng làm không biết không được sao?"

	Chu Hà hóa thân Ba Xà mang hung ác, cái đuôi ngay tức thì hoa phá hư không, ầm ầm rơi xuống!

	Một đám trộm cướp chết thảm trọng, còn dư lại trộm cướp tỉnh hồn lại, vội vàng hướng núi rừng bên trong bỏ chạy.

	"Keng!"

	Những thứ này trộm cướp vẫn là kềm chế Chu Hà trong nháy mắt, để cho Mỹ Sinh Hoa nắm lấy cơ hội, một chiêu đem Chu Hà bị thương nặng!

	Đối với cánh ở Mỹ Sinh Hoa sau lưng mở rộng đi ra, vô cùng vô tận sương máu tràn ngập, thổi phồng nửa bầu trời!

	Giờ khắc này Mỹ Sinh Hoa như thần nữ xuống trần, cao quý, lạnh lùng, một lời nhưng quyết sống chết!

	"Buông ra tinh thần, để cho ta trồng con dấu, thành là ta nô lệ, ta có thể tha cho ngươi một mạng!"

	Mỹ Sinh Hoa thanh âm từ bầu trời truyền tới, như thần dụ vậy không cho phép nghi ngờ.

	Mỹ Sinh Hoa nhếch miệng lên, loại này lực lượng thật là đẹp hay, thật là mạnh mẽ!

	"Xí, ta chính là chết trận, cũng không biết vứt tổ tiên vinh quang!"

	Chu Hà đập xuống ở trên vùng đất, phun nhả máu loãng, mặt coi thường.

	"Vậy ngươi đi ngay chết đi!"

	Mỹ Sinh Hoa không có nói nhiều, cái này thánh người thủ đoạn cứ để cho mình giờ phút này thực lực chợt tăng, nhưng vậy không phải là không có hạn chế.

