Chương 602: Tế bào trí nhớ! 
 converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Bắc Phong nhìn trước mắt đây giống như thiên nghiêng vậy cảnh tượng, tạm thời bây giờ dừng bước.

	Trước mắt cái này 2 con yêu thú tùy ý một đầu cũng có thể dễ như trở bàn tay đánh chết mình, chỉ là dư âm cũng không phải mình có thể ngăn trở.

	Đây nếu là đột nhiên phóng vào đi, bị cái này 2 con yêu thú giữa chiến đấu ảnh hưởng đến, đó mới là xui xẻo.

	"Cầu giàu sang trong nguy hiểm! Cái này 2 con yêu thú mặc dù mạnh mẽ, nhưng là ta vừa không có nghĩ tới cái này 2 con yêu thú lấy mạng đổi mạng bị mình nhặt xác, ta muốn vẻn vẹn chỉ muốn cái này 2 đầu dáng người vô cùng to lớn yêu thú trên mình vậy không đáng kể một ít máu tươi, chỉ cần ta không dựa vào quá gần, hẳn là an toàn."

	Bắc Phong suy nghĩ một chút, sau đó cắn răng một cái, tốc độ không giảm mà lại tăng!

	Nháy mắt tức thì đi ra ngoài đếm hơn trăm ngàn mét xa, từ vừa mới bắt đầu Bắc Phong liền cho mình xác định vị trí rất rõ ràng, bằng vào mình thực lực, cho dù là cái này 2 con yêu thú lưỡng bại câu thương, nhưng chỉ cần cái này 2 con yêu thú còn có một tia lực lượng, đó cũng không phải là mình có thể ngăn cản!

	"Ột ột ột!"

	Lưu manh thỏ Cổ Kỳ ngược lại là biểu hiện không có tim không có phổi, tóm lại đi theo Bắc Phong lăn lộn vậy đúng rồi.

	Một người một yêu nhanh chóng hướng 2 con yêu thú địa phương chiến đấu chạy tới, 2 đầu yêu chiến trung tâm, mảng lớn rừng trực tiếp mất đi. Biến mất không gặp.

	Lộ ra thông thường đất bùn hạ tầng kia màu xám trắng mỏ sắt, nhìn dáng dấp đúng ngọn núi lửa đều là do loại này mỏ sắt hình thành.

