Chương 509: Chiến! 
 Converter Dzung Kiều cầu phiếu 

	"Chúng ta sự việc trước để một bên, hợp tác!"

	Lý Duy trên trán gồ lên một cái túi lớn, dáng vẻ không nói được tức cười, quay đầu cùng ngoài ra một vị may mắn còn sống sót võ giả hướng Bắc Phong áp sát.

	"Được !"

	Bắc Phong gật đầu một cái, sáng suốt lựa chọn, lúc này chỉ có liên hiệp chung một chỗ, mới có một chút hy vọng chạy ra khỏi bay lên trời.

	"Ột ột ột!"

	Một đám thỏ lưu manh chậm rãi đến gần, giống như là không gấp trước đi truy đuổi chạy trốn đoàn người, đem Bắc Phong các người vây chung chỗ.

	Cách đó không xa một đầu thân hình cao lớn, nhưng là số tuổi rất già nua thỏ lưu manh sãi bước sao rơi đi tới.

	"Thiên tai!"

	Bắc Phong hư híp mắt, làm thấy được một đầu thỏ lưu manh trong tay ôm đồ sau đó, ngay tức thì ánh mắt sáng lên.

	Không chút do dự phát động thiên tai hồ thần thông, động một cái dùng chính là cấp 3 thiên tai!

	Không cần phải nói nhóm người này yêu thú đều là đối với Bắc Phong đoàn người mang địch ý mãnh liệt, là lấy hoàn toàn không có hạn chế.

	Một đầu núp ở trong hắc vụ, chỉ lộ ra một đôi mắt yêu thú ngưng mắt nhìn vậy một đầu thỏ lưu manh.

	Mà Bắc Phong lại không có dừng lại, cái thứ hai đối tượng chính là sãi bước sao rơi đi tới tướng mạo già nua thỏ lưu manh, ngoài ra tùy ý lựa chọn một đầu thỏ lưu manh.

	Một cổ quỷ dị chập chờn từ trên trời hạ xuống, ngay tức thì càn quét mà qua ba đầu thỏ lưu manh!

	"Ột ột ột!"

	Già nua thỏ lưu manh ngay tức thì nhảy một cái chừng trăm thước cao, đứng ở ngọn cây trên nhìn chung quanh, phương mới cảm giác được liền cường đại ác ý, nhưng là chừng nhìn chung quanh, nhưng là không tìm được chút nào mục tiêu.

	Một đám thỏ lưu manh ngẩng đầu, nhìn về phía bầu trời trên ngọn cây đứng thỏ lưu manh, còn có một đầu thỏ lưu manh cầm trong tay một cây giống như ong nghệ đuôi sau kim vậy nhọn vũ khí, phía trên hiện đầy vô số đảo câu, nhẹ nhàng quét cũng sẽ bị soàn soạt hạ một mảng lớn máu thịt.

	Đầu này thỏ lưu manh hơi thở mạnh, đứng sau bầu trời đầu kia già nua thỏ lưu manh.

	"Ột ột ột!"

	Bầu trời, già nua thỏ lưu manh nghi thần nghi quỷ nửa ngày, nhưng là không có bất kỳ phát hiện gì, trong ánh mắt thoáng qua nghi ngờ, nhưng cuối cùng cũng chỉ là cho rằng là mình ảo giác.

	"Ngâm!"

	Một đầu bất quá 3m chiều rộng màu bạc lớn ưng ở trên bầu trời cao quanh quẩn, tiếng kêu to tràn đầy kim loại cảm nhận, đối với ánh mắt sắc bén nhìn chằm chằm trên ngọn cây thỏ lưu manh.

	Hai cánh dùng sức chấn động một cái, tốc độ nhanh, lên trong nháy mắt vẫn còn ở ngàn thước trên không, một khắc sau liền xuất hiện ở đây đầu già nua thỏ lưu manh phía trước 10m!

	"Ột ột ột!"

	Đầu này già nua thỏ lưu manh thốt nhiên giận dữ, không nói hai lời, thao cả người bắp thịt kinh khủng liền cùng đầu này màu bạc lớn ưng đánh nhau.

	Phía dưới một đám thỏ lưu manh lẩm bẩm kêu, Bắc Phong đoàn người thì giống như là thành người ngoài cuộc đang xem kịch vậy.

	"Thật là mạnh, ta bây giờ còn chưa phải là đối thủ."

	Bắc Phong nhìn phía trên 2 thú đánh giết, so sánh một chút thực lực của mình, lắc đầu một cái.

	"Gia chủ, cái này 2 con yêu thú đều là trăm năm cảnh tột cùng, hẳn coi là nửa bước ngàn năm vương."

	Lữ Bố thần sắc ngưng trọng, cái này 2 con yêu thú mình đối với bất kỳ một đầu cũng không có đem cầm.

	Đinh tai nhức óc tiếng va chạm, tiếng gào thét vang khắp Vân Tiêu, từng cây một như bạch kim chế tạo lông chim từ trên trời hạ xuống, căn căn nặng nề vô cùng, hết xuống mặt đất sau đó, rối rít cắm xuống đất.

	Màu bạc lớn mỏ ưng mỏ vô cùng sắc bén, ngay tức thì đâm vào thỏ lưu manh trong ánh mắt, tha đi ra một con mắt cầu!

	Thỏ lưu manh kêu thảm một tiếng, hai chân ngay tức thì hướng lên đạp một cái! Nhất thời để cho màu bạc lớn ưng một cái móng vuốt gãy lìa!

	Hai người đánh ra chân hỏa, đầy trời máu tươi cùng linh vũ từ trên trời hạ xuống!

	Cuối cùng thỏ lưu manh miễn cưỡng dùng còn sót một cái chân phải đá bể màu bạc lớn ưng đầu, mà màu bạc lớn ưng một cái hoàn hảo móng vuốt cũng là đâm xuyên qua thỏ lưu manh thân thể!

	Lưỡng bại câu thương! Thỏ lưu manh thảm thắng!

	Xoáy 2 con yêu thú từ trăm mét trên bầu trời rơi xuống, dây dưa chung một chỗ, thỏ lưu manh cũng không có khí lực phi hành.

	Phía dưới mấy chục đầu thỏ lưu manh mới vào lúc này giựt mình tỉnh lại, cầm ong nghệ đuôi sau châm thỏ lưu manh ngay tức thì một giẫm mặt đất, vọt tới 2 con yêu thú phía dưới.

	Một đầu con chuột giống vậy to mập yêu thú sợ hết hồn, nhìn mình trong huyệt động đột nhiên nhiều hơn một cây cường tráng chân, lúc này đầu này con chuột bộ dáng yêu thú lấy đánh vỡ toàn bộ tộc quần tốc độ, ôm cái này cái bắp đùi hung hăng cắn một cái!

	Loại này con chuột bộ dáng yêu thú thích nhất thức ăn là một loại kịch độc rắn, loại rắn này lăn lộn trên mình hạ đều là độc, loại độc này sẽ không chết, chỉ sẽ để cho người sống không bằng chết!

	Duy nhất đặc điểm chính là phóng đại trăm mười lần cảm giác đau đớn quan, giác quan đến trình độ này, coi như là gió thổi qua da, cũng biết cảm giác giống như là đao cắt vậy!

	Lúc này một cái chân bước vào con chuột bộ dáng thỏ lưu manh sững sốt một chút, sau đó phát ra một tiếng kinh thiên động địa kêu thảm thiết, ngay tức thì giống như là nhảy lên!

	Cái nhảy này không sao cả, nhưng phía trên chừng 10m già nua thỏ lưu manh coi như thảm.

	Cầm trong tay ong nghệ đuôi sau kim tràn đầy vô số mịn đảo câu vũ khí trực tiếp thọt vào phía trên rớt xuống già nua thỏ lưu manh cái đuôi phía dưới.

	May là Bắc Phong cái này người đầu têu thấy được một màn này cũng là cảm giác hoa cúc căng thẳng, phản xạ tính kẹp kẹp hai chân, cái này cmn nhìn đều đau.

	Ngoài ra mấy đầu thỏ lưu manh chậm một bước, nhìn một màn này trực tiếp ngây ngẩn, vẻ kiêu ngạo ngốc manh nhìn già nua thỏ lưu manh vậy vặn vẹo vô cùng sắc mặt, lấy bọn chúng chỉ số thông minh không biết chuyện gì xảy ra, nhưng nhìn già nua thỏ lưu manh diễn cảm, mấy đầu thỏ lưu manh cảm giác cả người lạnh sưu sưu, có chút sợ hãi.

	"Ột ột ột!"

	Bị con chuột bộ dáng yêu thú cắn thỏ lưu manh rơi trên mặt đất, dùng sức hướng về phía mình bị cắn vết thương xuy khí, càng thổi càng cảm giác đau.

	Một đầu cầm trong tay màu đen tròn bánh vậy thỏ lưu manh đem trong tay màu đen đồ để dưới đất, đặt mông ngồi ở phía trên, hai cái lỗ tai to đóa dùng sức lay động.

	Chẳng biết tại sao, thỏ lưu manh cảm giác mình dưới mông ngồi tròn bánh có chút nóng lên.

	"Ầm!"

	Sau đó không có sau đó, mãnh liệt ánh sáng thoáng qua, một đạo đợt khí để cho vô số cây lớn gãy, một đóa mây hình nấm Nhiễm Nhiễm dâng lên!

	Bụi mù tản đi sau đó, chu vi ba trăm thước mặt đất trực tiếp xuất hiện kết tinh hóa!

	Mấy đầu rách rưới thỏ lưu manh thi thể xuất hiện giữa sân, lăn lộn thân bốc khói mù màu đen.

	"Ừng ực!"

	Lý Duy không nhịn được nuốt nước miếng một cái, quá quỷ dị! Hết thảy các thứ này trùng hợp quá dọa người!

	Lữ Bố các người cũng là cảm giác cổ sau lạnh cả người, giống như là có người ở sau lưng xuy khí vậy.

	Một đám thỏ lưu manh cũng là vẻ kiêu ngạo ngốc manh, tình huống gì?

	Một màn quỷ dị xuất hiện, một đám thỏ lưu manh đỏ mắt cùng Bắc Phong đoàn người đối mặt, trong mắt không có hung ác, ngược lại là mê mang.

	"Ột ột ột!"

	Một khắc sau, đầu óc có hạn thỏ lưu manh nói ra đánh liền đánh, bốn mươi mấy đầu thỏ lưu manh hướng Bắc Phong một đám người nhào tới!

	"Thùy thiên chi dực!"

	Vô cùng sắc bén thùy thiên chi dực ngay tức thì chém giết ba đầu thỏ lưu manh!

