Chương 99: Để cho người? 
converter Dzung Kiều cầu khen thưởng và bình chọn * cao giúp mình 

	Âm Dương gia nội tình rốt cuộc sâu bao nhiêu, dù là Bắc Phong thân là tinh chủ, vậy không được rõ.

	"Thứ tám mạch tinh chủ Bắc Phong, cầu gặp Đông Hoàng quá một đại nhân!"

	Bắc Phong khom người hướng trên bầu trời đại nhật một bái!

	Đây là nhất chính thức lễ phép!

	Đại biểu chính là Âm Dương gia thứ tám mạch tinh chủ!

	Đại nhật trong, một ngọn lửa hạ xuống!

	Bất ngờ là vô tận lửa hình thành kim ô hình dáng, vô cùng đáng sợ!

	Kim ô lưng đeo Bắc Phong, 1 bước lên trời!

	Tốc độ nhanh, chẳng qua là chớp mắt, đã đến đại nhật trong!

	Đập vào mắt một mảnh quất màu đỏ ngọn lửa bùng nổ, lòng bàn chân có cuồng bạo hệ lửa lực lượng phun trào, ngọn lửa nóng bỏng, cùng với đáng sợ sức hút, đủ để dễ như trở bàn tay xé nát đại năng giả!

	Gặp lại lần nữa thần mặt trời cung, Bắc Phong vẫn là rung động.

	"Ầm!"

	Cửa cung mở, có năm màu thất luyện tràn ra tới, cuốn Bắc Phong biến mất không gặp.

	Trong cung điện, Đông Hoàng quá một ngồi xếp bằng.

	Bắc Phong nhìn một cái, nhìn thấy nhưng là một tôn đỉnh thiên lập địa, lực lượng phóng xạ chư thiên to lớn tồn tại, giống như Bàn Cổ, mở ra trời đất!

	Đáng sợ áp lực ngưng đúng sự thật thế chấp, Bắc Phong bừng tỉnh ở giữa nhìn bốn phía đại điện, là như vậy hùng vĩ!

	Tự thân giống như là thu nhỏ lại dù sao cũng lần, đối mặt Đông Hoàng quá một hình thể khổng lồ, liền con kiến hôi vậy không tính là.

	"Mới vừa đột phá Bất Hủ người, đối với lực lượng bây giờ vẫn chưa có hoàn toàn thích ứng, ngươi có chuyện gì?"

	Đông Hoàng quá vừa mở miệng, như trời âm, nhiều đóa kim liên ở hắn quanh thân tan thành mây khói.

	"Ta phát hiện một viên cao nhất tinh thần, hơn nữa rất lớn có thể tồn tại một cái thôn nguyệt giả, Nguyệt Thiền thi thể!"

	Bắc Phong tâm thần chấn động, cưỡng ép lấy Thiên đạo trấn áp tự thân, lúc này mới không bị Đông Hoàng quá một ảnh hưởng, nhanh chóng mở miệng.

	"Thôn nguyệt giả, Nguyệt Thiền thi thể?"

	Đông Hoàng quá một lòng cảnh cũng là xuất hiện một tia chập chờn, có thế giới ở quanh thân tan thành mây khói!

