Chương 775: Sẽ không khởi tựa đề liền 
 Converter Dzung Kiều cầu phiếu 

	Bất quá mình thật giống như thật đúng là sẽ không đem hắn như thế nào.

	"Ta dự án đều là chuẩn bị xong, nếu ngươi muốn ở tiết mục trong làm quảng cáo mà nói, xem ra tối hôm nay ta phải làm thêm giờ!" Lý Nhiễm rất bất đắc dĩ nói.

	Bọn hắn tiết mục tất cả đều là thâu tốt, cũng không phải là cao hứng vung, cho nên nên có chân bản nàng đã sớm chuẩn bị xong, mà Chương Tiểu Vĩ nếu muốn ở tiết mục trong gia tăng quảng cáo khâu, như vậy thế tất yếu gia tăng chân vốn nội dung.

	"Không cần như thế phiền toái, đến lúc đó tùy tiện nói 2 vấn đề là được!" Chương Tiểu Vĩ cũng không muốn phiền toái Lý Nhiễm, dẫu sao bây giờ cũng hơn 10h, cái này ở hồi trong đài biên soạn kịch bản, đến lúc này một hướng cũng không biết muốn sờ tới khi nào đi.

	". . . ?" Lý Nhiễm không nói gì, Chương Tiểu Vĩ nói cũng có đạo lý, dẫu sao lần này sân nhà cũng không phải là Chương Tiểu Vĩ.

	Lần này là công ty bảo hiểm Đại tây dương xài một người để cho các nàng trong đài lãnh đạo không cách nào cự tuyệt con số tới, cho nên lần này sân nhà chỉ có thể nói là công ty bảo hiểm Đại tây dương.

	"Tiểu Vĩ, ở hiện giờ nói chuyện phiếm thị trường sắp bão hòa dưới tình huống, ngươi đối với chiếm đoạt cc cố hữu thị trường có tính toán gì hay không?"

	"Cái này tạm thời còn không có, đi trước một bước xem một bước đi!" Chương Tiểu Vĩ bình thản nói nói.

	". . . !" Được rồi, Lý Nhiễm hoàn toàn bị Chương Tiểu Vĩ đánh bại, nàng hiện mình cái này ngày nay bị Chương Tiểu Vĩ cho trò chuyện chết.

	Dương Bác một người ngồi ở phía sau, nghe Chương Tiểu Vĩ cùng đại người chủ trì Lý Nhiễm hai người có nói đứt quãng trò chuyện.

	Nói thật hắn vẫn là rất hâm mộ giám đốc Chương, dẫu sao giám đốc Chương vận khí quá tốt, mới xuất đạo thì có Tề Nhạc video GĐ Chu nâng đỡ.

