Chương 671:
 Dzung Kiều cầu khen thưởng 

	"Ngươi không biết nói ở nơi này ăn đi!" Từ Thiểu Kiệt kinh ngạc nhìn Chương Tiểu Vĩ hỏi.

	Ở đó chút nướng đương, lúc này đang có tụ ba tụ năm mọi người đang dùng cơm, khi bọn hắn nghe được xe thể thao tiếng nổ kia động cơ thanh ngừng lại sau đó, bọn họ có chút liền tò mò nhìn bước xuống xe 2 người.

	"Thật ra thì nơi này mùi vị cũng không tệ lắm, dĩ nhiên không phải cân nhắc phương diện vệ sinh!" Chương Tiểu Vĩ kéo Từ Thiểu Kiệt ống tay áo chậm rãi đi tới.

	Từ Thiểu Kiệt rất bất đắc dĩ đi theo Chương Tiểu Vĩ sau lưng, hắn từ nhỏ đến lớn có thể nói cũng chưa có ở loại địa phương này ăn cơm.

	"Ông chủ tới mười chuỗi xâu thịt dê, sau đó ở kiểm tra bốn cái đùi gà!" Chương Tiểu Vĩ đem một cái màu đen băng ghế dùng khăn giấy xoa xoa, sau đó tỏ ý đối phương ngồi xuống, mà chính hắn chính là tùy ý ngồi xuống.

	Hiển nhiên Từ Thiểu Kiệt là lần thứ nhất tới loại địa phương này, tay thả cũng không xong giấu ở trong túi quần cũng không phải.

	Còn bên cạnh những người đó cũng chỉ là kinh ngạc một chút, rồi sau đó liền vùi đầu ăn mình đồ.

	"Giám đốc Chương, ngươi thường xuyên đến ăn như vậy đồ sao?" Cậu Từ cảm khái hỏi.

	"Cũng không phải thường xuyên, chẳng qua là thỉnh thoảng." Làm trò đùa, đây cũng là hắn biết Từ Thiểu Kiệt chưa từng ăn qua mới mang hắn tới ăn một bữa.

	"Giám đốc Chương, nếu không chúng ta đổi cái địa phương ăn đi!"

	"Ta đi, ai mở Lamborghini đến cái này ăn sạp ven đường à! Cái này làm ra vẻ x cũng không phải cái này làm ra vẻ pháp à!" Qua đường 2 cái nam thanh âm mặc dù nhỏ, nhưng là vẫn là truyền đến hai người trong tai.

	Chương Tiểu Vĩ lúng túng nhéo một cái mình lỗ mũi, làm sao liền không nghĩ tới một điểm này đâu ?

	Từ Thiểu Kiệt người vốn là cũng là tương đối điệu thấp, lúc này nghe người đi đường mà nói, sắc mặt cũng bị nóng nảy đỏ.

	Vốn là hắn mua máy này sau xe cũng không lái mấy lần, ngày hôm nay nếu không phải vì tiếp Chương Tiểu Vĩ, kêu tài xế có rất nhiều bất tiện mà nói, hắn có thể cũng sẽ không lái chiếc này xe đi ra.

	"Hai vị, các ngươi nướng chuỗi tới, xin hỏi các ngươi hai vị muốn uống rượu sao?" Rất nhanh nướng ông chủ liền đem bọn họ hai người nướng chuỗi đi lên.

	"Không uống cám ơn, cho chúng ta tới 2 hũ đa bảo thêm trà lạnh!" Chương Tiểu Vĩ không uống rượu, mà Từ Thiểu Kiệt còn phải lái xe, cho nên uống thức uống là tốt.

	"Ông chủ cũng là kiểu nịnh hót, chúng ta tới lâu như vậy đều không mang thức ăn lên, hắn bên kia mới đến lại có thể thì có lên!" Bên cạnh ngoài ra một bàn nhỏ giọng đâu nghị luận.

	"Cũng phải ông chủ vì làm ăn ngươi không hiểu sao? Chúng ta không ăn ở nơi này liền không địa phương, dẫu sao vùng lân cận đều là chi phí đắt đỏ nơi, bọn họ lại bất đồng, cùng thời gian lâu dài, bọn họ có thể liền phải đổi chỗ."

	"Giám đốc Chương, ngươi phim mới ta đã cho ngươi sắp xếp xong xuôi, ngày 1 tháng 10 cả nước lên một lượt ánh!" Từ Thiểu Kiệt gặp thức ăn tất cả lên, cũng không nói gì, dẫu sao hắn cũng không phải một cái nhăn nhó người.

